No Manipulation,True Label,Claude-Sonnet-4,DeepSeek-Chat,GPT-3.5-Turbo,Llama-3.3-70B,Mixtral-8x7B
78.009,0,79.642,76.899,77.021,75.612,78.092
78.009,0,83.61,78.096,78.441,76.241,77.796
77.359,0,80.933,77.906,77.555,77.06,75.227
76.957,0,80.185,79.56,77.574,78.316,75.891
78.456,0,78.706,81.78,77.351,79.724,79.542
81.739,0,78.49,81.251,83.144,81.662,83.557
78.834,0,79.564,80.271,79.054,80.145,79.996
77.836,0,80.368,78.076,77.706,77.631,74.045
80.946,0,77.981,81.552,80.508,82.283,80.763
78.917,0,77.199,79.525,78.548,77.475,79.383
77.007,0,78.664,75.355,77.007,73.908,75.594
80.946,0,79.511,81.853,81.402,81.499,82.854
83.88,0,79.035,84.585,84.195,82.748,82.894
80.852,0,79.045,83.033,80.852,80.615,81.349
82.694,0,79.976,82.924,81.027,82.365,82.174
78.953,0,78.517,76.972,78.08,78.446,79.388
79.948,0,80.388,78.904,79.043,78.914,73.356
76.477,0,80.287,77.158,77.061,77.344,75.978
80.344,0,77.63,81.088,78.605,79.671,79.489
80.609,0,79.12,79.644,78.975,79.511,78.595
82.031,0,77.497,83.537,81.298,82.943,83.483
80.423,0,80.253,80.983,81.523,80.201,80.214
80.823,0,79.8,81.048,81.946,79.483,84.559
78.568,0,80.153,78.401,77.417,76.869,79.465
76.06,0,77.331,78.146,75.679,76.193,76.283
78.697,0,79.083,78.442,78.665,79.191,78.669
77.467,0,79.297,78.561,76.143,77.35,78.913
76.224,0,81.38,79.198,76.486,78.294,76.902
83.437,0,80.004,84.939,83.409,82.306,84.681
79.979,0,77.479,82.432,79.948,80.1,75.335
79.706,0,79.202,82.227,81.598,81.259,82.555
80.099,0,79.336,82.243,80.803,83.19,76.743
81.65,0,80.773,82.27,80.867,79.909,82.55
77.461,0,77.689,79.814,79.078,78.773,79.286
78.127,0,81.506,78.818,79.312,78.945,79.382
80.984,0,78.255,79.46,79.886,79.083,78.428
75.482,0,78.653,75.862,76.513,76.245,76.653
79.429,0,78.998,79.058,79.576,78.071,80.746
80.426,0,80.416,80.016,78.822,79.44,80.885
78.545,0,78.446,80.572,79.918,79.141,77.492
78.659,0,80.829,77.298,77.824,76.953,77.969
76.695,0,79.352,78.205,78.448,76.696,78.453
80.098,0,79.545,79.849,80.08,79.399,78.41
80.914,0,78.119,79.566,77.981,78.744,78.891
79.556,0,81.223,80.711,77.517,79.503,79.393
77.586,0,81.223,79.437,79.035,77.231,76.446
79.801,0,78.854,78.082,79.411,79.92,78.576
80.576,0,80.362,80.205,80.91,78.676,81.394
80.151,0,80.456,81.054,81.7,79.279,81.242
81.412,0,80.962,80.882,79.621,79.364,79.016
79.681,0,80.262,78.499,74.751,78.491,79.218
83.103,0,80.553,82.973,81.924,82.274,83.758
81.225,0,79.662,80.975,80.625,81.677,80.833
79.333,0,77.436,78.989,80.028,79.343,81.575
78.186,0,80.65,81.088,79.326,80.264,81.548
79.441,0,80.34,78.46,78.844,77.411,80.843
80.144,0,81.894,78.286,78.139,78.805,78.124
79.738,0,80.634,78.854,79.322,79.132,76.803
77.819,0,80.713,77.96,77.764,76.886,77.235
77.139,0,79.819,79.05,76.624,77.05,74.875
78.387,0,79.3,77.167,78.073,77.251,76.568
80.71,0,79.257,79.564,78.394,78.596,79.705
80.003,0,80.484,80.397,80.319,79.944,81.941
77.204,0,79.198,78.889,75.641,77.693,76.563
79.887,0,81.741,83.458,79.928,81.624,79.935
78.576,0,79.074,77.02,77.216,77.083,78.386
80.54,0,78.039,79.514,80.164,79.866,79.407
82.133,0,82.258,79.068,80.586,80.056,80.651
79.492,0,81.455,78.152,77.722,77.455,78.124
78.92,0,79.523,80.257,78.255,78.031,79.556
77.769,0,82.381,77.278,75.243,76.736,77.574
80.217,0,77.759,78.078,80.538,80.657,79.261
79.974,0,78.223,80.66,77.291,80.499,79.632
80.307,0,78.476,78.884,78.774,79.349,77.636
77.936,0,78.183,77.698,76.425,76.255,75.843
79.239,0,79.316,79.115,75.386,76.597,77.563
78.557,0,79.725,78.567,79.779,77.69,79.923
81.499,0,76.967,80.972,81.817,80.292,82.224
77.527,0,78.58,80.844,77.284,76.576,77.526
79.297,0,78.669,75.919,76.498,76.097,78.978
81.26,0,78.462,80.122,78.908,78.759,78.041
80.761,0,77.437,79.403,80.708,79.34,80.018
79.775,0,78.667,80.169,79.376,81.493,80.253
79.674,0,79.47,79.747,77.07,78.615,77.797
79.354,0,80.897,80.566,77.082,77.824,82.571
78.98,0,75.722,79.851,76.863,79.66,78.92
77.926,0,75.593,79.788,77.806,79.082,78.7
79.463,0,79.4,81.148,80.813,80.267,80.683
79.716,0,81.198,78.002,75.267,79.234,81.756
79.844,0,79.455,81.03,78.791,79.512,79.684
82.715,0,80.024,82.142,83.9,82.261,82.378
79.575,0,76.951,80.319,79.723,78.523,80.545
78.304,0,83.794,79.235,79.498,77.18,77.413
78.474,0,77.208,78.046,78.513,78.059,78.613
78.766,0,77.638,80.095,79.73,79.836,78.356
77.401,0,80.204,79.091,79.284,77.699,79.382
80.412,0,80.279,78.775,78.634,77.421,78.139
80.529,0,74.817,81.337,80.092,79.541,81.442
81.584,0,84.031,82.152,81.867,81.016,80.838
80.697,0,80.413,81.255,79.562,78.923,78.782
78.462,0,78.553,78.715,81.686,80.235,80.672
79.701,0,78.682,79.343,80.136,78.828,80.479
78.676,0,78.523,79.047,79.626,76.687,76.878
79.205,0,79.584,79.704,76.761,77.53,77.451
79.874,0,79.409,79.915,80.155,79.097,79.72
78.635,0,81.772,80.855,79.405,80.072,78.043
82.134,0,78.346,83.265,83.465,81.246,81.378
80.636,0,78.213,80.365,80.576,80.1,77.996
78.511,0,81.018,78.152,79.316,78.613,80.19
79.825,0,78.73,82.224,79.297,78.905,82.115
82.594,0,75.634,79.675,82.657,82.049,82.924
77.581,0,82.242,80.742,78.406,77.431,80.547
79.008,0,84.793,80.792,79.371,79.366,79.739
78.793,0,82.065,80.619,78.578,81.032,79.61
80.606,0,82.857,79.658,81.681,80.187,80.284
77.948,0,77.528,78.789,78.062,78.215,79.751
77.436,0,79.942,78.512,78.631,77.739,80.478
81.45,0,77.446,81.796,81.864,79.609,81.483
81.112,0,81.642,80.868,81.696,78.247,79.503
79.315,0,79.388,80.023,80.118,77.695,79.123
80.221,0,81.633,81.369,79.863,79.149,77.681
76.43,0,80.466,77.186,74.956,75.833,76.188
77.267,0,80.974,77.322,76.819,76.551,78.992
79.808,0,79.723,79.016,78.863,77.529,78.643
77.557,0,75.627,79.431,77.123,79.535,77.183
79.619,0,79.363,79.826,79.205,78.987,80.266
78.76,0,78.031,78.709,79.305,78.768,73.817
76.356,0,77.868,75.788,76.43,76.35,77.888
76.764,0,85.019,79.995,77.313,76.848,78.289
79.209,0,81.808,78.141,77.188,76.795,76.163
77.965,0,81.569,77.239,75.117,79.263,80.798
77.012,0,82.425,77.163,76.06,76.123,79.1
78.41,0,80.328,78.436,79.151,76.958,79.576
80.724,0,78.693,79.423,77.948,78.324,81.631
81.668,0,79.573,81.495,79.682,81.397,81.334
76.652,0,79.839,74.827,74.004,76.262,74.477
74.694,0,77.557,76.998,74.568,75.676,73.742
78.634,0,77.9,79.078,78.523,76.855,79.241
81.444,0,79.669,81.762,79.825,81.69,80.264
79.632,0,81.063,77.157,80.376,79.507,80.339
77.946,0,78.394,78.398,76.126,77.277,77.307
76.808,0,78.975,75.688,74.797,77.256,75.962
81.646,0,80.414,82.873,81.525,81.815,80.914
77.546,0,79.739,78.717,78.684,77.292,77.701
75.992,0,80.38,74.38,76.943,76.446,74.782
79.052,0,78.008,80.197,73.955,77.359,77.256
78.432,0,79.022,79.776,78.432,79.046,79.598
73.741,0,79.703,77.273,73.639,74.792,79.604
83.078,0,80.379,80.448,81.292,80.454,82.86
78.375,0,81.139,78.343,76.965,79.216,80.352
78.595,0,79.642,79.718,78.023,78.185,77.532
76.529,0,83.61,78.386,75.552,76.792,76.581
75.692,0,80.933,75.803,75.266,75.683,78.696
78.75,0,80.185,80.657,78.821,78.93,80.308
76.452,0,78.706,76.502,76.022,75.946,76.298
78.962,0,78.49,79.353,78.784,79.128,77.377
78.206,0,79.564,78.019,77.676,79.526,77.476
77.906,0,80.368,76.967,75.2,78.114,76.069
81.529,0,77.981,79.401,80.986,79.202,79.392
77.64,0,77.199,79.499,77.572,77.194,77.38
80.385,0,78.664,81.152,77.752,76.817,77.876
80.598,0,79.511,79.151,76.792,78.319,77.891
81.865,0,79.035,83.412,81.578,81.996,80.771
82.265,0,79.045,82.267,81.578,79.504,81.687
83.063,0,79.976,84.952,82.767,83.968,82.79
78.716,0,78.517,81.822,79.371,81.207,79.779
76.482,0,80.388,78.691,76.604,76.604,76.606
76.887,0,80.287,78.534,76.285,76.511,76.471
77.869,0,77.63,80.564,79.201,78.457,80.294
78.229,0,79.12,80.545,79.581,81.626,80.497
76.049,0,77.497,81.344,76.669,81.169,77.43
78.007,0,80.253,78.683,78.292,76.345,76.858
79.835,0,79.8,78.177,78.388,78.41,79.547
77.305,0,80.153,79.965,78.373,79.421,79.501
77.886,0,77.331,79.28,78.494,77.663,77.766
77.801,0,79.083,77.024,77.846,77.864,78.558
80.451,0,79.297,77.749,76.526,76.109,75.501
79.815,0,81.38,79.109,76.469,79.815,81.299
76.479,0,80.004,80.336,78.788,77.365,78.871
78.818,0,77.479,79.753,80.728,79.401,78.519
78.349,0,79.202,79.216,77.775,76.09,76.639
78.91,0,79.336,79.131,80.176,78.854,78.357
77.683,0,80.773,78.078,75.707,77.566,77.282
78.456,0,77.689,80.767,78.036,79.629,79.212
82.058,0,81.506,81.884,80.137,80.388,82.169
83.853,0,78.255,82.427,82.185,83.015,83.711
78.875,0,78.653,76.407,77.438,77.541,80.014
79.5,0,78.998,78.882,77.913,78.329,78.961
78.645,0,80.416,80.174,78.712,78.516,77.345
79.216,0,78.446,80.723,78.168,78.109,77.645
79.788,0,80.829,77.049,79.667,79.364,78.516
76.396,0,79.352,79.688,78.611,77.211,74.909
75.904,0,79.545,79.388,76.394,77.139,79.082
81.031,0,78.119,83.727,82.237,79.836,81.152
78.412,0,81.223,82.055,80.793,78.586,77.604
78.653,0,81.223,82.622,78.429,82.412,80.925
77.748,0,78.854,79.021,75.935,81.777,81.74
80.937,0,80.362,82.386,79.615,83.074,80.112
80.786,0,80.456,82.752,82.03,82.261,84.87
82.737,0,80.962,83.482,80.158,84.097,83.824
76.138,0,80.262,79.874,76.674,77.013,78.197
77.622,0,80.553,80.879,80.448,79.949,80.714
80.152,0,79.662,79.75,79.374,78.503,79.281
78.065,0,77.436,80.501,78.03,78.036,78.944
78.649,0,80.65,78.147,78.345,76.912,77.945
77.925,0,80.34,77.457,79.026,74.514,78.228
78.303,0,81.894,79.214,78.544,78.717,78.173
82.023,0,80.634,81.658,78.009,79.208,81.778
79.168,0,80.713,79.799,78.789,78.079,79.691
78.575,0,79.819,80.617,79.977,77.699,81.067
79.362,0,79.3,79.554,79.478,79.877,80.319
83.116,0,79.257,81.645,82.268,80.415,80.583
81.508,0,80.484,79.809,80.749,79.184,80.814
77.424,0,79.198,80.318,78.217,79.823,80.418
77.568,0,81.741,79.98,77.095,76.273,77.832
78.971,0,79.074,79.233,78.56,80.084,79.431
80.66,0,78.039,79.598,80.202,80.034,80.688
81.461,0,82.258,81.182,79.883,78.765,80.382
78.629,0,81.455,78.635,76.724,78.414,77.052
79.438,0,79.523,80.984,80.689,77.591,82.726
79.498,0,82.381,79.566,79.179,78.458,78.987
79.643,0,77.759,79.828,77.313,77.439,79.064
81.933,0,78.223,81.215,81.873,81.697,82.371
78.557,0,78.476,79.563,77.697,77.359,77.725
80.006,0,78.183,81.961,80.976,78.8,75.359
78.156,0,79.316,80.761,78.092,77.053,76.681
79.9,0,79.725,81.089,77.759,77.335,76.382
83.101,0,76.967,83.576,80.451,83.627,83.497
80.481,0,78.58,78.191,78.141,78.669,77.085
85.276,0,78.669,83.268,83.493,85.39,84.821
77.873,0,78.462,77.745,76.301,76.199,77.403
78.138,0,77.437,80.22,79.848,78.359,81.207
79.223,0,78.667,80.047,78.996,78.51,77.158
79.388,0,79.47,79.791,78.388,76.066,80.319
79.715,0,80.897,81.606,79.964,79.876,79.278
79.101,0,75.722,79.644,79.225,77.001,78.37
77.363,0,75.593,76.363,78.243,77.951,76.511
78.917,0,79.4,81.014,77.479,77.852,77.205
79.198,0,81.198,80.246,76.854,81.397,80.888
76.082,0,79.455,77.808,75.034,77.298,75.973
79.085,0,80.024,81.434,77.853,79.774,81.828
79.782,0,76.951,80.813,78.925,80.109,79.168
81.774,0,83.794,81.912,81.721,82.773,81.346
79.206,0,77.208,79.537,81.044,78.685,75.82
80.575,0,77.638,79.919,78.753,81.425,78.786
