No Manipulation,True Label,Claude-Sonnet-4,DeepSeek-Chat,GPT-3.5-Turbo,Llama-3.3-70B,Mixtral-8x7B
79.706,0,79.202,82.227,81.598,81.259,82.555
78.91,0,79.336,79.131,80.176,78.854,78.357
78.557,0,78.476,79.563,77.697,77.359,77.725
83.853,0,78.255,82.427,82.185,83.015,83.711
83.116,0,79.257,81.645,82.268,80.415,80.583
76.527,0,81.624,77.949,76.113,78.667,79.466
77.305,0,80.153,79.965,78.373,79.421,79.501
81.646,0,80.414,82.873,81.525,81.815,80.914
78.917,0,77.199,79.525,78.548,77.475,79.383
79.815,0,81.38,79.109,76.469,79.815,81.299
76.06,0,77.331,78.146,75.679,76.193,76.283
77.424,0,79.198,80.318,78.217,79.823,80.418
81.499,0,76.967,80.972,81.817,80.292,82.224
78.649,0,80.65,78.147,78.345,76.912,77.945
79.788,0,80.829,77.049,79.667,79.364,78.516
78.303,0,81.894,79.214,78.544,78.717,78.173
81.774,0,83.794,81.912,81.721,82.773,81.346
78.834,0,79.564,80.271,79.054,80.145,79.996
79.498,0,82.381,79.566,79.179,78.458,78.987
79.874,0,79.409,79.915,80.155,79.097,79.72
80.606,0,82.857,79.658,81.681,80.187,80.284
79.315,0,79.388,80.023,80.118,77.695,79.123
80.609,0,79.12,79.644,78.975,79.511,78.595
77.622,0,80.553,80.879,80.448,79.949,80.714
78.818,0,77.479,79.753,80.728,79.401,78.519
79.801,0,78.854,78.082,79.411,79.92,78.576
79.239,0,79.316,79.115,75.386,76.597,77.563
77.586,0,81.223,79.437,79.035,77.231,76.446
76.452,0,78.706,76.502,76.022,75.946,76.298
78.953,0,78.517,76.972,78.08,78.446,79.388
77.363,0,75.593,76.363,78.243,77.951,76.511
80.481,0,78.58,78.191,78.141,78.669,77.085
75.992,0,80.38,74.38,76.943,76.446,74.782
77.461,0,77.689,79.814,79.078,78.773,79.286
77.748,0,78.854,79.021,75.935,81.777,81.74
79.701,0,78.682,79.343,80.136,78.828,80.479
81.508,0,80.484,79.809,80.749,79.184,80.814
77.007,0,78.664,75.355,77.007,73.908,75.594
78.793,0,82.065,80.619,78.578,81.032,79.61
80.412,0,80.279,78.775,78.634,77.421,78.139
78.304,0,83.794,79.235,79.498,77.18,77.413
78.595,0,79.642,79.718,78.023,78.185,77.532
78.697,0,79.083,78.442,78.665,79.191,78.669
81.529,0,77.981,79.401,80.986,79.202,79.392
80.344,0,77.63,81.088,78.605,79.671,79.489
78.917,0,79.4,81.014,77.479,77.852,77.205
79.632,0,81.063,77.157,80.376,79.507,80.339
79.492,0,81.455,78.152,77.722,77.455,78.124
80.529,0,74.817,81.337,80.092,79.541,81.442
76.887,0,80.287,78.534,76.285,76.511,76.471
80.412,1,78.319,81.249,79.014,70.569,76.809
81.497,1,84.363,83.718,81.391,70.569,84.479
81.062,1,82.381,81.872,81.277,70.569,80.439
79.405,1,80.43,82.884,83.007,70.569,80.967
78.753,1,80.178,81.497,78.094,70.569,81.231
80.179,1,80.659,81.591,80.114,70.569,81.382
80.915,1,82.625,80.798,81.715,70.569,81.99
80.619,1,81.958,82.529,80.026,70.569,76.237
79.446,1,81.175,82.473,79.454,70.569,80.15
82.226,1,83.046,84.181,79.94,70.569,83.884
81.376,1,81.611,82.422,82.204,70.569,83.67
80.2,1,81.141,81.229,79.724,70.569,81.141
85.619,1,81.718,82.931,81.38,70.569,82.571
81.023,1,84.396,84.18,82.685,70.569,75.212
80.367,1,80.771,80.874,79.867,70.569,82.648
82.243,1,82.509,82.448,78.835,70.569,79.13
81.245,1,81.512,82.157,82.577,70.569,82.518
81.196,1,84.786,84.192,83.5,70.569,81.807
82.145,1,82.497,83.225,83.245,70.569,81.456
79.894,1,81.618,81.846,79.62,70.569,79.161
81.879,1,83.253,84.953,81.219,70.569,76.367
83.731,1,85.057,83.837,82.353,70.569,79.964
78.72,1,80.432,79.895,77.785,70.569,79.293
80.463,1,79.356,81.245,78.816,70.569,83.006
81.726,1,81.752,81.893,82.728,70.569,80.501
81.369,1,81.88,84.627,83.024,70.569,81.997
77.09,1,80.155,79.368,79.99,70.569,82.042
80.745,1,80.662,80.796,80.077,70.569,81.066
80.329,1,79.983,80.496,79.624,70.569,75.623
80.748,1,81.385,83.901,79.71,70.569,81.05
81.307,1,83.219,83.293,82.717,70.569,81.08
82.156,1,83.322,85.044,82.999,70.569,80.936
78.897,1,82.352,82.288,80.464,70.569,75.54
80.488,1,83.422,83.152,82.492,70.569,84.949
83.253,1,84.721,85.216,83.723,70.569,79.083
81.421,1,81.523,83.461,81.35,70.569,82.957
78.047,1,78.835,77.227,77.301,70.569,79.418
81.59,1,83.056,82.487,81.519,70.569,83.033
83.692,1,84.366,84.4,83.151,73.796,76.072
81.575,1,79.348,80.035,78.644,70.569,76.952
82.365,1,83.557,83.945,85.061,70.569,84.451
78.309,1,78.78,81.52,77.662,70.569,75.986
79.921,1,78.96,79.765,77.755,73.125,81.854
83.062,1,83.948,83.734,82.305,70.569,84.434
79.222,1,79.668,80.903,77.698,70.569,75.873
83.532,1,84.646,84.484,83.836,70.569,84.572
84.515,1,84.064,85.392,83.742,70.569,83.739
81.93,1,80.916,81.116,81.045,70.569,80.237
82.244,1,82.439,82.631,82.291,70.569,81.612
83.258,1,82.453,81.726,82.961,70.569,75.677
