No Manipulation,Claude-Sonnet-4,DeepSeek-Chat,GPT-3.5-Turbo,Llama-3.3-70B,Mixtral-8x7B,True Label
78.009,79.642,76.899,77.021,79.622,78.092,0
78.009,83.61,78.096,78.441,83.721,77.796,0
77.359,80.933,77.906,77.555,81.17,75.227,0
76.957,80.185,79.56,77.574,80.987,75.891,0
78.456,78.706,81.78,77.351,79.79,79.542,0
81.739,78.49,81.251,83.144,78.724,83.557,0
78.834,79.564,80.271,79.054,79.343,79.996,0
77.836,80.368,78.076,77.706,80.024,74.045,0
80.946,77.981,81.552,80.508,78.739,80.763,0
78.917,77.199,79.525,78.548,77.698,79.383,0
77.007,78.664,75.355,77.007,79.443,75.594,0
80.946,79.511,81.853,81.402,80.992,82.854,0
83.88,79.035,84.585,84.195,79.492,82.894,0
80.852,79.045,83.033,80.852,79.747,81.349,0
82.694,79.976,82.924,81.027,79.724,82.174,0
78.953,78.517,76.972,78.08,78.219,79.388,0
79.948,80.388,78.904,79.043,80.463,73.356,0
76.477,80.287,77.158,77.061,80.313,75.978,0
80.344,77.63,81.088,78.605,77.63,79.489,0
80.609,79.12,79.644,78.975,79.797,78.595,0
82.031,77.497,83.537,81.298,77.638,83.483,0
80.423,80.253,80.983,81.523,79.849,80.214,0
80.823,79.8,81.048,81.946,79.973,84.559,0
78.568,80.153,78.401,77.417,80.704,79.465,0
76.06,77.331,78.146,75.679,77.936,76.283,0
78.697,79.083,78.442,78.665,79.451,78.669,0
77.467,79.297,78.561,76.143,79.251,78.913,0
76.224,81.38,79.198,76.486,80.902,76.902,0
83.437,80.004,84.939,83.409,80.943,84.681,0
79.979,77.479,82.432,79.948,75.921,75.335,0
79.706,79.202,82.227,81.598,81.595,82.555,0
80.099,79.336,82.243,80.803,79.336,76.743,0
81.65,80.773,82.27,80.867,80.431,82.55,0
77.461,77.689,79.814,79.078,77.672,79.286,0
78.127,81.506,78.818,79.312,81.61,79.382,0
80.984,78.255,79.46,79.886,79.293,78.428,0
75.482,78.653,75.862,76.513,78.059,76.653,0
79.429,78.998,79.058,79.576,79.264,80.746,0
80.426,80.416,80.016,78.822,80.054,80.885,0
78.545,78.446,80.572,79.918,78.875,77.492,0
78.659,80.829,77.298,77.824,81.416,77.969,0
76.695,79.352,78.205,78.448,81.09,78.453,0
80.098,79.545,79.849,80.08,79.644,78.41,0
80.914,78.119,79.566,77.981,78.339,78.891,0
79.556,81.223,80.711,77.517,81.354,79.393,0
77.586,81.223,79.437,79.035,79.645,76.446,0
79.801,78.854,78.082,79.411,80.457,78.576,0
80.576,80.362,80.205,80.91,80.297,81.394,0
80.151,80.456,81.054,81.7,81.513,81.242,0
81.412,80.962,80.882,79.621,81.196,79.016,0
79.681,80.262,78.499,74.751,80.747,79.218,0
83.103,80.553,82.973,81.924,80.36,83.758,0
81.225,79.662,80.975,80.625,80.313,80.833,0
79.333,77.436,78.989,80.028,78.652,81.575,0
78.186,80.65,81.088,79.326,81.136,81.548,0
79.441,80.34,78.46,78.844,80.17,80.843,0
80.144,81.894,78.286,78.139,82.784,78.124,0
79.738,80.634,78.854,79.322,80.395,76.803,0
77.819,80.713,77.96,77.764,80.477,77.235,0
77.139,79.819,79.05,76.624,82.441,74.875,0
78.387,79.3,77.167,78.073,79.016,76.568,0
80.71,79.257,79.564,78.394,79.179,79.705,0
80.003,80.484,80.397,80.319,80.34,81.941,0
77.204,79.198,78.889,75.641,79.733,76.563,0
79.887,81.741,83.458,79.928,82.432,79.935,0
78.576,79.074,77.02,77.216,78.539,78.386,0
80.54,78.039,79.514,80.164,80.056,79.407,0
82.133,82.258,79.068,80.586,81.605,80.651,0
79.492,81.455,78.152,77.722,81.707,78.124,0
78.92,79.523,80.257,78.255,79.722,79.556,0
77.769,82.381,77.278,75.243,81.825,77.574,0
80.217,77.759,78.078,80.538,78.589,79.261,0
79.974,78.223,80.66,77.291,78.223,79.632,0
80.307,78.476,78.884,78.774,78.624,77.636,0
77.936,78.183,77.698,76.425,78.019,75.843,0
79.239,79.316,79.115,75.386,79.17,77.563,0
78.557,79.725,78.567,79.779,78.813,79.923,0
81.499,76.967,80.972,81.817,77.337,82.224,0
77.527,78.58,80.844,77.284,79.127,77.526,0
79.297,78.669,75.919,76.498,78.464,78.978,0
81.26,78.462,80.122,78.908,78.384,78.041,0
80.761,77.437,79.403,80.708,78.769,80.018,0
79.775,78.667,80.169,79.376,79.561,80.253,0
79.674,79.47,79.747,77.07,80.254,77.797,0
79.354,80.897,80.566,77.082,81.241,82.571,0
78.98,75.722,79.851,76.863,75.659,78.92,0
77.926,75.593,79.788,77.806,76.754,78.7,0
79.463,79.4,81.148,80.813,79.972,80.683,0
79.716,81.198,78.002,75.267,80.885,81.756,0
79.844,79.455,81.03,78.791,80.625,79.684,0
82.715,80.024,82.142,83.9,80.677,82.378,0
79.575,76.951,80.319,79.723,77.165,80.545,0
78.304,83.794,79.235,79.498,83.536,77.413,0
78.474,77.208,78.046,78.513,77.139,78.613,0
78.766,77.638,80.095,79.73,77.897,78.356,0
77.401,80.204,79.091,79.284,80.67,79.382,0
80.412,80.279,78.775,78.634,80.657,78.139,0
80.529,74.817,81.337,80.092,74.216,81.442,0
81.584,84.031,82.152,81.867,83.15,80.838,0
80.697,80.413,81.255,79.562,80.477,78.782,0
78.462,78.553,78.715,81.686,78.215,80.672,0
79.701,78.682,79.343,80.136,78.957,80.479,0
78.676,78.523,79.047,79.626,79.426,76.878,0
79.205,79.584,79.704,76.761,79.105,77.451,0
79.874,79.409,79.915,80.155,79.971,79.72,0
78.635,81.772,80.855,79.405,82.01,78.043,0
82.134,78.346,83.265,83.465,79.869,81.378,0
80.636,78.213,80.365,80.576,77.993,77.996,0
78.511,81.018,78.152,79.316,81.485,80.19,0
79.825,78.73,82.224,79.297,78.73,82.115,0
82.594,75.634,79.675,82.657,75.748,82.924,0
77.581,82.242,80.742,78.406,81.836,80.547,0
79.008,84.793,80.792,79.371,84.602,79.739,0
78.793,82.065,80.619,78.578,80.339,79.61,0
80.606,82.857,79.658,81.681,83.573,80.284,0
77.948,77.528,78.789,78.062,77.919,79.751,0
77.436,79.942,78.512,78.631,81.217,80.478,0
81.45,77.446,81.796,81.864,79.6,81.483,0
81.112,81.642,80.868,81.696,82.15,79.503,0
79.315,79.388,80.023,80.118,80.947,79.123,0
80.221,81.633,81.369,79.863,81.826,77.681,0
76.43,80.466,77.186,74.956,81.154,76.188,0
77.267,80.974,77.322,76.819,81.946,78.992,0
79.808,79.723,79.016,78.863,80.188,78.643,0
77.557,75.627,79.431,77.123,76.704,77.183,0
79.619,79.363,79.826,79.205,79.637,80.266,0
78.76,78.031,78.709,79.305,79.245,73.817,0
76.356,77.868,75.788,76.43,76.46,77.888,0
76.764,85.019,79.995,77.313,85.206,78.289,0
79.209,81.808,78.141,77.188,81.194,76.163,0
77.965,81.569,77.239,75.117,82.45,80.798,1
77.012,82.425,77.163,76.06,81.769,79.1,1
78.41,80.328,78.436,79.151,80.078,79.576,1
80.724,78.693,79.423,77.948,80.837,81.631,1
81.668,79.573,81.495,79.682,79.707,81.334,1
76.652,79.839,74.827,74.004,80.455,74.477,1
74.694,77.557,76.998,74.568,78.844,73.742,1
78.634,77.9,79.078,78.523,78.319,79.241,1
81.444,79.669,81.762,79.825,80.446,80.264,1
79.632,81.063,77.157,80.376,81.715,80.339,1
77.946,78.394,78.398,76.126,78.44,77.307,1
76.808,78.975,75.688,74.797,79.038,75.962,1
81.646,80.414,82.873,81.525,80.721,80.914,1
77.546,79.739,78.717,78.684,80.408,77.701,1
75.992,80.38,74.38,76.943,81.772,74.782,1
79.052,78.008,80.197,73.955,79.078,77.256,1
78.432,79.022,79.776,78.432,79.231,79.598,1
73.741,79.703,77.273,73.639,79.66,79.604,1
83.078,80.379,80.448,81.292,79.976,82.86,1
78.375,81.139,78.343,76.965,81.169,80.352,1
78.595,79.642,79.718,78.023,78.146,77.532,1
76.529,83.61,78.386,75.552,83.704,76.581,1
75.692,80.933,75.803,75.266,81.204,78.696,1
78.75,80.185,80.657,78.821,81.006,80.308,1
76.452,78.706,76.502,76.022,79.47,76.298,1
78.962,78.49,79.353,78.784,78.585,77.377,1
78.206,79.564,78.019,77.676,78.626,77.476,1
77.906,80.368,76.967,75.2,80.692,76.069,1
81.529,77.981,79.401,80.986,78.342,79.392,1
77.64,77.199,79.499,77.572,77.795,77.38,1
80.385,78.664,81.152,77.752,78.996,77.876,1
80.598,79.511,79.151,76.792,79.539,77.891,1
81.865,79.035,83.412,81.578,79.399,80.771,1
82.265,79.045,82.267,81.578,79.498,81.687,1
83.063,79.976,84.952,82.767,80.645,82.79,1
78.716,78.517,81.822,79.371,78.187,79.779,1
76.482,80.388,78.691,76.604,80.968,76.606,1
76.887,80.287,78.534,76.285,80.711,76.471,1
77.869,77.63,80.564,79.201,77.63,80.294,1
78.229,79.12,80.545,79.581,79.711,80.497,1
76.049,77.497,81.344,76.669,78.441,77.43,1
78.007,80.253,78.683,78.292,79.781,76.858,1
79.835,79.8,78.177,78.388,79.457,79.547,1
77.305,80.153,79.965,78.373,80.329,79.501,1
77.886,77.331,79.28,78.494,78.587,77.766,1
77.801,79.083,77.024,77.846,79.282,78.558,1
80.451,79.297,77.749,76.526,79.761,75.501,1
79.815,81.38,79.109,76.469,80.771,81.299,1
76.479,80.004,80.336,78.788,80.887,78.871,1
78.818,77.479,79.753,80.728,77.479,78.519,1
78.349,79.202,79.216,77.775,80.807,76.639,1
78.91,79.336,79.131,80.176,79.336,78.357,1
77.683,80.773,78.078,75.707,81.995,77.282,1
78.456,77.689,80.767,78.036,78.784,79.212,1
82.058,81.506,81.884,80.137,81.749,82.169,1
83.853,78.255,82.427,82.185,78.688,83.711,1
78.875,78.653,76.407,77.438,79.135,80.014,1
79.5,78.998,78.882,77.913,79.739,78.961,1
78.645,80.416,80.174,78.712,80.3,77.345,1
79.216,78.446,80.723,78.168,78.721,77.645,1
79.788,80.829,77.049,79.667,81.596,78.516,1
76.396,79.352,79.688,78.611,79.857,74.909,1
75.904,79.545,79.388,76.394,80.207,79.082,1
81.031,78.119,83.727,82.237,78.231,81.152,1
78.412,81.223,82.055,80.793,81.324,77.604,1
78.653,81.223,82.622,78.429,80.594,80.925,1
77.748,78.854,79.021,75.935,80.173,81.74,1
80.937,80.362,82.386,79.615,81.138,80.112,1
80.786,80.456,82.752,82.03,79.544,84.87,1
82.737,80.962,83.482,80.158,80.561,83.824,1
76.138,80.262,79.874,76.674,81.116,78.197,1
77.622,80.553,80.879,80.448,80.684,80.714,1
80.152,79.662,79.75,79.374,80.712,79.281,1
78.065,77.436,80.501,78.03,78.407,78.944,1
78.649,80.65,78.147,78.345,81.314,77.945,1
77.925,80.34,77.457,79.026,80.283,78.228,1
78.303,81.894,79.214,78.544,81.111,78.173,1
82.023,80.634,81.658,78.009,80.716,81.778,1
79.168,80.713,79.799,78.789,81.059,79.691,1
78.575,79.819,80.617,79.977,82.441,81.067,1
79.362,79.3,79.554,79.478,79.192,80.319,1
83.116,79.257,81.645,82.268,79.245,80.583,1
81.508,80.484,79.809,80.749,80.296,80.814,1
77.424,79.198,80.318,78.217,78.577,80.418,1
77.568,81.741,79.98,77.095,80.898,77.832,1
78.971,79.074,79.233,78.56,78.476,79.431,1
80.66,78.039,79.598,80.202,78.764,80.688,1
81.461,82.258,81.182,79.883,81.059,80.382,1
78.629,81.455,78.635,76.724,81.684,77.052,1
79.438,79.523,80.984,80.689,79.737,82.726,1
79.498,82.381,79.566,79.179,81.55,78.987,1
79.643,77.759,79.828,77.313,78.841,79.064,1
81.933,78.223,81.215,81.873,79.291,82.371,1
78.557,78.476,79.563,77.697,78.719,77.725,1
80.006,78.183,81.961,80.976,79.063,75.359,1
78.156,79.316,80.761,78.092,79.408,76.681,1
79.9,79.725,81.089,77.759,79.777,76.382,1
83.101,76.967,83.576,80.451,77.117,83.497,1
80.481,78.58,78.191,78.141,79.176,77.085,1
85.276,78.669,83.268,83.493,78.576,84.821,1
77.873,78.462,77.745,76.301,77.909,77.403,1
78.138,77.437,80.22,79.848,78.582,81.207,1
79.223,78.667,80.047,78.996,80.407,77.158,1
79.388,79.47,79.791,78.388,79.741,80.319,1
79.715,80.897,81.606,79.964,81.124,79.278,1
