,CV
260,"
Experience:

2013-2019 -  entrepreneur . Sales  of medical equipment and related medical goods (ФОП Петрова С.С /МЕДТЕХНІКА) : 
Organization and support of daily work (retail).
Selection of employees
Concluding contracts with suppliers
Solving Transport and Logistics Problems (Receipt, Relocation, Revaluation, Return to Suppliers; Accounting for Payments to Suppliers and Contractors, Buyers and Customers) 
2019-2021 - COO in art studio (Artichoke art & fashion school)
Sales of education short term courses ( art direction)
Selection of employees
Organization of teamwork  (6 people)
Creation and distribution of tasks in teams
Project management (development of a monthly work plan for various disciplines (from course programs, marketing activities to statistics of enrollment in core courses), project management 'weekend' (master classes, public talks), student accounting and database maintenance)
Summary of Achievements:
• Planned, directed, and managed projects.
• Ensured that objectives were accomplished in accordance with outlined priorities.• Coordinated the successful simultaneous development of several projects.
• Delegated responsibilities and designed time schedules
Negotiated contracts that ensured quality.
"
261,"I came to work at the company as an average employee, an ordinary manager. As a result, my ""growth"" from manager to team leader occurred in three weeks.
/
I'm continue my studies, I've commenced my third course from Google ""Project Planning: Putting It All Together"".
Experience as a Team Leader for 8 months.

My duties and responsibilities as a Team Leader:
-Organising team work: create an inspiring team environment with an open communication culture.
-Communicating goals: set clear team goals.
-Delegate tasks and set deadlines.
-Oversee day-to-day operation.
-Connecting work to context.
-Delegating tasks and set deadlines for my internal team.
-Monitor team performance and reporting progress to stakeholders.
-Representing and advocating for team needs.
-Managing project progress, allocating and managing resources.
-Motivate team members and leading by example.
-Discover training needs and coaching to improve team member skill sets.
-Listen to team members’ feedback and problem solving as they arise.
-Motivating team members to accomplish their goals and recognise high performance and reward accomplishments.
-Organise team building activities.


Herewith a list of my skills specific to the job prerequisite Project Manager:
English: Advanced, Ukrainian, Russian: First Language.
Basic knowledge of Waterfall, Agile, Scrum, Kanban, Lean and Six Sigma. 

Definitions and creations measurable project goals and outcomes; how to define project scope, distinguish between in- and out-of-scope tasks and avoid scope changes. 
How to define and measure project success criteria (including launching and landing of project). 
Familiar with consistent project documentation, key components of project proposals and charters, developed my own project charter during the course, and evaluated various project management tools to meet project needs.
Know ways to evaluate stakeholders:
- The power grid
- RACI chart

Utilising tools/Know how to use: 
• Cost Benefit Analysis
- Establish project goals
- Create the scope
- Provide deliverables
- Define success criteria

• Methods for determining project goals and deliverables: SMART, OKRs
• Defining project scope
• Work with the Triple Constraint

• Understanding project resource needs - budget, people, and materials.


Skills: flexibility, time-management, strategic planning, multitasking, prioritise tasks, fast learning, proactivity, escalation.


IT Education:
Coursera - Google Project Management
""Project Initiation: Starting a Successful Project""
Nov, 2022-Dec, 2022
Grade received: 87.76%

Coursera - Google Project Management
""Foundations of Project Management""
Jun, 2022-Nov, 2022
Grade received: 89.03%
I was grateful to my office leaders for the trust they show in me. Later on I worked with diligence and pleasure in the job I was given. In the first month, my team achieved their goals."
262,"
Experienced Account Manager with over 15 years of extensive experience building, maintaining, and running successful
creative, production and digital marketing campaigns and projects. Bringing forth a motivated attitude and the ability
to establish strong and productive relationships with other company members. Adept in overseeing the progress of
operations, and monitoring cross-company projects. Experienced in leading staff members and evaluating project
progress to achieve results in a timely manner.

""DAO PM"" IAMPM laboratory of non-technical IT education
During the course, I gained practical skills such as: to draw up project documentation; to work with different types of contracts; to communicate with the customer and the team; to manage risks, resources and time; to conduct business correspondence and to work with project documentation; to manage customer expectations; to create WBS and transfer tasks to performers; to work with priorities; to present ready-made solutions, demo versions, prototypes to the customer.
"
263,"
Experienced Account/Sales/Project Manager with top-notch implementation and project management abilities. Well-versed in implementation of operational assessments and conducting functional requirements analysis for businesses of all sizes. Practiced negotiator and networker with positive mentality and strong critical thinking skills. Highly organized, methodical and skilled at overseeing daily milestones across high-performance teams. Well-versed in commercial, production, sales, planning and deployment (non-IT sphere). Experienced in B2B sales (commercial offers, negotiations, contracts/agreements, bills), HR (hiring employees to the departament) account management (maintaining ongoing relationships with customers), operations (management and accounting, SWAP analysis, cost reduction, monitoring compliance with profitability indicators), MS Office, MS Project, some Jira experience, SMM experience (Google adwords, Facebook Ads). Experienced in working with large international product companies (Rosneft Russia, Gazprom Russia, Arkema France, Hunstman Corporation USA, GSFC India, Repsol Spain). Advanced English Level. Experience in doing business from the moment of company start-up till full-fledged independent functioning. Working opportunity on Eastern Standard Time as well as on Ukrainian time. Full understanding of business processes, customer desires and employee capabilities. Available online for clients 24/7. Master's degree in Economics, PHD courses in Economics, Bachelor's degree in Internaitonal Law, Master's degree courses in International Law. Actively developing in the field of IT business processes. Attending online Software Product Management courses at the University of Altera (Canada). Quick learner. Communicative.
"
264,"I got my first hands-on experience as a PM when I registered my own clothing brand back in 2012. Discipline, self-education, and passion helped me get to  25 000$ of annual income in the first two years of working on this project.
I was also very pleased with the results of our Kickstarter campaigns of which one successfully received community funding of 124k$ and the other 431k$
Experienced in Project Launching, Project Managing, Scope, Scheduling, Gant  Scrum, Agile, Asana, KanBan, Waterfall, Trello, Jira, Art Direction, Brand Management, Teamwork, AI, AE,  PS, 3D Coat, ZBrush, Ableton.
 Interested in GameDev\Production\IT\Fashion segments. Have experience with all of the activities and instruments listed above. Skilled in the implementation of PM instruments, leading and directing teams of artists and managers, B2B\B2C communication. Have good problem-solving skills. Would like to Create, Manage, Implement and most of all achieve results.
It will be my pleasure to work in a team with a good working structure and well-tuned processes or in a team that needs my help in implementing those essentials. Preferably a company that has zones of responsibilities clearly distributed.
I will be happy to provide assistance to artists and designers as I have experience in these fields.
I am also looking for an opportunity to learn the nuances of the job hands-on as well as improving my skills and knowledge in related occupations."
265,"Finished courses: 
OCT 2022 - Online Course of coding. “SheCodes Basics”.
Credential ID 2cae7c4c6951922e89181950f7750d6e
MAR 2021 - IAMP Online Course “DAO PM” 
APR 2019 Online Course “Pre Project Management Program” MindsetPM Credential ID ID: PM-ONLINE-20190429-02
APR 2019 Online Course: To Be a Manager MindsetPM
Credential ID 20190410-1629
- Team member of the “Best Service production in the world” Radioaktivefilm. 
- Was listed as one the ten most effective IT recruiters in Ukraine, the rating
of the portal for developers DOUwa and the job search service jinni.co in
2015.
- Fixer for US Olympics Committee in Kyiv, BBC “Top Gear” show, Aljazeera, etc.,
Experienced  Project manager in such fields as publishing and film industry. Since February 2022, I have been working as IT Project Manager in Outsource company.
Familiar with the following IT project manager obligatory knowledge: 
— Agile practices;
— web/mobile development lifecycle, project planning;
— Slack, Trello, Jira;
— team motivation and problem-solving;
— Tolerant to critical and stressful situations;
— Excellent communication skills;
— Fluent in written and spoken English.
Easygoing, ready to make crucial decisions, quick learner, highly responsible, capable of delivering powerful executions, have the desire to work on the most challenging projects, friendly, and have a good sense of humour.
To practice and improve my knowledge as a Project Manager. To be a part of interesting project. To keep develop new skills. Be a part of the team who will be my second family."
266,"Accomplishment: Increased ROI through Highly Targeted Digital Advertising Campaign

Project Description: The project involved planning and executing a targeted digital advertising campaign for an e-commerce company to drive sales and maximize return on investment (ROI).

1. Collaborated with marketing and sales teams to define campaign objectives, including specific sales targets and ROI goals.

2. Conducted market research to identify the most promising customer segments and refine target demographics.

3. Optimized the campaign for various channels, including social media, search engines, and display networks.

4. Provided regular performance reports to stakeholders, highlighting key metrics such as click-through rates, conversion rates, and ROI.
Experienced project manager with 1,5+ years of project and team management experience. Worked with projects related to the digital marketing. Increased the company's average check by 1.5 times for the company's services due to effective team management and established communication with clients. The average cycle of client cooperation with the agency was 6+ months.
- Overtime work (in case this work is not paid additionally);
- Poor Communication: ineffective communication with team members, clients, and stakeholders can lead to misunderstandings, missed deadlines, and increased tension."
267,"
Experienced TV project manager in charge of the news product development and people management, seeking for the job opportunities in IT sphere. Being used to working under time pressure, value accuracy and open communication. Fluent in English.

Today:
- finished Beetroot Academy (PM in IT course)
- gained Google Project Management Professional Certificate

Core responsibilities on the previous work:
• Managing, organizing and control work of 20+people team; 
• leading of 4 projects at once;
• tasks prioritization, estimation and delegation;
• maintenance of the whole news product lifecycle – from the idea, through specifications and development to realization
• in charge of organizing planning meetings, daily meetings and retrospectives;
• maintenance of project documentation (Avid Newsroom Computer System, Google spreadsheets, Excel documents) and reporting to main stakeholders;
• changes and risk management on execution phase;
• control under the live broadcast process, working closely with the technical support (hardware-studio complex team);
• mentoring the work of TV presenters (during live + planning the broadcast in advance).
"
268,"
EXPERIENCE:

I  help our project manager on projects: therefore understanding of methodologies: Agile, Kanban, Scrum. I understand how to work with JIRA, Confluence; and how to take the project from scratch to completion and how the budget for the project is calculated taking into account the time limits and the wishes of the client.

EVNE Developers 
Junior Sale manager
January 2023- till now

•  -Search for potential leads on LinkedIn and other sources
•  -Analyze IT job descriptions on companies' websites
•  -Send messages (LinkedIn/E-mail), engage and qualify leads
•  -work with warm and cold audiences (correspondence and pre-sale)
•  Analysis and elaboration of markets
•  Conducting negotiations with customers of different levels
•  Coordination of projects at all stages of launch and maintenance, including the collection of information about the client, price negotiations, and the conclusion

Business Development Representative,
June 2022-till now
o  Search for potential leads on LinkedIn and other sources
o  Analyze IT job descriptions on companies' websites
o  Send messages (LinkedIn/E-mail), engage and qualify leads
o  Execute proper TEAM’s introduction during business correspondence via LinkedIn/E-mail
o  Follow leads on regular basis
o  Set up intro calls with Account Executive
o  Prepare company profiles for the intro calls
o  Create notes after the intro calls
o  Maintain data in CRM (Salesforce)
o  Continue to expand knowledge in sales and IT
Lead generation manager 
February 2022- June 2022 
Responsibilities:
o  Generating business leads the inbound/outbound way;
o  Attracting and converting prospects into leads;
o  Building up effective communications with prospects via social media (LinkedIn etc);
o  Search and analyze information on potential or existing customers and markets;
o  Actively participate in identifying new markets and directions;
o  Working with cold emails automation tools; (Snov.io); (expaidi
o  Working with CRM daily (Hubspot);
o  Work closely with the Business Development Manager in order to deliver the Lead Generation plans;
o  Fundamental research of the companies and contacts within focus markets and target companies;
"
269,"- Implemented CRM system to the company from scratch
- Conducted training on the use of CRM for 13 partner companies
- Managed the designer, 2 developers, tester under 7 projects
- Released 3 e-commerce, 3 corporate, 1 landing websites during 7 month including 3 of them convert from lead to successful project
- General understanding of technology development websites HTML, CSS, PHP, SQL, the layout of websites
- Ability to work under pressure, on tight deadlines, and solve problems with delays on the part of developers
- Experienced in CRM systems Bitrix24
- Designed the scheme of the project from the lead till its release that helps company to act in more confident manner
Experience in customer relations – more than 7 years
Experience in management – more than 3 years
HTML, CSS, PHP – 1 year of experience
Bitrix 24 – 1 year of experience
Package Microsoft Office – 7 years of experience
Не люблю заниматься холодными звонками.
Люблю общаться с людьми, помогать придумывать фичи при создании сайтов или приложений, находить решения для возникших проблем."
