,CV DoorDash_PM Score
0,81.061
1,84.806
2,81.328
3,82.467
4,81.239
5,78.576
6,81.196
7,80.252
8,84.576
9,79.446
10,81.59
11,79.582
12,85.334
13,79.147
14,84.456
15,80.748
16,78.747
17,80.034
18,79.222
19,78.72
20,81.981
21,77.844
22,82.191
23,80.268
24,81.376
25,79.921
26,81.741
27,82.577
28,79.643
29,82.204
30,80.412
31,83.747
32,83.41
33,80.488
34,78.533
35,82.808
36,82.911
37,79.108
38,85.071
39,80.347
40,79.548
41,77.226
42,82.431
43,80.178
44,79.263
45,80.745
46,81.369
47,81.448
48,80.692
49,79.425
50,83.81
51,82.776
52,78.394
53,79.21
54,75.63
55,78.077
56,81.891
57,77.147
58,82.487
59,81.159
60,83.06
61,81.739
62,83.006
63,81.921
64,81.118
65,77.278
66,81.733
67,82.369
68,81.93
69,80.587
70,78.893
71,84.068
72,81.257
73,78.357
74,85.063
75,77.09
76,81.318
77,85.619
78,82.794
79,78.957
80,80.064
81,82.266
82,81.905
83,83.257
84,78.534
85,83.421
86,78.766
87,80.782
88,80.259
89,82.705
90,82.431
91,82.61
92,82.365
93,80.758
94,81.767
95,79.957
96,81.575
97,82.244
98,83.887
99,83.523
100,82.712
101,81.421
102,81.739
103,82.691
104,79.894
105,82.429
106,84.072
107,86.226
108,82.022
109,82.225
110,77.676
111,81.82
112,75.947
113,83.692
114,81.879
115,80.707
116,81.438
117,80.522
118,81.658
119,83.731
120,83.276
121,79.291
122,84.793
123,83.757
124,78.55
125,79.793
126,79.524
127,82.209
128,83.692
129,81.896
130,78.75
131,80.813
132,83.072
133,81.579
134,79.328
135,83.897
136,82.934
137,77.038
138,79.224
139,84.515
140,83.958
141,81.297
142,80.619
143,78.942
144,78.897
145,78.552
146,79.871
147,81.35
148,84.624
149,82.581
150,78.309
151,85.277
152,79.051
153,80.395
154,80.329
155,76.664
156,81.203
157,84.533
158,83.062
159,83.818
160,78.785
161,82.805
162,77.633
163,79.316
164,81.943
165,76.085
166,78.873
167,83.258
168,81.268
169,78.64
170,78.478
171,82.198
172,82.059
173,80.915
174,81.245
175,80.522
176,79.313
177,82.226
178,81.471
179,81.726
180,74.687
181,81.497
182,79.557
183,79.557
184,82.229
185,79.405
186,84.608
187,80.46
188,80.465
189,82.819
190,80.367
191,78.76
192,82.005
193,84.72
194,78.112
195,83.121
196,83.253
197,81.368
198,79.012
199,80.697
200,82.452
201,80.463
202,79.485
203,82.934
204,81.023
205,79.193
206,82.243
207,83.329
208,81.598
209,77.563
210,84.02
211,78.753
212,78.047
213,80.2
214,82.275
215,81.813
216,72.684
217,82.953
218,75.122
219,79.49
220,82.145
221,77.294
222,77.803
223,81.062
224,79.93
225,79.006
226,78.149
227,80.306
228,82.156
229,77.328
230,81.13
231,78.274
232,81.436
233,81.637
234,81.369
235,78.668
236,81.307
237,83.532
238,82.702
239,78.003
240,83.212
241,81.222
242,81.245
243,78.863
244,79.373
245,76.503
246,83.182
247,81.416
248,80.28
249,80.558
250,82.792
251,84.901
252,79.51
253,82.553
254,83.35
255,76.679
256,79.645
257,80.626
258,80.179
259,79.183
