,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo DoorDash_PM Score
0,77.021
1,78.441
2,77.555
3,77.574
4,77.351
5,83.144
6,79.054
7,77.706
8,80.508
9,78.548
10,77.007
11,81.402
12,84.195
13,80.852
14,81.027
15,78.08
16,79.043
17,77.061
18,78.605
19,78.975
20,81.298
21,81.523
22,81.946
23,77.417
24,75.679
25,78.665
26,76.143
27,76.486
28,83.409
29,79.948
30,81.598
31,80.803
32,80.867
33,79.078
34,79.312
35,79.886
36,76.513
37,79.576
38,78.822
39,79.918
40,77.824
41,78.448
42,80.08
43,77.981
44,77.517
45,79.035
46,79.411
47,80.91
48,81.7
49,79.621
50,74.751
51,81.924
52,80.625
53,80.028
54,79.326
55,78.844
56,78.139
57,79.322
58,77.764
59,76.624
60,78.073
61,78.394
62,80.319
63,75.641
64,79.928
65,77.216
66,80.164
67,80.586
68,77.722
69,78.255
70,75.243
71,80.538
72,77.291
73,78.774
74,76.425
75,75.386
76,79.779
77,81.817
78,77.284
79,76.498
80,78.908
81,80.708
82,79.376
83,77.07
84,77.082
85,76.863
86,77.806
87,80.813
88,75.267
89,78.791
90,83.9
91,79.723
92,79.498
93,78.513
94,79.73
95,79.284
96,78.634
97,80.092
98,81.867
99,79.562
100,81.686
101,80.136
102,79.626
103,76.761
104,80.155
105,79.405
106,83.465
107,80.576
108,79.316
109,79.297
110,82.657
111,78.406
112,79.371
113,78.578
114,81.681
115,78.062
116,78.631
117,81.864
118,81.696
119,80.118
120,79.863
121,74.956
122,76.819
123,78.863
124,77.123
125,79.205
126,79.305
127,76.43
128,77.313
129,77.188
130,75.117
131,76.06
132,79.151
133,77.948
134,79.682
135,74.004
136,74.568
137,78.523
138,79.825
139,80.376
140,76.126
141,74.797
142,81.525
143,78.684
144,76.943
145,73.955
146,78.432
147,73.639
148,81.292
149,76.965
150,78.023
151,75.552
152,75.266
153,78.821
154,76.022
155,78.784
156,77.676
157,75.2
158,80.986
159,77.572
160,77.752
161,76.792
162,81.578
163,81.578
164,82.767
165,79.371
166,76.604
167,76.285
168,79.201
169,79.581
170,76.669
171,78.292
172,78.388
173,78.373
174,78.494
175,77.846
176,76.526
177,76.469
178,78.788
179,80.728
180,77.775
181,80.176
182,75.707
183,78.036
184,80.137
185,82.185
186,77.438
187,77.913
188,78.712
189,78.168
190,79.667
191,78.611
192,76.394
193,82.237
194,80.793
195,78.429
196,75.935
197,79.615
198,82.03
199,80.158
200,76.674
201,80.448
202,79.374
203,78.03
204,78.345
205,79.026
206,78.544
207,78.009
208,78.789
209,79.977
210,79.478
211,82.268
212,80.749
213,78.217
214,77.095
215,78.56
216,80.202
217,79.883
218,76.724
219,80.689
220,79.179
221,77.313
222,81.873
223,77.697
224,80.976
225,78.092
226,77.759
227,80.451
228,78.141
229,83.493
230,76.301
231,79.848
232,78.996
233,78.388
234,79.964
235,79.225
236,78.243
237,77.479
238,76.854
239,75.034
240,77.853
241,78.925
242,81.721
243,81.044
244,78.753
245,78.955
246,78.445
247,76.512
248,81.481
249,77.425
250,79.873
251,79.398
252,78.042
253,80.052
254,81.583
255,79.956
256,80.579
257,79.177
258,76.113
259,76.87
