,Modified_claude-sonnet-4-20250514_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelclaude-sonnet-4-20250514 DoorDash PM Score
0,79.622
1,83.721
2,81.17
3,80.987
4,79.79
5,78.724
6,79.343
7,80.024
8,78.739
9,77.698
10,79.443
11,80.992
12,79.492
13,79.747
14,79.724
15,78.219
16,80.463
17,80.313
18,77.63
19,79.797
20,77.638
21,79.849
22,79.973
23,80.704
24,77.936
25,79.451
26,79.251
27,80.902
28,80.943
29,75.921
30,81.595
31,79.336
32,80.431
33,77.672
34,81.61
35,79.293
36,78.059
37,79.264
38,80.054
39,78.875
40,81.416
41,81.09
42,79.644
43,78.339
44,81.354
45,79.645
46,80.457
47,80.297
48,81.513
49,81.196
50,80.747
51,80.36
52,80.313
53,78.652
54,81.136
55,80.17
56,82.784
57,80.395
58,80.477
59,82.441
60,79.016
61,79.179
62,80.34
63,79.733
64,82.432
65,78.539
66,80.056
67,81.605
68,81.707
69,79.722
70,81.825
71,78.589
72,78.223
73,78.624
74,78.019
75,79.17
76,78.813
77,77.337
78,79.127
79,78.464
80,78.384
81,78.769
82,79.561
83,80.254
84,81.241
85,75.659
86,76.754
87,79.972
88,80.885
89,80.625
90,80.677
91,77.165
92,83.536
93,77.139
94,77.897
95,80.67
96,80.657
97,74.216
98,83.15
99,80.477
100,78.215
101,78.957
102,79.426
103,79.105
104,79.971
105,82.01
106,79.869
107,77.993
108,81.485
109,78.73
110,75.748
111,81.836
112,84.602
113,80.339
114,83.573
115,77.919
116,81.217
117,79.6
118,82.15
119,80.947
120,81.826
121,81.154
122,81.946
123,80.188
124,76.704
125,79.637
126,79.245
127,76.46
128,85.206
129,81.194
130,82.45
131,81.769
132,80.078
133,80.837
134,79.707
135,80.455
136,78.844
137,78.319
138,80.446
139,81.715
140,78.44
141,79.038
142,80.721
143,80.408
144,81.772
145,79.078
146,79.231
147,79.66
148,79.976
149,81.169
150,78.146
151,83.704
152,81.204
153,81.006
154,79.47
155,78.585
156,78.626
157,80.692
158,78.342
159,77.795
160,78.996
161,79.539
162,79.399
163,79.498
164,80.645
165,78.187
166,80.968
167,80.711
168,77.63
169,79.711
170,78.441
171,79.781
172,79.457
173,80.329
174,78.587
175,79.282
176,79.761
177,80.771
178,80.887
179,77.479
180,80.807
181,79.336
182,81.995
183,78.784
184,81.749
185,78.688
186,79.135
187,79.739
188,80.3
189,78.721
190,81.596
191,79.857
192,80.207
193,78.231
194,81.324
195,80.594
196,80.173
197,81.138
198,79.544
199,80.561
200,81.116
201,80.684
202,80.712
203,78.407
204,81.314
205,80.283
206,81.111
207,80.716
208,81.059
209,82.441
210,79.192
211,79.245
212,80.296
213,78.577
214,80.898
215,78.476
216,78.764
217,81.059
218,81.684
219,79.737
220,81.55
221,78.841
222,79.291
223,78.719
224,79.063
225,79.408
226,79.777
227,77.117
228,79.176
229,78.576
230,77.909
231,78.582
232,80.407
233,79.741
234,81.124
235,75.846
236,76.444
237,80.16
238,81.992
239,79.926
240,80.242
241,77.667
242,84.008
243,77.494
244,78.661
245,80.63
246,80.279
247,74.531
248,83.332
249,80.413
250,80.666
251,78.126
252,76.033
253,80.239
254,77.941
255,79.686
256,79.636
257,79.98
258,81.844
259,78.309
