,CV DoorDash_PM Score
260,81.061
261,84.806
262,81.328
263,82.467
264,81.239
265,78.576
266,81.196
267,80.252
268,84.576
269,79.446
270,81.59
271,79.582
272,85.334
273,79.147
274,84.456
275,80.748
276,78.747
277,80.034
278,79.222
279,78.72
280,81.981
281,77.844
282,82.191
283,80.268
284,81.376
285,79.921
286,81.741
287,82.577
288,79.643
289,82.204
290,80.412
291,83.747
292,83.41
293,80.488
294,78.533
295,82.808
296,82.911
297,79.108
298,85.071
299,80.347
300,79.548
301,77.226
302,82.431
303,80.178
304,79.263
305,80.745
306,81.369
307,81.448
308,80.692
309,79.425
310,83.81
311,82.776
312,78.394
313,79.21
314,75.63
315,78.077
316,81.891
317,77.147
318,82.487
319,81.159
320,83.06
321,81.739
322,83.006
323,81.921
324,81.118
325,77.278
326,81.733
327,82.369
328,81.93
329,80.587
330,78.893
331,84.068
332,81.257
333,78.357
334,85.063
335,77.09
336,81.318
337,85.619
338,82.794
339,78.957
340,80.064
341,82.266
342,81.905
343,83.257
344,78.534
345,83.421
346,78.766
347,80.782
348,80.259
349,82.705
350,82.431
351,82.61
352,82.365
353,80.758
354,81.767
355,79.957
356,81.575
357,82.244
358,83.887
359,83.523
360,82.712
361,81.421
362,81.739
363,82.691
364,79.894
365,82.429
366,84.072
367,86.226
368,82.022
369,82.225
370,77.676
371,81.82
372,75.947
373,83.692
374,81.879
375,80.707
376,81.438
377,80.522
378,81.658
379,83.731
380,83.276
381,79.291
382,84.793
383,83.757
384,78.55
385,79.793
386,79.524
387,82.209
388,83.692
389,81.896
390,78.75
391,80.813
392,83.072
393,81.579
394,79.328
395,83.897
396,82.934
397,77.038
398,79.224
399,84.515
400,83.958
401,81.297
402,80.619
403,78.942
404,78.897
405,78.552
406,79.871
407,81.35
408,84.624
409,82.581
410,78.309
411,85.277
412,79.051
413,80.395
414,80.329
415,76.664
416,81.203
417,84.533
418,83.062
419,83.818
420,78.785
421,82.805
422,77.633
423,79.316
424,81.943
425,76.085
426,78.873
427,83.258
428,81.268
429,78.64
430,78.478
431,82.198
432,82.059
433,80.915
434,81.245
435,80.522
436,79.313
437,82.226
438,81.471
439,81.726
440,74.687
441,81.497
442,79.557
443,79.557
444,82.229
445,79.405
446,84.608
447,80.46
448,80.465
449,82.819
450,80.367
451,78.76
452,82.005
453,84.72
454,78.112
455,83.121
456,83.253
457,81.368
458,79.012
459,80.697
460,82.452
461,80.463
462,79.485
463,82.934
464,81.023
465,79.193
466,82.243
467,83.329
468,81.598
469,77.563
470,84.02
471,78.753
472,78.047
473,80.2
474,82.275
475,81.813
476,72.684
477,82.953
478,75.122
479,79.49
480,82.145
481,77.294
482,77.803
483,81.062
484,79.93
485,79.006
486,78.149
487,80.306
488,82.156
489,77.328
490,81.13
491,78.274
492,81.436
493,81.637
494,81.369
495,78.668
496,81.307
497,83.532
498,82.702
499,78.003
500,83.212
501,81.222
502,81.245
503,78.863
504,79.373
505,76.503
506,83.182
507,81.416
508,80.28
509,80.558
510,82.792
511,84.901
512,79.51
513,82.553
514,83.35
515,76.679
516,79.645
517,80.626
518,80.179
519,79.183
