,Modified_openai_gpt-4o_of_CV_Modelopenai_gpt-4o DoorDash_PM Score
0,78.695
1,78.725
2,80.268
3,78.327
4,79.409
5,83.624
6,79.479
7,78.134
8,82.187
9,79.575
10,76.561
11,82.789
12,84.772
13,82.0
14,81.235
15,77.735
16,81.87
17,77.079
18,83.066
19,81.26
20,83.069
21,81.833
22,83.356
23,79.774
24,78.576
25,78.794
26,80.365
27,78.503
28,83.464
29,80.647
30,84.233
31,83.577
32,82.726
33,79.704
34,80.703
35,81.282
36,76.496
37,78.538
38,78.474
39,81.28
40,80.133
41,78.662
42,78.903
43,81.215
44,80.713
45,80.113
46,78.799
47,80.215
48,80.59
49,81.94
50,78.565
51,83.313
52,80.052
53,81.144
54,81.028
55,79.818
56,81.223
57,80.561
58,79.334
59,80.742
60,77.671
61,80.74
62,81.41
63,79.465
64,81.596
65,77.705
66,79.58
67,81.303
68,79.203
69,80.245
70,80.561
71,82.006
72,81.688
73,82.0
74,76.604
75,80.689
76,79.709
77,80.636
78,82.158
79,78.791
80,80.565
81,80.14
82,81.75
83,82.597
84,81.407
85,79.355
86,78.318
87,81.979
88,78.109
89,81.198
90,82.808
91,81.467
92,82.611
93,78.015
94,79.955
95,79.106
96,80.141
97,81.41
98,82.159
99,82.343
100,80.598
101,81.927
102,78.851
103,79.536
104,82.491
105,80.629
106,83.158
107,81.238
108,79.472
109,82.046
110,81.47
111,79.333
112,81.592
113,79.621
114,83.096
115,80.852
116,80.654
117,81.363
118,82.077
119,81.165
120,79.733
121,78.533
122,78.411
123,78.503
124,78.073
125,81.196
126,78.893
127,77.51
128,79.64
129,79.01
130,77.481
131,76.413
132,77.862
133,81.123
134,82.969
135,76.543
136,75.93
137,79.528
138,81.598
139,79.593
140,80.772
141,75.984
142,82.758
143,78.915
144,76.776
145,79.363
146,81.302
147,78.402
148,82.361
149,79.981
150,82.541
151,75.942
152,76.095
153,80.622
154,76.702
155,81.163
156,81.141
157,80.216
158,81.126
159,81.19
160,80.296
161,79.516
162,83.744
163,82.179
164,82.393
165,80.414
166,80.211
167,79.517
168,79.861
169,82.929
170,79.709
171,77.86
172,79.742
173,82.855
174,79.418
175,79.646
176,78.783
177,81.623
178,79.188
179,80.611
180,79.244
181,80.424
182,81.336
183,79.988
184,81.612
185,82.555
186,77.993
187,80.075
188,79.589
189,80.62
190,81.621
191,80.838
192,78.601
193,82.098
194,83.215
195,81.007
196,81.38
197,83.347
198,80.951
199,84.236
200,77.363
201,79.429
202,81.048
203,78.971
204,80.272
205,78.774
206,78.743
207,83.666
208,80.194
209,80.482
210,81.478
211,81.347
212,80.516
213,81.008
214,78.183
215,80.55
216,80.153
217,79.734
218,79.854
219,83.33
220,79.908
221,80.731
222,83.388
223,77.799
224,79.429
225,80.042
226,80.646
227,83.244
228,81.37
229,84.494
230,78.841
231,78.805
232,80.639
233,80.804
234,82.901
235,80.747
236,79.871
237,78.735
238,81.706
239,78.487
240,80.967
241,79.42
242,83.065
243,82.683
244,81.347
245,80.917
246,82.425
247,79.203
248,80.513
249,78.137
250,80.445
251,84.017
252,80.036
253,80.777
254,81.59
255,80.994
256,81.272
257,81.957
258,78.185
259,80.462
