,Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo DoorDash_PM Score
0,75.612
1,76.241
2,77.06
3,78.316
4,79.724
5,81.662
6,80.145
7,77.631
8,82.283
9,77.475
10,73.908
11,81.499
12,82.748
13,80.615
14,82.365
15,78.446
16,78.914
17,77.344
18,79.671
19,79.511
20,82.943
21,80.201
22,79.483
23,76.869
24,76.193
25,79.191
26,77.35
27,78.294
28,82.306
29,80.1
30,81.259
31,83.19
32,79.909
33,78.773
34,78.945
35,79.083
36,76.245
37,78.071
38,79.44
39,79.141
40,76.953
41,76.696
42,79.399
43,78.744
44,79.503
45,77.231
46,79.92
47,78.676
48,79.279
49,79.364
50,78.491
51,82.274
52,81.677
53,79.343
54,80.264
55,77.411
56,78.805
57,79.132
58,76.886
59,77.05
60,77.251
61,78.596
62,79.944
63,77.693
64,81.624
65,77.083
66,79.866
67,80.056
68,77.455
69,78.031
70,76.736
71,80.657
72,80.499
73,79.349
74,76.255
75,76.597
76,77.69
77,80.292
78,76.576
79,76.097
80,78.759
81,79.34
82,81.493
83,78.615
84,77.824
85,79.66
86,79.082
87,80.267
88,79.234
89,79.512
90,82.261
91,78.523
92,77.18
93,78.059
94,79.836
95,77.699
96,77.421
97,79.541
98,81.016
99,78.923
100,80.235
101,78.828
102,76.687
103,77.53
104,79.097
105,80.072
106,81.246
107,80.1
108,78.613
109,78.905
110,82.049
111,77.431
112,79.366
113,81.032
114,80.187
115,78.215
116,77.739
117,79.609
118,78.247
119,77.695
120,79.149
121,75.833
122,76.551
123,77.529
124,79.535
125,78.987
126,78.768
127,76.35
128,76.848
129,76.795
130,79.263
131,76.123
132,76.958
133,78.324
134,81.397
135,76.262
136,75.676
137,76.855
138,81.69
139,79.507
140,77.277
141,77.256
142,81.815
143,77.292
144,76.446
145,77.359
146,79.046
147,74.792
148,80.454
149,79.216
150,78.185
151,76.792
152,75.683
153,78.93
154,75.946
155,79.128
156,79.526
157,78.114
158,79.202
159,77.194
160,76.817
161,78.319
162,81.996
163,79.504
164,83.968
165,81.207
166,76.604
167,76.511
168,78.457
169,81.626
170,81.169
171,76.345
172,78.41
173,79.421
174,77.663
175,77.864
176,76.109
177,79.815
178,77.365
179,79.401
180,76.09
181,78.854
182,77.566
183,79.629
184,80.388
185,83.015
186,77.541
187,78.329
188,78.516
189,78.109
190,79.364
191,77.211
192,77.139
193,79.836
194,78.586
195,82.412
196,81.777
197,83.074
198,82.261
199,84.097
200,77.013
201,79.949
202,78.503
203,78.036
204,76.912
205,74.514
206,78.717
207,79.208
208,78.079
209,77.699
210,79.877
211,80.415
212,79.184
213,79.823
214,76.273
215,80.084
216,80.034
217,78.765
218,78.414
219,77.591
220,78.458
221,77.439
222,81.697
223,77.359
224,78.8
225,77.053
226,77.335
227,83.627
228,78.669
229,85.39
230,76.199
231,78.359
232,78.51
233,76.066
234,79.876
235,77.001
236,77.951
237,77.852
238,81.397
239,77.298
240,79.774
241,80.109
242,82.773
243,78.685
244,81.425
245,79.604
246,79.723
247,76.795
248,80.057
249,76.938
250,80.712
251,83.381
252,78.849
253,80.721
254,81.3
255,81.273
256,79.744
257,82.328
258,78.667
259,76.172
