,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1 DoorDash_PM Score
0,78.092
1,77.796
2,75.227
3,75.891
4,79.542
5,83.557
6,79.996
7,74.045
8,80.763
9,79.383
10,75.594
11,82.854
12,82.894
13,81.349
14,82.174
15,79.388
16,73.356
17,75.978
18,79.489
19,78.595
20,83.483
21,80.214
22,84.559
23,79.465
24,76.283
25,78.669
26,78.913
27,76.902
28,84.681
29,75.335
30,82.555
31,76.743
32,82.55
33,79.286
34,79.382
35,78.428
36,76.653
37,80.746
38,80.885
39,77.492
40,77.969
41,78.453
42,78.41
43,78.891
44,79.393
45,76.446
46,78.576
47,81.394
48,81.242
49,79.016
50,79.218
51,83.758
52,80.833
53,81.575
54,81.548
55,80.843
56,78.124
57,76.803
58,77.235
59,74.875
60,76.568
61,79.705
62,81.941
63,76.563
64,79.935
65,78.386
66,79.407
67,80.651
68,78.124
69,79.556
70,77.574
71,79.261
72,79.632
73,77.636
74,75.843
75,77.563
76,79.923
77,82.224
78,77.526
79,78.978
80,78.041
81,80.018
82,80.253
83,77.797
84,82.571
85,78.92
86,78.7
87,80.683
88,81.756
89,79.684
90,82.378
91,80.545
92,77.413
93,78.613
94,78.356
95,79.382
96,78.139
97,81.442
98,80.838
99,78.782
100,80.672
101,80.479
102,76.878
103,77.451
104,79.72
105,78.043
106,81.378
107,77.996
108,80.19
109,82.115
110,82.924
111,80.547
112,79.739
113,79.61
114,80.284
115,79.751
116,80.478
117,81.483
118,79.503
119,79.123
120,77.681
121,76.188
122,78.992
123,78.643
124,77.183
125,80.266
126,73.817
127,77.888
128,78.289
129,76.163
130,80.798
131,79.1
132,79.576
133,81.631
134,81.334
135,74.477
136,73.742
137,79.241
138,80.264
139,80.339
140,77.307
141,75.962
142,80.914
143,77.701
144,74.782
145,77.256
146,79.598
147,79.604
148,82.86
149,80.352
150,77.532
151,76.581
152,78.696
153,80.308
154,76.298
155,77.377
156,77.476
157,76.069
158,79.392
159,77.38
160,77.876
161,77.891
162,80.771
163,81.687
164,82.79
165,79.779
166,76.606
167,76.471
168,80.294
169,80.497
170,77.43
171,76.858
172,79.547
173,79.501
174,77.766
175,78.558
176,75.501
177,81.299
178,78.871
179,78.519
180,76.639
181,78.357
182,77.282
183,79.212
184,82.169
185,83.711
186,80.014
187,78.961
188,77.345
189,77.645
190,78.516
191,74.909
192,79.082
193,81.152
194,77.604
195,80.925
196,81.74
197,80.112
198,84.87
199,83.824
200,78.197
201,80.714
202,79.281
203,78.944
204,77.945
205,78.228
206,78.173
207,81.778
208,79.691
209,81.067
210,80.319
211,80.583
212,80.814
213,80.418
214,77.832
215,79.431
216,80.688
217,80.382
218,77.052
219,82.726
220,78.987
221,79.064
222,82.371
223,77.725
224,75.359
225,76.681
226,76.382
227,83.497
228,77.085
229,84.821
230,77.403
231,81.207
232,77.158
233,80.319
234,79.278
235,78.37
236,76.511
237,77.205
238,80.888
239,75.973
240,81.828
241,79.168
242,81.346
243,75.82
244,78.786
245,80.805
246,79.571
247,79.283
248,80.004
249,79.48
250,80.414
251,82.985
252,75.533
253,80.767
254,81.414
255,80.912
256,80.858
257,83.069
258,79.466
259,75.58
