,DoorDash_PM
0,80.734
1,83.774
2,82.233
3,83.929
4,81.321
5,80.526
6,84.786
7,80.214
8,84.809
9,81.175
10,83.056
11,82.326
12,84.646
13,81.089
14,85.185
15,81.385
16,78.907
17,82.155
18,79.668
19,80.432
20,80.45
21,78.13
22,82.382
23,80.7
24,81.611
25,78.96
26,82.324
27,81.727
28,80.373
29,82.776
30,78.319
31,83.126
32,83.759
33,83.422
34,78.196
35,82.142
36,82.804
37,79.997
38,85.99
39,79.546
40,81.584
41,77.732
42,81.147
43,81.264
44,80.162
45,80.662
46,81.88
47,81.605
48,80.649
49,80.499
50,85.006
51,82.261
52,79.996
53,80.763
54,79.314
55,77.741
56,80.136
57,80.596
58,82.776
59,81.059
60,82.681
61,79.839
62,82.128
63,82.164
64,82.064
65,80.149
66,82.343
67,82.585
68,80.916
69,79.987
70,78.776
71,84.722
72,82.437
73,77.801
74,83.088
75,80.155
76,81.304
77,81.718
78,81.218
79,80.769
80,79.489
81,83.178
82,81.536
83,81.926
84,80.65
85,85.618
86,77.762
87,82.224
88,81.275
89,82.416
90,82.127
91,82.318
92,83.557
93,81.625
94,83.319
95,79.68
96,79.348
97,82.439
98,85.4
99,82.791
100,83.674
101,81.523
102,83.2
103,85.385
104,81.618
105,83.859
106,84.574
107,86.005
108,82.571
109,80.477
110,77.728
111,81.681
112,76.026
113,84.366
114,83.253
115,83.236
116,81.365
117,80.36
118,81.809
119,85.057
120,81.62
121,79.576
122,84.461
123,84.567
124,81.036
125,83.548
126,79.018
127,82.332
128,82.423
129,82.627
130,75.782
131,81.54
132,84.538
133,82.022
134,80.424
135,84.292
136,81.912
137,79.034
138,78.69
139,84.064
140,84.441
141,83.096
142,81.958
143,83.165
144,82.352
145,79.064
146,82.276
147,83.308
148,84.292
149,82.704
150,78.78
151,86.977
152,80.45
153,80.505
154,79.983
155,78.923
156,81.82
157,84.291
158,83.948
159,83.091
160,81.204
161,82.646
162,77.913
163,80.911
164,82.029
165,79.304
166,79.66
167,82.453
168,83.033
169,80.673
170,82.407
171,82.399
172,80.758
173,82.625
174,82.142
175,81.523
176,84.531
177,83.046
178,81.757
179,81.752
180,79.731
181,84.363
182,82.335
183,81.77
184,82.189
185,80.43
186,84.074
187,80.273
188,80.904
189,81.479
190,80.771
191,78.706
192,81.762
193,85.048
194,81.937
195,82.792
196,84.721
197,83.114
198,80.842
199,80.724
200,83.633
201,79.356
202,78.338
203,83.906
204,84.396
205,82.992
206,82.509
207,83.628
208,82.574
209,79.189
210,82.22
211,80.178
212,78.835
213,81.141
214,81.876
215,80.09
216,75.258
217,82.664
218,75.204
219,81.323
220,82.497
221,76.708
222,79.701
223,82.381
224,81.882
225,82.208
226,78.869
227,82.499
228,83.322
229,77.292
230,81.934
231,79.039
232,82.01
233,82.409
234,81.268
235,78.469
236,83.219
237,84.646
238,83.425
239,79.191
240,83.329
241,81.847
242,81.512
243,79.563
244,79.428
245,76.701
246,85.7
247,83.481
248,82.59
249,82.014
250,81.749
251,84.712
252,82.923
253,81.907
254,83.144
255,75.928
256,81.621
257,80.137
258,80.659
259,79.821
260,79.642
261,83.61
262,80.933
263,80.185
264,78.706
265,78.49
266,79.564
267,80.368
268,77.981
269,77.199
270,78.664
271,79.511
272,79.035
273,79.045
274,79.976
275,78.517
276,80.388
277,80.287
278,77.63
279,79.12
280,77.497
281,80.253
282,79.8
283,80.153
284,77.331
285,79.083
286,79.297
287,81.38
288,80.004
289,77.479
290,79.202
291,79.336
292,80.773
293,77.689
294,81.506
295,78.255
296,78.653
297,78.998
298,80.416
299,78.446
300,80.829
301,79.352
302,79.545
303,78.119
304,81.223
305,81.223
306,78.854
307,80.362
308,80.456
309,80.962
310,80.262
311,80.553
312,79.662
313,77.436
314,80.65
315,80.34
316,81.894
317,80.634
318,80.713
319,79.819
320,79.3
321,79.257
322,80.484
323,79.198
324,81.741
325,79.074
326,78.039
327,82.258
328,81.455
329,79.523
330,82.381
331,77.759
332,78.223
333,78.476
334,78.183
335,79.316
336,79.725
337,76.967
338,78.58
339,78.669
340,78.462
341,77.437
342,78.667
343,79.47
344,80.897
345,75.722
346,75.593
347,79.4
348,81.198
349,79.455
350,80.024
351,76.951
352,83.794
353,77.208
354,77.638
355,80.204
356,80.279
357,74.817
358,84.031
359,80.413
360,78.553
361,78.682
362,78.523
363,79.584
364,79.409
365,81.772
366,78.346
367,78.213
368,81.018
369,78.73
370,75.634
371,82.242
372,84.793
373,82.065
374,82.857
375,77.528
376,79.942
377,77.446
378,81.642
379,79.388
380,81.633
381,80.466
382,80.974
383,79.723
384,75.627
385,79.363
386,78.031
387,77.868
388,85.019
389,81.808
390,81.569
391,82.425
392,80.328
393,78.693
394,79.573
395,79.839
396,77.557
397,77.9
398,79.669
399,81.063
400,78.394
401,78.975
402,80.414
403,79.739
404,80.38
405,78.008
406,79.022
407,79.703
408,80.379
409,81.139
410,79.642
411,83.61
412,80.933
413,80.185
414,78.706
415,78.49
416,79.564
417,80.368
418,77.981
419,77.199
420,78.664
421,79.511
422,79.035
423,79.045
424,79.976
425,78.517
426,80.388
427,80.287
428,77.63
429,79.12
430,77.497
431,80.253
432,79.8
433,80.153
434,77.331
435,79.083
436,79.297
437,81.38
438,80.004
439,77.479
440,79.202
441,79.336
442,80.773
443,77.689
444,81.506
445,78.255
446,78.653
447,78.998
448,80.416
449,78.446
450,80.829
451,79.352
452,79.545
453,78.119
454,81.223
455,81.223
456,78.854
457,80.362
458,80.456
459,80.962
460,80.262
461,80.553
462,79.662
463,77.436
464,80.65
465,80.34
466,81.894
467,80.634
468,80.713
469,79.819
470,79.3
471,79.257
472,80.484
473,79.198
474,81.741
475,79.074
476,78.039
477,82.258
478,81.455
479,79.523
480,82.381
481,77.759
482,78.223
483,78.476
484,78.183
485,79.316
486,79.725
487,76.967
488,78.58
489,78.669
490,78.462
491,77.437
492,78.667
493,79.47
494,80.897
495,75.722
496,75.593
497,79.4
498,81.198
499,79.455
500,80.024
501,76.951
502,83.794
503,77.208
504,77.638
505,80.204
506,80.279
507,74.817
508,84.031
509,80.413
