,DoorDash_PM
0,81.946
1,84.377
2,83.04
3,83.312
4,82.318
5,82.322
6,84.192
7,81.09
8,85.171
9,82.473
10,82.487
11,82.461
12,82.472
13,82.607
14,84.451
15,83.901
16,78.485
17,81.558
18,80.903
19,79.895
20,79.916
21,80.441
22,83.575
23,81.924
24,82.422
25,79.765
26,82.665
27,81.097
28,81.1
29,84.171
30,81.249
31,83.95
32,84.741
33,83.152
34,81.507
35,84.209
36,84.399
37,80.583
38,85.749
39,80.848
40,82.227
41,79.037
42,82.714
43,82.318
44,80.627
45,80.796
46,84.627
47,82.805
48,83.039
49,81.969
50,83.725
51,81.949
52,79.839
53,81.856
54,78.867
55,79.361
56,80.883
57,80.325
58,81.872
59,81.701
60,83.916
61,82.121
62,80.62
63,82.246
64,80.742
65,78.977
66,82.506
67,82.59
68,81.116
69,79.834
70,79.359
71,83.727
72,82.117
73,80.307
74,83.3
75,79.368
76,81.53
77,82.931
78,82.251
79,79.134
80,81.446
81,84.906
82,81.428
83,84.406
84,80.022
85,84.866
86,78.05
87,83.119
88,80.825
89,83.233
90,83.255
91,82.504
92,83.945
93,82.04
94,82.129
95,80.448
96,80.035
97,82.631
98,84.962
99,83.162
100,83.072
101,83.461
102,83.461
103,84.784
104,81.846
105,83.596
106,84.489
107,87.034
108,84.845
109,82.58
110,80.534
111,82.938
112,78.25
113,84.4
114,84.953
115,83.605
116,83.041
117,82.004
118,83.155
119,83.837
120,81.471
121,82.879
122,83.731
123,83.036
124,80.068
125,82.602
126,80.849
127,83.694
128,82.656
129,85.224
130,82.428
131,81.958
132,86.146
133,82.511
134,79.318
135,85.33
136,81.819
137,77.802
138,78.492
139,85.392
140,84.355
141,85.663
142,82.529
143,83.889
144,82.288
145,82.483
146,81.721
147,83.974
148,85.113
149,82.402
150,81.52
151,86.506
152,81.783
153,81.652
154,80.496
155,79.608
156,81.476
157,86.467
158,83.734
159,84.06
160,82.424
161,83.119
162,75.302
163,82.173
164,84.537
165,78.987
166,81.329
167,81.726
168,82.11
169,80.798
170,83.641
171,82.854
172,81.789
173,80.798
174,84.126
175,80.322
176,84.899
177,84.181
178,81.544
179,81.893
180,81.142
181,83.718
182,82.764
183,80.67
184,83.024
185,82.884
186,85.809
187,80.753
188,81.981
189,82.694
190,80.874
191,78.613
192,81.017
193,85.792
194,80.23
195,82.385
196,85.216
197,82.536
198,80.811
199,83.119
200,84.536
201,81.245
202,79.518
203,83.785
204,84.18
205,82.305
206,82.448
207,84.354
208,82.691
209,78.522
210,83.191
211,81.497
212,77.227
213,81.229
214,82.538
215,83.28
216,76.229
217,81.896
218,76.547
219,80.746
220,83.225
221,77.766
222,80.427
223,81.872
224,84.478
225,81.577
226,81.155
227,83.17
228,85.044
229,77.447
230,82.856
231,79.522
232,80.747
233,81.735
234,82.228
235,80.162
236,83.293
237,84.484
238,83.143
239,81.932
240,83.388
241,81.919
242,82.157
243,79.132
244,83.117
245,80.259
246,84.46
247,84.287
248,80.035
249,82.79
250,84.478
251,87.009
252,82.787
253,81.95
254,81.197
255,75.054
256,81.647
257,80.704
258,81.591
259,80.875
260,76.899
261,78.096
262,77.906
263,79.56
264,81.78
265,81.251
266,80.271
267,78.076
268,81.552
269,79.525
270,75.355
271,81.853
272,84.585
273,83.033
274,82.924
275,76.972
276,78.904
277,77.158
278,81.088
279,79.644
280,83.537
281,80.983
282,81.048
283,78.401
284,78.146
285,78.442
286,78.561
287,79.198
288,84.939
289,82.432
290,82.227
291,82.243
292,82.27
293,79.814
294,78.818
295,79.46
296,75.862
297,79.058
298,80.016
299,80.572
300,77.298
301,78.205
302,79.849
303,79.566
304,80.711
305,79.437
306,78.082
307,80.205
308,81.054
309,80.882
310,78.499
311,82.973
312,80.975
313,78.989
314,81.088
315,78.46
316,78.286
317,78.854
318,77.96
319,79.05
320,77.167
321,79.564
322,80.397
323,78.889
324,83.458
325,77.02
326,79.514
327,79.068
328,78.152
329,80.257
330,77.278
331,78.078
332,80.66
333,78.884
334,77.698
335,79.115
336,78.567
337,80.972
338,80.844
339,75.919
340,80.122
341,79.403
342,80.169
343,79.747
344,80.566
345,79.851
346,79.788
347,81.148
348,78.002
349,81.03
350,82.142
351,80.319
352,79.235
353,78.046
354,80.095
355,79.091
356,78.775
357,81.337
358,82.152
359,81.255
360,78.715
361,79.343
362,79.047
363,79.704
364,79.915
365,80.855
366,83.265
367,80.365
368,78.152
369,82.224
370,79.675
371,80.742
372,80.792
373,80.619
374,79.658
375,78.789
376,78.512
377,81.796
378,80.868
379,80.023
380,81.369
381,77.186
382,77.322
383,79.016
384,79.431
385,79.826
386,78.709
387,75.788
388,79.995
389,78.141
390,77.239
391,77.163
392,78.436
393,79.423
394,81.495
395,74.827
396,76.998
397,79.078
398,81.762
399,77.157
400,78.398
401,75.688
402,82.873
403,78.717
404,74.38
405,80.197
406,79.776
407,77.273
408,80.448
409,78.343
410,79.718
411,78.386
412,75.803
413,80.657
414,76.502
415,79.353
416,78.019
417,76.967
418,79.401
419,79.499
420,81.152
421,79.151
422,83.412
423,82.267
424,84.952
425,81.822
426,78.691
427,78.534
428,80.564
429,80.545
430,81.344
431,78.683
432,78.177
433,79.965
434,79.28
435,77.024
436,77.749
437,79.109
438,80.336
439,79.753
440,79.216
441,79.131
442,78.078
443,80.767
444,81.884
445,82.427
446,76.407
447,78.882
448,80.174
449,80.723
450,77.049
451,79.688
452,79.388
453,83.727
454,82.055
455,82.622
456,79.021
457,82.386
458,82.752
459,83.482
460,79.874
461,80.879
462,79.75
463,80.501
464,78.147
465,77.457
466,79.214
467,81.658
468,79.799
469,80.617
470,79.554
471,81.645
472,79.809
473,80.318
474,79.98
475,79.233
476,79.598
477,81.182
478,78.635
479,80.984
480,79.566
481,79.828
482,81.215
483,79.563
484,81.961
485,80.761
486,81.089
487,83.576
488,78.191
489,83.268
490,77.745
491,80.22
492,80.047
493,79.791
494,81.606
495,79.644
496,76.363
497,81.014
498,80.246
499,77.808
500,81.434
501,80.813
502,81.912
503,79.537
504,79.919
505,79.65
506,82.373
507,77.395
508,80.634
509,80.165
510,81.045
511,83.279
512,80.02
513,80.817
514,79.94
515,80.578
516,80.121
517,80.728
518,77.949
519,75.877
