,Modified_deepseek-chat_of_CV_Modeldeepseek-chat DoorDash_PM Score
0,76.899
1,78.096
2,77.906
3,79.56
4,81.78
5,81.251
6,80.271
7,78.076
8,81.552
9,79.525
10,75.355
11,81.853
12,84.585
13,83.033
14,82.924
15,76.972
16,78.904
17,77.158
18,81.088
19,79.644
20,83.537
21,80.983
22,81.048
23,78.401
24,78.146
25,78.442
26,78.561
27,79.198
28,84.939
29,82.432
30,82.227
31,82.243
32,82.27
33,79.814
34,78.818
35,79.46
36,75.862
37,79.058
38,80.016
39,80.572
40,77.298
41,78.205
42,79.849
43,79.566
44,80.711
45,79.437
46,78.082
47,80.205
48,81.054
49,80.882
50,78.499
51,82.973
52,80.975
53,78.989
54,81.088
55,78.46
56,78.286
57,78.854
58,77.96
59,79.05
60,77.167
61,79.564
62,80.397
63,78.889
64,83.458
65,77.02
66,79.514
67,79.068
68,78.152
69,80.257
70,77.278
71,78.078
72,80.66
73,78.884
74,77.698
75,79.115
76,78.567
77,80.972
78,80.844
79,75.919
80,80.122
81,79.403
82,80.169
83,79.747
84,80.566
85,79.851
86,79.788
87,81.148
88,78.002
89,81.03
90,82.142
91,80.319
92,79.235
93,78.046
94,80.095
95,79.091
96,78.775
97,81.337
98,82.152
99,81.255
100,78.715
101,79.343
102,79.047
103,79.704
104,79.915
105,80.855
106,83.265
107,80.365
108,78.152
109,82.224
110,79.675
111,80.742
112,80.792
113,80.619
114,79.658
115,78.789
116,78.512
117,81.796
118,80.868
119,80.023
120,81.369
121,77.186
122,77.322
123,79.016
124,79.431
125,79.826
126,78.709
127,75.788
128,79.995
129,78.141
130,77.239
131,77.163
132,78.436
133,79.423
134,81.495
135,74.827
136,76.998
137,79.078
138,81.762
139,77.157
140,78.398
141,75.688
142,82.873
143,78.717
144,74.38
145,80.197
146,79.776
147,77.273
148,80.448
149,78.343
150,79.718
151,78.386
152,75.803
153,80.657
154,76.502
155,79.353
156,78.019
157,76.967
158,79.401
159,79.499
160,81.152
161,79.151
162,83.412
163,82.267
164,84.952
165,81.822
166,78.691
167,78.534
168,80.564
169,80.545
170,81.344
171,78.683
172,78.177
173,79.965
174,79.28
175,77.024
176,77.749
177,79.109
178,80.336
179,79.753
180,79.216
181,79.131
182,78.078
183,80.767
184,81.884
185,82.427
186,76.407
187,78.882
188,80.174
189,80.723
190,77.049
191,79.688
192,79.388
193,83.727
194,82.055
195,82.622
196,79.021
197,82.386
198,82.752
199,83.482
200,79.874
201,80.879
202,79.75
203,80.501
204,78.147
205,77.457
206,79.214
207,81.658
208,79.799
209,80.617
210,79.554
211,81.645
212,79.809
213,80.318
214,79.98
215,79.233
216,79.598
217,81.182
218,78.635
219,80.984
220,79.566
221,79.828
222,81.215
223,79.563
224,81.961
225,80.761
226,81.089
227,83.576
228,78.191
229,83.268
230,77.745
231,80.22
232,80.047
233,79.791
234,81.606
235,79.644
236,76.363
237,81.014
238,80.246
239,77.808
240,81.434
241,80.813
242,81.912
243,79.537
244,79.919
245,79.65
246,82.373
247,77.395
248,80.634
249,80.165
250,81.045
251,83.279
252,80.02
253,80.817
254,79.94
255,80.578
256,80.121
257,80.728
258,77.949
259,75.877
