,CV DoorDash PM Score
0,78.009
1,78.009
2,77.359
3,76.957
4,78.456
5,81.739
6,78.834
7,77.836
8,80.946
9,78.917
10,77.007
11,80.946
12,83.88
13,80.852
14,82.694
15,78.953
16,79.948
17,76.477
18,80.344
19,80.609
20,82.031
21,80.423
22,80.823
23,78.568
24,76.06
25,78.697
26,77.467
27,76.224
28,83.437
29,79.979
30,79.706
31,80.099
32,81.65
33,77.461
34,78.127
35,80.984
36,75.482
37,79.429
38,80.426
39,78.545
40,78.659
41,76.695
42,80.098
43,80.914
44,79.556
45,77.586
46,79.801
47,80.576
48,80.151
49,81.412
50,79.681
51,83.103
52,81.225
53,79.333
54,78.186
55,79.441
56,80.144
57,79.738
58,77.819
59,77.139
60,78.387
61,80.71
62,80.003
63,77.204
64,79.887
65,78.576
66,80.54
67,82.133
68,79.492
69,78.92
70,77.769
71,80.217
72,79.974
73,80.307
74,77.936
75,79.239
76,78.557
77,81.499
78,77.527
79,79.297
80,81.26
81,80.761
82,79.775
83,79.674
84,79.354
85,78.98
86,77.926
87,79.463
88,79.716
89,79.844
90,82.715
91,79.575
92,78.304
93,78.474
94,78.766
95,77.401
96,80.412
97,80.529
98,81.584
99,80.697
100,78.462
101,79.701
102,78.676
103,79.205
104,79.874
105,78.635
106,82.134
107,80.636
108,78.511
109,79.825
110,82.594
111,77.581
112,79.008
113,78.793
114,80.606
115,77.948
116,77.436
117,81.45
118,81.112
119,79.315
120,80.221
121,76.43
122,77.267
123,79.808
124,77.557
125,79.619
126,78.76
127,76.356
128,76.764
129,79.209
130,77.965
131,77.012
132,78.41
133,80.724
134,81.668
135,76.652
136,74.694
137,78.634
138,81.444
139,79.632
140,77.946
141,76.808
142,81.646
143,77.546
144,75.992
145,79.052
146,78.432
147,73.741
148,83.078
149,78.375
150,78.595
151,76.529
152,75.692
153,78.75
154,76.452
155,78.962
156,78.206
157,77.906
158,81.529
159,77.64
160,80.385
161,80.598
162,81.865
163,82.265
164,83.063
165,78.716
166,76.482
167,76.887
168,77.869
169,78.229
170,76.049
171,78.007
172,79.835
173,77.305
174,77.886
175,77.801
176,80.451
177,79.815
178,76.479
179,78.818
180,78.349
181,78.91
182,77.683
183,78.456
184,82.058
185,83.853
186,78.875
187,79.5
188,78.645
189,79.216
190,79.788
191,76.396
192,75.904
193,81.031
194,78.412
195,78.653
196,77.748
197,80.937
198,80.786
199,82.737
200,76.138
201,77.622
202,80.152
203,78.065
204,78.649
205,77.925
206,78.303
207,82.023
208,79.168
209,78.575
210,79.362
211,83.116
212,81.508
213,77.424
214,77.568
215,78.971
216,80.66
217,81.461
218,78.629
219,79.438
220,79.498
221,79.643
222,81.933
223,78.557
224,80.006
225,78.156
226,79.9
227,83.101
228,80.481
229,85.276
230,77.873
231,78.138
232,79.223
233,79.388
234,79.715
235,79.101
236,77.363
237,78.917
238,79.198
239,76.082
240,79.085
241,79.782
242,81.774
243,79.206
244,80.575
245,80.918
246,79.338
247,76.92
248,80.322
249,78.188
250,80.16
251,81.158
252,79.662
253,80.624
254,81.36
255,80.571
256,79.874
257,79.729
258,76.527
259,75.215
