,Google_UX_Score
0,89.914
1,85.501
2,89.594
3,86.845
4,87.453
5,86.066
6,87.598
7,86.652
8,86.042
9,84.2
10,86.88
11,86.044
12,88.48
13,87.966
14,86.702
15,87.906
16,85.522
17,88.065
18,84.559
19,86.892
20,85.404
21,86.503
22,87.235
23,86.663
24,83.245
25,86.532
26,87.79
27,87.834
28,87.738
29,83.826
30,85.112
31,86.733
32,88.117
33,84.605
34,85.412
35,87.665
36,84.287
37,88.134
38,86.494
39,82.601
40,87.986
41,87.434
42,85.736
43,86.608
44,88.139
45,88.173
46,87.729
47,85.633
48,85.414
49,86.899
50,86.865
51,87.635
52,88.922
53,84.191
54,87.888
55,84.778
56,86.15
57,87.758
58,87.504
59,84.657
60,89.149
61,89.382
62,87.266
63,87.069
64,87.728
65,86.091
66,88.679
67,86.586
68,87.665
69,86.289
70,88.469
71,87.592
72,86.213
73,88.549
74,86.129
75,86.608
76,84.282
77,84.678
78,87.46
79,81.973
80,83.866
81,85.682
82,84.333
83,87.682
84,82.556
85,84.5
86,84.612
87,86.846
88,88.723
89,88.1
90,89.602
91,83.875
92,83.84
93,79.201
94,84.454
95,86.436
96,85.456
97,84.473
98,85.062
99,85.82
100,85.159
101,83.361
102,87.215
103,82.357
104,86.883
105,88.202
106,86.804
107,84.286
108,89.236
109,86.919
110,84.392
111,87.189
112,87.136
113,87.557
114,85.787
115,85.244
116,84.402
117,83.116
118,87.4
119,86.706
120,88.409
121,86.399
122,85.771
123,87.212
124,84.349
125,88.776
126,85.981
127,84.491
128,85.996
129,85.404
130,86.804
131,82.944
132,87.038
133,89.594
134,86.62
135,84.417
136,86.196
137,88.016
138,87.516
139,85.675
140,86.226
141,86.13
142,87.579
143,87.355
144,86.915
145,86.545
146,86.404
147,87.543
148,86.863
149,88.048
150,89.914
151,85.501
152,89.594
153,86.845
154,87.453
155,86.066
156,87.598
157,86.652
158,86.042
159,84.2
160,86.88
161,86.044
162,88.48
163,87.966
164,86.702
165,87.906
166,85.522
167,88.065
168,84.559
169,86.892
170,85.404
171,86.503
172,87.235
173,86.663
174,83.245
175,86.532
176,87.79
177,87.834
178,87.738
179,83.826
180,85.112
181,86.733
182,88.117
183,84.605
184,85.412
185,87.665
186,84.287
187,88.134
188,86.494
189,82.601
190,87.986
191,87.434
192,85.736
193,86.608
194,88.139
195,88.173
196,87.729
197,85.633
198,85.414
199,86.899
200,86.865
201,87.635
202,88.922
203,84.191
204,87.888
205,84.778
206,86.15
207,87.758
208,87.504
209,84.657
210,89.149
211,89.382
212,87.266
213,87.069
214,87.728
215,86.091
216,88.679
217,86.586
218,87.665
219,86.289
220,88.469
221,87.592
222,86.213
223,88.549
224,86.129
225,86.608
226,84.282
227,84.678
228,87.46
229,81.973
230,83.866
231,85.682
232,84.333
233,87.682
234,82.556
235,84.5
236,84.612
237,86.846
238,88.723
239,88.1
240,89.602
241,83.875
242,83.84
243,79.201
244,84.454
245,86.436
246,85.456
247,84.473
248,85.062
249,85.82
250,88.205
251,82.894
252,83.46
253,85.461
254,83.297
255,87.912
256,82.189
257,87.703
258,88.368
259,84.826
260,78.489
261,82.019
262,81.164
263,81.962
264,82.945
265,79.79
266,81.925
267,79.33
268,80.129
269,83.935
270,81.147
271,82.417
272,81.978
273,80.138
274,79.362
275,79.24
276,78.73
