Unnamed: 0,Modified_openai_gpt-4o_of_CV_Modelopenai_gpt-4o Google_UX_gpt4o Score
0,83.219
1,85.236
2,89.27
3,82.108
4,87.71
5,88.29
6,86.167
7,84.274
8,90.193
9,86.663
10,82.822
11,88.092
12,89.393
13,89.003
14,87.428
15,85.692
16,84.968
17,84.288
18,87.928
19,88.674
20,88.388
21,85.384
22,84.351
23,85.376
24,86.532
25,89.825
26,86.863
27,85.257
28,87.664
29,87.376
30,85.772
31,85.385
32,89.108
33,91.015
34,84.945
35,89.438
36,84.84
37,87.763
38,86.156
39,85.561
40,85.967
41,84.325
42,87.096
43,87.996
44,85.57
45,88.422
46,86.21
47,88.52
48,88.069
49,89.036
