Unnamed: 0,Modified_openai_gpt-4o-mini_of_CV_Modelopenai_gpt-4o-mini Google_UX_gpt4omini Score
0,83.438
1,84.554
2,86.999
3,81.209
4,89.356
5,87.553
6,86.89
7,83.842
8,89.963
9,86.148
10,83.716
11,87.103
12,89.718
13,88.105
14,86.812
15,88.562
16,84.578
17,83.599
18,87.82
19,86.921
20,87.514
21,85.575
22,86.069
23,83.715
24,85.632
25,90.455
26,88.461
27,84.795
28,87.695
29,85.502
30,84.738
31,82.685
32,89.263
33,90.492
34,85.394
35,85.94
36,83.792
37,86.252
38,87.459
39,86.137
40,85.266
41,85.339
42,87.146
43,87.454
44,85.123
45,85.987
46,86.776
47,87.546
48,85.966
49,88.755
