Unnamed: 0,CV Google_UX Score
0,84.209
1,84.209
2,85.607
3,80.387
4,88.592
5,85.647
6,84.062
7,82.276
8,88.742
9,84.935
10,86.397
11,87.32
12,85.039
13,86.066
14,87.86
15,84.459
16,83.081
17,83.438
18,85.679
19,84.887
20,82.881
21,82.922
22,79.112
23,82.617
24,84.019
25,87.614
26,82.021
27,82.078
28,84.91
29,84.396
30,85.532
31,78.96
32,86.718
33,87.795
34,82.868
35,86.06
36,81.747
37,86.568
38,83.318
39,82.975
40,85.882
41,79.138
42,85.22
43,86.401
44,84.217
45,85.154
46,86.226
47,83.4
48,83.009
49,86.893
