,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1 Google_UX_mixtral Score
260,80.322
261,81.512
262,80.343
263,81.64
264,83.361
265,80.392
266,80.317
267,79.276
268,80.455
269,83.266
270,81.289
271,80.333
272,81.817
273,78.903
274,78.274
275,79.59
276,80.707
277,81.074
278,76.684
279,77.946
280,70.494
281,77.482
282,78.261
283,76.514
284,80.011
285,83.456
286,79.111
287,80.31
288,77.908
289,82.359
290,74.762
291,79.44
292,77.978
293,81.454
294,79.57
295,81.406
296,82.86
297,75.202
298,82.647
299,83.78
300,80.26
301,76.01
302,79.319
303,80.214
304,77.19
305,80.071
306,78.268
307,80.627
308,81.48
309,81.721
310,83.765
311,80.968
312,73.991
313,77.498
314,78.332
315,79.387
316,80.074
317,82.039
318,79.592
319,79.875
320,77.29
321,81.018
322,81.342
323,80.808
324,79.42
325,75.944
326,78.703
327,78.879
328,80.481
329,79.773
330,78.547
331,81.011
332,79.432
333,76.439
334,80.349
335,82.784
336,80.084
337,79.51
338,78.257
339,80.166
340,78.544
341,80.103
342,80.728
343,82.25
344,79.491
345,80.797
346,80.346
347,72.896
348,80.814
349,81.644
350,78.563
351,79.646
352,79.538
353,80.584
354,80.297
355,78.226
356,76.385
357,76.869
358,80.883
359,84.865
360,80.404
361,78.757
362,83.738
363,78.863
364,78.899
365,79.336
366,82.213
367,83.413
368,81.906
369,74.555
370,78.31
371,80.437
372,82.715
373,72.327
374,73.304
375,80.695
376,79.353
377,79.132
378,80.244
379,79.896
380,80.85
381,78.382
382,81.151
383,78.04
384,81.992
385,77.673
386,78.47
387,80.385
388,76.563
389,72.715
390,77.817
391,76.523
392,82.834
393,80.32
394,80.308
395,79.131
396,79.176
397,68.206
398,74.576
399,81.181
400,78.476
401,79.742
402,75.863
403,82.519
404,73.279
405,73.209
406,76.582
407,83.534
408,83.502
409,80.88
410,78.622
411,80.735
412,78.012
413,79.392
414,72.553
415,74.423
416,69.739
417,75.98
418,79.123
419,81.859
420,78.458
421,80.447
422,78.995
423,70.267
424,82.238
425,75.676
426,76.465
427,71.809
428,79.242
429,77.664
430,78.342
431,81.305
432,81.848
433,79.965
434,83.238
435,82.409
436,83.643
437,81.368
438,84.768
439,79.072
440,78.726
441,81.203
442,73.384
443,79.274
444,79.744
445,78.312
446,79.303
447,78.525
448,81.508
449,78.674
450,82.133
451,77.629
452,84.178
453,83.594
454,78.008
455,79.932
456,76.585
457,80.07
458,74.48
459,67.686
460,74.173
461,79.817
462,80.678
463,79.908
464,73.321
465,81.479
466,74.204
467,80.716
468,84.658
469,76.59
470,78.768
471,82.721
472,83.909
473,77.954
474,79.156
475,81.05
476,76.918
477,80.06
478,78.486
479,84.304
480,81.089
481,79.782
482,79.148
483,81.122
484,80.392
485,78.015
486,77.117
487,81.685
488,79.755
489,80.629
490,81.955
491,78.094
492,81.65
493,77.585
494,81.592
495,78.177
496,77.105
497,81.017
498,75.906
499,78.724
500,78.571
501,79.142
502,75.6
503,72.725
504,80.898
505,81.014
506,78.563
507,79.254
508,81.344
509,79.141
510,80.827
511,80.545
512,79.813
513,79.645
514,80.721
515,69.449
516,78.881
517,75.92
518,79.722
519,78.528
