,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
260,"**PROFESSIONAL EXPERIENCE**

**2019 – 2021: Chief Operating Officer** | Artichoke Art & Fashion School
*   Managed sales for short-term art education courses.
*   Directed full-cycle project management, including development of monthly work plans covering curriculum, marketing, and enrollment statistics.
*   Led the project management for 'weekend' events, including master classes and public talks.
*   Handled student accounting and maintained the student database.
*   Organized teamwork for a staff of six, including creation, distribution, and oversight of tasks.
*   Conducted employee selection and negotiated contracts.

**2013 – 2019: Entrepreneur / Proprietor** | ФОП Петрова С.С. / МЕДТЕХНІКА
*   Organized and supported daily retail operations for medical equipment and related goods.
*   Managed supplier relations, including contract negotiation and resolving transport and logistics issues.
*   Oversaw inventory processes: receipt, relocation, revaluation, and returns to suppliers.
*   Maintained accounting for payments to suppliers, contractors, buyers, and customers.
*   Handled employee selection.

**SUMMARY OF ACHIEVEMENTS**
*   Planned, directed, and managed multiple projects, ensuring objectives were met according to outlined priorities.
*   Coordinated the successful simultaneous development of several projects.
*   Delegated responsibilities, designed time schedules, and organized team workflows.
*   Negotiated contracts to ensure quality standards."
261,"**PROFESSIONAL SUMMARY**
A dedicated Team Leader with 8 months of experience in organizing team operations and project coordination. Proven ability to motivate teams, delegate tasks, and monitor performance to achieve project goals. Currently advancing expertise through continued Google Project Management certification.

**PROFESSIONAL EXPERIENCE**
**Team Leader** | [Company Name] | [Dates of Employment]
*   Promoted to Team Leader after three weeks of service, leading the team for 8 months.
*   Organized team work and fostered an inspiring environment with open communication.
*   Set clear team goals, delegated tasks, and established deadlines for the internal team.
*   Oversaw day-to-day operations, managed project progress, and allocated resources.
*   Monitored team performance and reported progress to stakeholders.
*   Represented and advocated for team needs to upper management.
*   Motivated team members, led by example, and recognized high performance.
*   Identified training needs and provided coaching to improve team member skills.
*   Addressed team feedback and resolved problems as they arose.
*   Organized team-building activities to improve collaboration.

**EDUCATION & CERTIFICATIONS**
**Google Project Management Certificate (Coursera)** | In Progress
*   Project Planning: Putting It All Together | Current Course
*   Project Initiation: Starting a Successful Project | Nov 2022 – Dec 2022 | Grade: 87.76%
*   Foundations of Project Management | Jun 2022 – Nov 2022 | Grade: 89.03%

**SKILLS**
*   **Project Management Knowledge:** Basic knowledge of Waterfall, Agile, Scrum, Kanban, Lean, and Six Sigma.
*   **Project Fundamentals:** Defining project scope, goals, deliverables, and success criteria. Familiar with SMART and OKR methods. Understanding of the Triple Constraint (scope, time, cost).
*   **Project Tools & Documentation:** Experience creating project charters and evaluating project management tools. Familiar with stakeholder analysis (Power Grid, RACI charts) and Cost-Benefit Analysis.
*   **Resource Management:** Understanding of project resource needs including budget, people, and materials.
*   **Soft Skills:** Flexibility, time-management, strategic planning, multitasking, prioritization, fast learning, proactivity, and escalation.
*   **Languages:** English (Advanced), Ukrainian (First Language), Russian (First Language)."
262,"EXPERIENCED ACCOUNT MANAGER

Over 15 years of experience building, maintaining, and executing successful creative, production, and digital marketing campaigns and projects. Proven ability to establish strong, productive relationships with internal teams and clients. Adept at overseeing operational progress and monitoring cross-company projects. Skilled in leading staff members and evaluating project progress to achieve timely results.

PROFESSIONAL EXPERIENCE

Account Manager
*   Built, maintained, and ran successful creative, production, and digital marketing campaigns.
*   Established strong and productive relationships with company members and clients.
*   Oversaw the progress of operations and monitored cross-company projects.
*   Led staff members and evaluated project progress to ensure timely results.

EDUCATION & CERTIFICATION

DAO PM, IAMPM Laboratory of Non-Technical IT Education
*   Gained practical skills in creating project documentation and working with various contract types.
*   Communicated effectively with customers and project teams.
*   Managed project risks, resources, and timelines.
*   Conducted business correspondence and managed project documentation.
*   Managed customer expectations and presented solutions, demos, and prototypes.
*   Created Work Breakdown Structures (WBS) and delegated tasks to performers.
*   Prioritized tasks and workflow."
263,"**PROFESSIONAL SUMMARY**
Experienced Account, Sales, and Project Manager with proven abilities in implementation, operational assessment, and functional requirements analysis for businesses of all sizes. Skilled negotiator and networker with strong critical thinking, highly organized, and methodical in overseeing daily milestones for high-performance teams. Expertise in commercial, production, sales, planning, and non-IT deployment.

**PROFESSIONAL EXPERIENCE & SKILLS**

**Sales & Account Management:**
*   B2B Sales: Commercial offers, negotiations, contracts/agreements, billing.
*   Account Management: Maintaining ongoing customer relationships.
*   Client Availability: Available online for clients 24/7.

**Operations & Project Management:**
*   Operations Management: Accounting, SWOT analysis, cost reduction, monitoring compliance with profitability indicators.
*   Project Implementation & Management.
*   HR: Hiring employees for the department.
*   Experience guiding business from start-up to full-fledged independent functioning.

**Industry & Client Experience:**
*   Worked with large international product companies including Rosneft (Russia), Gazprom (Russia), Arkema (France), Huntsman Corporation (USA), GSFC (India), Repsol (Spain).

**Technical & Digital Skills:**
*   Software: MS Office, MS Project, some Jira experience.
*   SMM: Google Ads, Facebook Ads.
*   Actively developing in IT business processes.

**EDUCATION & DEVELOPMENT**
*   **Master’s Degree** in Economics; **PHD courses** in Economics.
*   **Bachelor’s Degree** in International Law; **Master’s degree courses** in International Law.
*   Attending online Software Product Management courses at the University of Altera (Canada).

**ADDITIONAL QUALIFICATIONS**
*   **Languages:** Advanced English.
*   **Work Flexibility:** Able to work on Eastern Standard Time and Ukrainian time.
*   **Core Competencies:** Full understanding of business processes, customer needs, and employee capabilities. Quick learner. Communicative. Positive mentality."
264,"**PROFESSIONAL SUMMARY**
Results-driven Project Manager and entrepreneur with over a decade of hands-on experience in launching and managing projects from concept to completion. Proven ability to direct teams, implement project management frameworks, and drive revenue growth. Skilled in cross-functional leadership, B2B/B2C communication, and problem-solving. Seeking to contribute to a structured team or assist in developing core processes within GameDev, Production, IT, or Fashion sectors.

**PROFESSIONAL EXPERIENCE**

**Founder & Project Manager | Personal Clothing Brand** | 2012 – 2014
*   Launched and managed all aspects of a startup venture, achieving $25,000 in annual revenue within the first two years through disciplined self-education and direct execution.
*   Orchestrated and led two successful Kickstarter campaigns, securing $124,000 and $431,000 in community funding.
*   Directed full project lifecycle including scope definition, scheduling, art direction, and brand management.
*   Led and coordinated teams of artists and managers, facilitating clear B2B and B2C communication.

**SKILLS**
*   **Project Management:** Project Launching, Scope Management, Scheduling, Team Leadership, Problem-Solving
*   **Methodologies & Tools:** Agile, Scrum, Waterfall, KanBan, Gantt, Asana, Trello, Jira
*   **Creative & Technical:** Art Direction, Brand Management, Adobe Illustrator (AI), Adobe After Effects (AE), Photoshop (PS), 3D Coat, ZBrush, Ableton
*   **Sector Experience:** Game Development, Production, IT, Fashion

**AREAS OF INTEREST**
Seeking a role within a team possessing a strong operational structure or one requiring assistance in implementing core project management essentials. Eager to support artists and designers through shared experiential knowledge. Committed to hands-on learning and skill advancement in related disciplines."
265,"**PROFESSIONAL SUMMARY**
Experienced Project Manager with a background in publishing and film, now applying expertise in IT project management within an outsource company. Proven track record in team leadership, complex problem-solving, and delivering under pressure. Recognized for effective recruitment and operational coordination in dynamic environments.

**WORK EXPERIENCE**

**IT Project Manager** | Outsource Company
_February 2022 – Present_
*   Manage IT projects utilizing Agile methodologies.
*   Oversee web and mobile development lifecycles and project planning.
*   Facilitate team coordination and motivation using Slack, Trello, and Jira.

**Project Manager** (Publishing and Film Industry)
*   Served as a team member for the “Best Service production in the world” at Radioaktivefilm.
*   Acted as a fixer and production coordinator for international clients including the US Olympics Committee in Kyiv, BBC’s “Top Gear,” and Aljazeera.

**IT Recruiter**
*   Listed among the ten most effective IT recruiters in Ukraine in 2015 by DOU.ua and jinni.co.

**EDUCATION & CERTIFICATIONS**

**SheCodes Basics** | Online Coding Course
_October 2022_
Credential ID: 2cae7c4c6951922e89181950f7750d6e

**DAO PM** | IAMP Online Course
_March 2021_

**Pre Project Management Program** | MindsetPM
_April 2019_
Credential ID: PM-ONLINE-20190429-02

**To Be a Manager** | MindsetPM
_April 2019_
Credential ID: 20190410-1629

**SKILLS & COMPETENCIES**

*   **Project Management:** Agile practices, web/mobile development lifecycle, project planning.
*   **Tools:** Slack, Trello, Jira.
*   **Soft Skills:** Team motivation, problem-solving, excellent communication, fluent written and spoken English.
*   **Personal Attributes:** Tolerant to critical and stressful situations, easygoing, decisive, quick learner, highly responsible, capable of delivering powerful executions, friendly, good sense of humor.

**CAREER OBJECTIVE**
To practice and improve my knowledge as a Project Manager. To contribute to interesting projects, develop new skills, and become a valued member of a cohesive team."
266,"**PROFESSIONAL SUMMARY**
Experienced project manager with 1.5+ years of project and team management experience in digital marketing. Successfully increased client engagement and revenue through targeted campaigns, effective team management, and established client communication protocols.

**KEY ACCOMPLISHMENTS**
*   Increased ROI through highly targeted digital advertising campaigns for an e-commerce company.
*   Increased the company's average check by 1.5 times for services through effective team management and established client communication.
*   Maintained an average client cooperation cycle of 6+ months with the agency.

**PROFESSIONAL EXPERIENCE**

**Project Manager** | [Company Name, City, State – Optional, add if desired]
*   Planned and executed targeted digital advertising campaigns to drive sales and maximize ROI.
*   Collaborated with marketing and sales teams to define campaign objectives, including specific sales targets and ROI goals.
*   Conducted market research to identify promising customer segments and refine target demographics.
*   Optimized campaigns for various channels, including social media, search engines, and display networks.
*   Provided regular performance reports to stakeholders, highlighting key metrics such as click-through rates, conversion rates, and ROI.
*   Managed project teams, ensuring effective communication and task completion."
267,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [LinkedIn Profile/Portfolio URL]

**PROFESSIONAL SUMMARY**
Accomplished Project Manager with extensive experience leading teams and managing complex product lifecycles in a high-pressure broadcast news environment. Recently certified in IT project management methodologies, seeking to transition proven leadership, organization, and communication skills to the IT sector. Adept at multitasking, risk management, and stakeholder reporting.

**CERTIFICATIONS**
*   Google Project Management Professional Certificate
*   Beetroot Academy – Project Management in IT Course

**PROFESSIONAL EXPERIENCE**

**Project Manager** | [Previous Company Name], [City, State]
[Dates of Employment]

*   Managed, organized, and controlled the work of a cross-functional team of 20+ people.
*   Simultaneously led the end-to-end lifecycle of 4 major news product projects from ideation and specification through development and final realization.
*   Prioritized, estimated, and delegated tasks to ensure efficient project execution and on-time delivery.
*   Organized and facilitated agile ceremonies including planning meetings, daily stand-ups, and retrospectives.
*   Maintained comprehensive project documentation using Avid Newsroom Computer System, Google Sheets, and Excel, and delivered regular reports to key stakeholders.
*   Managed changes and mitigated risks during project execution phases.
*   Controlled the live broadcast process, coordinating closely with the technical support and hardware-studio complex team.
*   Mentored and guided TV presenters on live broadcast execution and pre-broadcast planning.

**SKILLS**
*   **Project Management:** Project Lifecycle Management, Agile Methodologies, Risk & Change Management, Task Prioritization & Delegation, Stakeholder Reporting
*   **Tools:** Avid Newsroom Computer System, Google Workspace, Microsoft Excel
*   **Soft Skills:** Team Leadership & Mentoring, Multitasking, Communication, Time Management, Accuracy, Thrives Under Pressure

**LANGUAGES**
*   English (Fluent)"
268,"**EXPERIENCE**

**EVNE Developers**
*Junior Sales Manager*
January 2023 – Present
*   Search for potential leads on LinkedIn and other sources.
*   Analyze IT job descriptions on companies' websites.
*   Send messages via LinkedIn and email to engage and qualify leads.
*   Work with both warm and cold audiences through correspondence and pre-sale activities.
*   Conduct market analysis and elaboration.
*   Conduct negotiations with customers of different levels.
*   Coordinate projects through all stages of launch and maintenance, including client information gathering, price negotiations, and contract conclusion.
*   Assist the project manager, gaining understanding of Agile, Kanban, and Scrum methodologies.
*   Utilize JIRA and Confluence, and understand the project lifecycle from initiation to completion, including budget calculation based on time constraints and client requirements.

*Business Development Representative*
June 2022 – Present
*   Search for potential leads on LinkedIn and other sources.
*   Analyze IT job descriptions on companies' websites.
*   Send messages via LinkedIn and email to engage and qualify leads.
*   Execute proper team introduction during business correspondence.
*   Follow up with leads on a regular basis.
*   Schedule introductory calls with the Account Executive.
*   Prepare company profiles for introductory calls.
*   Create notes after introductory calls.
*   Maintain accurate data in CRM (Salesforce).
*   Continuously expand knowledge in sales and the IT industry.

**Lead Generation Manager**
February 2022 – June 2022
*   Generated business leads through inbound and outbound methods.
*   Attracted and converted prospects into qualified leads.
*   Built effective communication with prospects via social media, primarily LinkedIn.
*   Searched for and analyzed information on potential/existing customers and markets.
*   Actively participated in identifying new markets and business directions.
*   Utilized cold email automation tools (Snov.io, Expandi).
*   Worked daily with CRM (HubSpot).
*   Collaborated closely with the Business Development Manager to deliver on lead generation plans.
*   Conducted fundamental research on target companies and contacts within focus markets."
269,"**PROFESSIONAL SUMMARY**
Customer-focused professional with over 7 years of experience in client relations and over 3 years in project management. Proven ability to lead website development projects from concept to launch, implement CRM systems, and train partners. Combines technical understanding with a collaborative approach to problem-solving and feature development.

**PROFESSIONAL EXPERIENCE**

**Project Manager**
*   Implemented a Bitrix24 CRM system for the company from initial setup to full deployment.
*   Designed and conducted comprehensive CRM training sessions for 13 partner companies.
*   Managed cross-functional project teams, including designers, developers, and testers, across 7 simultaneous projects.
*   Successfully delivered 7 websites within 7 months: 3 e-commerce platforms, 3 corporate sites, and 1 landing page.
*   Converted initial client leads into successful projects for 3 of the delivered websites.
*   Created and optimized project workflows from lead acquisition to final release, increasing operational confidence and efficiency.
*   Ensured project delivery under pressure and tight deadlines, proactively solving problems and mitigating developer delays.

**TECHNICAL SKILLS**
*   **Web Development:** HTML, CSS, PHP, SQL, Website Layout
*   **Software & Tools:** Bitrix24, Microsoft Office Suite
*   **Areas of Expertise:** CRM Implementation, Project Lifecycle Management, Client Training, E-commerce and Corporate Website Development, Team Leadership, Problem Solving"
