,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
260," Experience:

2013-2019 - Entrepreneur (ФОП Петрова С.С, MEDTECHNIKA)
- Managed daily operations for medical equipment and related medical goods sales.
- Handled employee organization and support, including selection and management.
- Negotiated and executed supplier contracts, and managed related payments and accounting.
- Coordinated transport and logistics, including receipt, relocation, revaluation, and returns to suppliers.

2019-2021 - COO, Artichoke Art & Fashion School
- Directed sales of short-term art education courses and managed art direction.
- Led employee selection and team organization, with a team of 6.
- Designed and distributed tasks for efficient team collaboration.
- Managed projects, including development of monthly work plans and coordinating various disciplines.
- Oversaw student accounting, database management, and event planning (master classes, public talks).

Achievements Summary:
• Successfully planned, directed, and managed multiple projects.
• Accomplished objectives in line with outlined priorities.
• Coordinated simultaneous development of multiple projects.
• Delegated responsibilities and designed time schedules.
• Negotiated contracts prioritizing quality and value."
261," /**Name**/

/*/**Contact Information***/

**Objective:**
Highly motivated and experienced Team Leader with a proven track record of organizing team work, communicating goals, and delegating tasks. Seeking to leverage my skills and experience in a Project Manager role.

**Experience:**

*Team Leader, [Company Name], [Dates]*

* Organized team work and created an inspiring team environment with open communication culture
* Communicated clear team goals and connected work to context
* Delegated tasks, set deadlines, and managed resources
* Oversaw day-to-day operations and monitored team performance
* Represented and advocated for team needs
* Motivated team members and led by example
* Discovered training needs and provided coaching to improve team member skill sets
* Listened to team members’ feedback and problem-solved as issues arose
* Organized team building activities

**Skills:**

* Project management methodologies: Waterfall, Agile, Scrum, Kanban, Lean, Six Sigma
* Defining project goals, scope, and success criteria
* Consistent project documentation and evaluation of project management tools
* Stakeholder analysis using power grid and RACI chart
* Cost Benefit Analysis, SMART, and OKRs
* Triple Constraint
* Budgeting, resource allocation, and vendor management
* Flexibility, time-management, strategic planning, multitasking, prioritization, fast learning, proactivity, escalation

**Education:**

*Google Project Management, Coursera*

* Project Initiation: Starting a Successful Project, [Grade], [Dates]
* Foundations of Project Management, [Grade], [Dates]
* Project Planning: Putting It All Together, [Current Course, Not Yet Completed]

**/Languages:**

* English: Advanced
* Ukrainian, Russian: First Language**"
262," Experienced Account Manager

• Over 15 years of experience in building, maintaining, and running successful creative, production, and digital marketing campaigns and projects
• Demonstrated ability to establish strong and productive relationships with company members
• Proficient in overseeing operational progress and monitoring cross-company projects
• Experienced in leading staff members and evaluating project progress to achieve results in a timely manner

DAO PM, IAMPM laboratory of non-technical IT education
• Practiced skills in project documentation, working with various types of contracts, communication with customers and teams, risk management, resource and time management
• Experienced in business correspondence, managing customer expectations, creating WBS, transferring tasks to performers, setting priorities, presenting ready-made solutions, demo versions, and prototypes to customers."
263," Experienced Account/Sales/Project Manager

* Implementation and project management expert
* Conducts functional requirements analysis for businesses of all sizes
* Skilled negotiator and networker with strong critical thinking skills
* Highly organized and methodical with a track record of overseeing daily milestones across high-performance teams

Experience

* Managed B2B sales, including commercial offers, negotiations, contracts/agreements, and bills
* HR expertise: hired employees and managed accounts
* Operations experience: SWAP analysis, cost reduction, monitored compliance with profitability indicators
* Proficient in MS Office, MS Project, some Jira experience, SMM (Google Adwords, Facebook Ads)
* Worked with large international product companies including Rosneft Russia, Gazprom Russia, Arkema France, Huntsman Corporation USA, GSFC India, and Repsol Spain

Languages

* Advanced English level

Education

* Master's degree in Economics
* PhD courses in Economics
* Bachelor's degree in International Law
* Master's degree courses in International Law

Currently attending online Software Product Management courses at the University of Altera (Canada)

Availability

* Available to work Eastern Standard Time and Ukrainian time
* Online availability for clients 24/7

Skills

* Full understanding of business processes, customer desires, and employee capabilities
* Quick learner and effective communicator."
264," Here is your resume:

---

**PROFESSIONAL EXPERIENCE:**

*Founder & Project Manager, [Clothing Brand], 2012-present*

* Achieved $25,000 in annual income within first two years
* Successfully received community funding of $124,000 and $431,000 through Kickstarter campaigns

**SKILLS:**

* Project Launching & Management
* Scope, Scheduling, Scrum, Agile, Asana, KanBan, Waterfall, Trello, Jira
* Art Direction, Brand Management, Teamwork
* AI, AE, PS, 3D Coat, ZBrush, Ableton
* B2B/B2C Communication
* Problem-Solving
* Experienced in GameDev, Production, IT, Fashion segments
* Skilled in implementing PM instruments and leading teams
* Interested in learning nuances of the job hands-on and improving related skills

**INTERESTS:**

* Assisting artists and designers
* Working in a structured team or helping to implement essential structure
* Company with clearly distributed zones of responsibilities
* Continuous learning and skills improvement in related occupations."
265," Finished Courses:

* October 2022 - Online Course of Coding, ""SheCodes Basics"". Credential ID: 2cae7c4c6951922e89181950f7750d6e
* March 2021 - IAMP Online Course ""DAO PM""
* April 2019 - Online Course ""Pre-Project Management Program"", MindsetPM. Credential ID: PM-ONLINE-20190429-02
* April 2019 - Online Course ""To Be a Manager"", MindsetPM. Credential ID: 20190410-1629

Experience:

* Team member of the ""Best Service Production in the World"", Radioaktivefilm
* Listed as one of the ten most effective IT recruiters in Ukraine, by the DOUwa developer portal and jinni.co job search service in 2015
* Fixer for the US Olympics Committee in Kyiv, BBC ""Top Gear"" show, Aljazeera, etc.
* Experienced Project Manager in publishing and film industry
* Currently working as IT Project Manager in Outsource company since February 2022

Skills:

* Familiar with Agile practices, web/mobile development lifecycle, project planning, Slack, Trello, Jira
* Strong team motivation and problem-solving abilities
* Capable of handling critical and stressful situations
* Excellent communication skills and fluent in written and spoken English
* Easygoing, quick learner, highly responsible, capable of delivering powerful executions, friendly, and a good sense of humor

Career Goals:

* To practice and improve my knowledge as a Project Manager
* To be a part of interesting projects
* To keep developing new skills
* To be a part of a team who will be my second family."
266," Accomplishment: Increased ROI through Highly Targeted Digital Advertising Campaign

Project Description: Planned and executed a targeted digital advertising campaign for an e-commerce company, resulting in increased sales and maximized return on investment (ROI).

- Collaborated with marketing and sales teams to define campaign objectives, including specific sales targets and ROI goals.
- Conducted market research to identify promising customer segments and refine target demographics.
- Optimized campaign for various channels, including social media, search engines, and display networks.
- Provided regular performance reports to stakeholders, highlighting key metrics such as click-through rates, conversion rates, and ROI.

Experienced Project Manager with 1.5+ years of project and team management experience in digital marketing. Increased company's average check by 1.5 times through effective team management and established communication with clients. Maintained client cooperation for an average of 6+ months.

- Willingness to work overtime.
- Emphasis on effective communication to prevent misunderstandings, missed deadlines, and tension."
267," Experienced TV Project Manager

* Managed, organized, and controlled work of 20+ person team and led 4 projects simultaneously
* Prioritized, estimated, and delegated tasks, maintaining the entire news product lifecycle from idea to realization
* Conducted planning meetings, daily meetings, and retrospectives and maintained project documentation using Avid Newsroom Computer System, Google Spreadsheets, and Excel documents
* Managed changes and risks during execution phase and controlled the live broadcast process, working closely with technical support
* Mentored TV presenters during live broadcasts and while planning future broadcasts
* Fluent in English

Recent Accomplishments:

* Completed Beetroot Academy's PM in IT course
* Earned Google Project Management Professional Certificate

Seeking job opportunities in IT sphere where strong communication, accuracy, and experience in project management is valued."
268," EXPERIENCE:

Junior Sale Manager, EVNE Developers
January 2023 - present

* Search for potential leads on LinkedIn and other sources
* Analyze IT job descriptions on companies' websites
* Send messages (LinkedIn/E-mail), engage and qualify leads
* Work with warm and cold audiences (correspondence and pre-sale)
* Analysis and elaboration of markets
* Conduct negotiations with customers of different levels
* Coordinate projects at all stages of launch and maintenance, including information collection, price negotiations, and closure
* Proficient in Agile, Kanban, Scrum methodologies and tools such as JIRA, Confluence
* Calculate project budgets taking into account time limits and client preferences

Business Development Representative
June 2022 - January 2023

* Search for potential leads on LinkedIn and other sources
* Analyze IT job descriptions on companies' websites
* Send messages (LinkedIn/E-mail), engage and qualify leads
* Proper TEAM’s introduction during business correspondence via LinkedIn/E-mail
* Follow leads on a regular basis
* Set up intro calls with Account Executive
* Prepare company profiles for the intro calls
* Create notes after the intro calls
* Maintain data in CRM (Salesforce)
* Continually expand knowledge in sales and IT

Lead Generation Manager, [Company Name]
February 2022 - June 2022

* Generate business leads inbound/outbound way
* Attract and convert prospects into leads
* Build effective communications with prospects via social media (LinkedIn etc)
* Search and analyze information on potential or existing customers and markets
* Identify new markets and directions
* Work with cold emails automation tools (Snov.io)
* Work with CRM daily (Hubspot)
* Collaborate with Business Development Manager to deliver Lead Generation plans
* Conduct fundamental research of companies and contacts within focus markets and target companies."
269," - Implemented CRM system to the company from scratch
- Conducted training on CRM use for 13 partner companies
- Managed designer, 2 developers, and tester across 7 projects
- Released 3 e-commerce, 3 corporate, and 1 landing websites in 7 months, 3 of which were converted from leads to successful projects
- Proficient in website technology development, including HTML, CSS, PHP, SQL, and website layout
- Skilled in managing projects under pressure, meeting tight deadlines, and resolving developers' delays
- Experienced in CRM systems, particularly Bitrix24
- Designed project scheme from lead to release, increasing company confidence
- Over 7 years of customer relations experience
- Over 3 years of management experience
- 1 year of experience with HTML, CSS, and PHP
- 1 year of experience with Bitrix24
- 7 years of experience with Microsoft Office
- Strong interpersonal skills and experienced in feature creation for websites and applications
- Enjoy helping to brainstorm features, finding solutions for problems, and interacting with people
- Do not enjoy making cold calls."
