,Modified_openai_gpt-4o_of_Optimized_openai/gpt-4o-mini_Modelopenai_gpt-4o Doordash_PM Score
0,83.702
1,83.33
2,84.558
3,84.184
4,81.319
5,84.499
6,84.804
7,83.875
8,84.502
9,81.825
10,83.24
11,83.716
12,84.183
13,80.62
14,85.455
15,84.634
16,81.453
17,83.31
18,78.82
19,81.502
20,80.323
21,83.278
22,84.456
23,83.623
24,84.057
25,79.327
26,82.432
27,84.529
28,80.836
29,84.965
30,79.681
31,84.249
32,83.778
33,85.007
34,79.581
35,83.709
36,85.532
37,80.654
38,84.604
39,83.362
40,82.067
41,81.422
42,79.848
43,83.825
44,82.485
45,81.392
46,85.091
47,83.788
48,83.338
49,81.576
50,84.06
