,Optimized_openai/gpt-4o-mini Google_UX Score
0,84.207
1,91.024
2,88.552
3,88.242
4,85.425
5,84.246
6,84.415
7,83.722
8,82.276
9,88.06
10,82.657
11,85.451
12,86.284
13,78.533
14,82.02
15,84.952
16,83.613
17,89.095
18,79.779
19,79.604
20,80.735
21,83.819
22,85.307
23,84.277
24,81.267
25,83.596
26,83.553
27,85.578
28,83.185
29,87.095
30,77.658
31,87.103
32,85.195
33,82.433
34,85.774
35,81.781
36,87.03
37,77.489
38,87.532
39,83.978
40,88.036
41,80.671
42,78.396
43,83.022
44,80.763
45,86.437
46,78.788
47,81.942
48,84.542
49,86.99
50,87.968
