,Optimized_gpt-4o Google_UX_gpt4o Score
0,86.102
1,86.004
2,86.792
3,88.011
4,87.109
5,89.325
6,88.125
7,83.749
8,90.909
9,86.455
10,85.563
11,89.045
12,87.101
13,88.671
14,91.339
15,87.858
16,86.504
17,87.984
18,88.967
19,89.206
20,87.616
21,85.334
22,88.589
23,89.218
24,86.896
25,89.932
26,88.921
27,88.023
28,90.009
29,85.923
30,89.031
31,86.917
32,89.156
33,90.262
34,87.041
35,88.462
36,87.606
37,89.434
38,89.335
39,87.599
40,85.118
41,87.331
42,87.348
43,88.535
44,87.632
45,87.748
46,88.741
47,87.575
48,88.498
49,88.402
