,Modified_openai/gpt-4o_of_Optimized_gpt-3.5-turbo_Modelopenai/gpt-4o Google_UX_gpt4o_chain_on_gpt3.5_antihallucination Score
0,83.437
1,86.444
2,86.754
3,88.243
4,88.056
5,85.685
6,88.025
7,85.81
8,89.754
9,86.445
10,80.15
11,88.006
12,89.427
13,86.43
14,86.166
15,83.18
16,83.607
17,86.739
18,85.726
19,89.51
20,93.937
21,86.722
22,84.617
23,82.234
24,84.383
25,88.227
26,84.49
27,83.246
28,90.363
29,86.216
30,86.096
31,88.851
32,90.703
33,91.505
34,86.661
35,84.043
36,90.023
37,85.734
38,87.548
39,81.559
40,87.064
41,85.388
42,84.742
43,84.798
44,85.373
45,85.27
46,82.761
47,87.406
48,87.175
49,89.595
