Unnamed: 0,Optimized_gpt-4o-mini Google_UX_gpt4o_mini Score
0,85.38
1,88.873
2,87.817
3,86.731
4,89.609
5,88.765
6,89.712
7,86.458
8,90.421
9,89.649
10,86.59
11,89.469
12,88.273
13,86.984
14,90.805
15,88.261
16,87.604
17,87.763
18,88.901
19,86.754
20,88.216
21,87.474
22,86.665
23,88.988
24,87.562
25,90.226
26,88.235
27,87.411
28,88.316
29,86.395
30,87.868
31,86.098
32,90.628
33,88.781
34,87.207
35,86.968
36,88.447
37,87.682
38,86.087
39,85.943
40,86.499
41,88.475
42,87.537
43,88.564
44,86.618
45,86.8
46,85.313
47,88.112
48,87.601
49,86.974
