,Optimized_gpt-3.5-turbo
0,"Professional Summary:
Experienced COO with a background in sales, project management, and team leadership. Skilled in negotiating contracts, organizing logistics, and ensuring project objectives are met.

Skills:
- Sales and marketing
- Team leadership
- Project management
- Contract negotiation
- Logistics coordination

Experience:
COO at Artichoke art & fashion school (2019-2021)
- Oversaw sales of short-term education courses in art
- Managed employee selection and organized teamwork
- Controlled project management for various disciplines
- Maintained student accounts and databases

Education:
- Bachelor's degree in Business Administration"
1,"PROFESSIONAL SUMMARY:
Transitioned from manager to team leader in three weeks at previous company, demonstrating rapid growth and leadership capabilities. Currently pursuing third course in Project Planning from Google to enhance project management skills.

EXPERIENCE:
- Organized and inspired team environment with open communication
- Set clear team goals and delegated tasks
- Oversaw day-to-day operations and monitored performance
- Advocated for team needs and managed project progress
- Motivated team members, identified training needs, and facilitated team building activities

SKILLS:
- Proficient in English, Ukrainian, and Russian
- Knowledgeable in Waterfall, Agile, Scrum, Kanban, Lean, and Six Sigma methodologies
- Experienced in project goal setting, scope definition, and stakeholder evaluation
- Skilled in utilizing tools such as Cost Benefit Analysis, SMART, OKRs, and Triple Constraint

EDUCATION:
Coursera - Google Project Management
- ""Project Initiation: Starting a Successful Project"" (Nov, 2022-Dec, 2022) - Grade: 87.76%
- ""Foundations of Project Management"" (Jun, 2022-Nov, 2022) - Grade: 89.03%"
2,"EXPERIENCE:
- Overseeing Operations
- Monitoring Projects
- Leading Staff
- Evaluating Project Progress
- Collaborating with Cross-Functional Teams

EDUCATION:
Bachelor's Degree in Design"
3,"PROFESSIONAL SUMMARY
Experienced Account/Sales/Project Manager with strong implementation and project management skills. Skilled in operational assessments, negotiation, and overseeing high-performance teams. Proficient in commercial, production, sales, planning, and deployment. Advanced English proficiency with experience working with international product companies. Master's degree in Economics and Bachelor's degree in International Law.

SKILLS
- Implementation and project management
- Operational assessments and negotiation
- Commercial, production, sales, B2B sales, and account management
- HR, operations, MS Office, MS Project, Jira, and SMM tools
- Advanced English proficiency

EXPERIENCE
- 8 years of experience in product design or UX
- Creating robust design systems and establishing consistent design languages
- Skilled in innovative communication modes for diverse user groups
- Proficient in native app patterns and user experiences
- Collaborative with cross-functional product teams

EDUCATION
- Master's degree in Economics
- Bachelor's degree in International Law"
4,"PROFESSIONAL SUMMARY
Experienced Project Manager in Kickstarter campaign launches and project management across industries. Proficient in Asana, KanBan, and Jira. Seeking UX design role to enhance skills. Skilled in leading teams and providing design insights. Background in design and brand management.

SKILLS
- Project Management
- Kickstarter Campaigns
- Asana, KanBan, Jira
- Cross-functional Team Leadership
- Design and Brand Management
- UX Design

EXPERIENCE
- Successfully launched multiple Kickstarter campaigns
- Managed projects in various industries
- Provided strong design perspectives
- Led cross-functional teams

EDUCATION
- [Your educational background]"
5,"PROFESSIONAL SUMMARY
Experienced Project Manager in publishing and film industries, currently an IT Project Manager skilled in Agile practices, project planning, and team motivation. Seeking Interaction Designer role for innovative design solutions.

SKILLS
- Proficient in Agile practices, team motivation, problem-solving, and project planning.
- Skilled in design tools such as Photoshop, Illustrator, Sketch, InVisio, Figma, Principle, etc.
- Strong collaboration and communication skills, experience in design system maintenance and consistent design language.
- Capable of providing innovative communication for diverse user groups.
- Experienced in shaping processes for scalable design solutions and adapting to industry trends.

EXPERIENCE
- Currently IT Project Manager, experience in web/mobile development lifecycle, Slack, Trello, Jira, fluent in English.

EDUCATION & CERTIFICATIONS
- Completed ""SheCodes Basics"" online coding course in October 2022."
6,"PROFESSIONAL SUMMARY:
Experienced project manager with 1.5+ years of project and team management experience in digital marketing. Skilled in team management and client communication, resulting in a 1.5 times increase in company's average check for services. Average client cooperation cycle with agency was 6+ months.

SKILLS:
- Proficient in design tools: Photoshop, Illustrator, Sketch, InVision, Figma, Principle
- Strong collaboration skills in cross-functional teams
- Track record of creating and maintaining coherent design systems usable across devices/platforms

EXPERIENCE:
- Bachelor's degree in Design, Human-Computer Interaction, Computer Science, or related field
- 8 years of product design or UX experience

EDUCATION:
- Bachelor's degree in Design, Human-Computer Interaction, Computer Science, or related field"
7,"PROFESSIONAL SUMMARY
Experienced TV project manager with expertise in product development and people management. Skilled in leading teams, managing multiple projects simultaneously, prioritizing tasks, and maintaining project documentation. Proficient in organizing planning meetings, daily meetings, and retrospectives, as well as overseeing live broadcast processes. Able to mentor TV presenters and ensure successful broadcast planning and execution. Currently seeking opportunities in the IT sphere.

SKILLS
- People management
- Product development
- Project management
- Team leadership
- Documentation maintenance
- Meeting organization
- Broadcast planning
- Mentoring

EXPERIENCE
- TV Project Manager at [Company Name]
  - Led teams in managing multiple projects
  - Prioritized tasks and maintained project documentation
  - Organized planning meetings, daily meetings, and retrospectives
  - Oversaw live broadcast processes
  - Mentored TV presenters for successful broadcast execution

EDUCATION
- Bachelor's degree in [Field of Study] from [University Name]
- Beetroot Academy's PM in IT course
- Google Project Management Professional Certificate"
8,"PROFESSIONAL SUMMARY:
Experienced in project management utilizing Agile, Kanban, and Scrum methodologies. Proficient in JIRA and Confluence for project tracking and completion. Skilled in lead generation and business development, with a strong background in maintaining CRM data in Salesforce.

SKILLS:
- Project Management
- Agile Methodologies
- Scrum
- JIRA
- Confluence
- Lead Generation
- Business Development
- CRM Salesforce

EXPERIENCE:
Junior Sales Manager, EVNE Developers
January 2023- Present

- Identified potential leads through LinkedIn and other platforms
- Analyzed IT job descriptions to qualify leads
- Engaged with leads through messaging and email communications
- Coordinated with Account Executives for introductory calls
- Maintained CRM data in Salesforce

Business Development Representative, EVNE Developers
June 2022- Present

- Generated business leads through inbound and outbound methods
- Utilized social media for effective communication with prospects
- Worked with cold email automation tools such as Snov.io
- Collaborated with Business Development Manager on Lead Generation plans
- Conducted fundamental research on target markets and companies

Lead Generation Manager, EVNE Developers
February 2022- June 2022"
9,"PROFESSIONAL SUMMARY:
- Experienced in technology development, project management, and CRM systems with a background in customer relations and team management.

SKILLS:
- Proficient in HTML, CSS, PHP, SQL, website layout, and Bitrix24
- Skilled in project management, design systems, and innovative communication modes
- Strong collaboration and influencing skills with cross-functional teams

EXPERIENCE:
- Led CRM system implementation and provided training to 13 partner companies
- Managed designer, developers, and tester team across 7 projects
- Launched multiple websites within tight timeframes and converted lead projects into successes
- Designed project schemes from lead to release, enhancing company confidence in project management

EDUCATION:
- 7+ years experience in customer relations and 3+ years in management
- Proficient in HTML, CSS, PHP, Bitrix24, and Microsoft Office."
