,Optimized_openai/gpt-4o-mini
0,"**Professional Summary**  
Results-driven professional with extensive experience in sales and team management within the medical and educational sectors. Proven ability to lead projects, streamline operations, and foster collaborative environments that prioritize user experience.

**Skills**  
- Sales Management  
- Team Leadership  
- Project Management  
- Contract Negotiation  
- Marketing and Enrollment Strategies  
- User-Centered Design  
- Logistics and Supply Chain Management  
- Communication and Collaboration  

**Experience**  

**Entrepreneur, Sales of Medical Equipment and Related Medical Goods (ФОП Петрова С.С / МЕДТЕХНІКА)**  
2013-2019  
- Organized daily retail operations.  
- Ensured user-friendly interactions and experiences.  
- Recruited and selected employees.  
- Built a collaborative team.  
- Facilitated negotiations with suppliers.  
- Concluded contracts focusing on quality and efficiency.  
- Addressed transportation and logistics challenges.  
- Streamlined processes for receipts, relocations, revaluations, and returns.  
- Managed payments to suppliers and contractors.  
- Enhanced organizational efficiency.  

**COO, Art Studio (Artichoke Art & Fashion School)**  
2019-2021  
- Directed sales of short-term educational courses.  
- Integrated design concepts with user-centered approaches.  
- Managed a diverse team of 6.  
- Fostered collaboration and teamwork.  
- Created and distributed tasks within teams.  
- Ensured timely execution of design and project objectives.  
- Developed comprehensive monthly work plans.  
- Managed projects to meet objectives.  
- Prioritized user experience.  
- Delegated responsibilities effectively.  
- Designed schedules aligned with project needs.  
- Built visual designs for master classes and public talks.  
- Ensured alignment with user needs and expectations.  
- Coordinated multiple projects simultaneously.  
- Developed innovative solutions.  
- Ensured effective execution of design plans.  

**Education**  
[Please insert your education information here, if applicable.]"
1,"[Your Name]  
[Your Address]  
[Your City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio Link]  

**Professional Summary**  
Dynamic professional with a solid background in project leadership. Seeking an Interaction Designer role at Google to leverage user-centered design principles and collaborate with cross-functional teams to create innovative user experiences.  

**Skills**  
- **Languages:** English (Advanced), Ukrainian, Russian (Native)  
- **Project Management Knowledge:**  
  - Familiar with Agile, Scrum, Kanban, Lean, and Six Sigma methodologies  
  - Strong understanding of project scope, success criteria, and project charters  
  - Knowledge of stakeholder evaluation tools, including power grids and RACI charts  
- **Design Tool Proficiency:**  
  - Experience with Figma for prototyping and user journey communication  
- **Project Resource Management:**  
  - Understanding of budget, personnel, and material resource needs  
  - Capable of working within the Triple Constraint  

**Experience**  

**Team Leader**  
[Company Name], [Location]  
[Month, Year] – Present  
- Fostered a collaborative team environment through open communication  
- Aligned team practices with user-centered design principles  
- Set clear project goals and delegated tasks effectively  
- Managed deadlines to ensure execution of design strategies  
- Oversaw day-to-day operations and connected team efforts to project context  
- Advocated for team needs to promote a collaborative atmosphere  
- Encouraged feedback and innovative problem-solving  
- Motivated team members by recognizing high performance  
- Organized team-building activities to enhance dynamics  

**Education**  
Google Project Management Certificate  
Coursera  
""Project Initiation: Starting a Successful Project""  
Nov 2022 - Dec 2022 | Grade: 87.76%  

Google Project Management Certificate  
Coursera  
""Foundations of Project Management""  
Jun 2022 - Nov 2022 | Grade: 89.03%  

**Core Competencies**  
- Flexibility, time management, strategic planning, multitasking  
- Rapid learning, proactive approach, escalation management  
- Experience applying user-centered design methods  
- Ability to refine and validate design decisions through collaboration  "
2,"**[Your Name]**  
[Your Address]  
[Your Phone Number]  
[Your Email]  
[Your Portfolio Link]  

---

**PROFESSIONAL SUMMARY**  
Dynamic Account Manager with over 15 years of extensive experience in overseeing and executing creative, production, and digital marketing campaigns. Demonstrates a user-centered design approach. Adept at crafting intuitive experiences aligned with user needs and business objectives. Proven ability to establish and foster cross-functional collaboration. Facilitates relationships among team members to achieve project milestones. Experienced in monitoring operations and managing projects to ensure timely deliverables.

**SKILLS**  
- User-Centered Design Principles  
- Cross-Functional Collaboration  
- Project Documentation and Management  
- Risk, Resource, and Time Management  
- Business Correspondence and Communication  
- Work Breakdown Structure (WBS) Creation  
- Task Delegation and Prioritization  
- Figma Prototyping and Visual Design  

**EXPERIENCE**  

**Account Manager**  
[Your Company Name], [Location] | [Dates of Employment]  
- Led development and execution of creative marketing strategies.  
- Championed user-centric design to enhance user experiences.  
- Collaborated with engineering, designers, and stakeholders.  
- Promoted innovative design solutions to meet user needs and business objectives.  
- Conducted evaluations of project progress.  
- Integrated UX research insights to refine design strategies.  
- Managed creation and iteration of visual mockups and prototypes.  
- Employed rapid design styles for stakeholder feedback.  
- Directed teams to align design strategies with company vision.  
- Ensured cohesive and scalable design language across platforms.  

**EDUCATION**  

[Your Degree] in [Your Major]  
[Your University], [Location] | [Graduation Year]  

**PROJECT MANAGEMENT EDUCATION**  
""DAO PM"" IAMPM Laboratory of Non-Technical IT Education  
- Gained practical skills in project documentation and contract management.  
- Strengthened communication with clients and teams.  
- Developed expertise in task creation and prioritization.  
- Integrated user feedback into design iterations.  "
3,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  
[Portfolio/Website Link]  

---

**Professional Summary**  
Experienced Account, Sales, and Project Manager with strong expertise in user-centered design and project management. Proficient in operational assessments and functional requirements analysis across various business sizes. Skilled negotiator and networker with a positive mindset and significant critical thinking abilities. Highly organized and methodical. Adept at managing daily milestones within high-performance teams. Developed innovative design solutions aligning with user needs and business objectives.

---

**Skills**  
- Product Design  
- UX/UI Principles  
- Design Systems Development  
- Cross-functional Collaboration  
- User Experience Research Integration  
- Figma Prototyping  
- B2B Sales and Account Management  
- Operations Management  
- MS Office & Project  
- Social Media Marketing  

---

**Experience**  

**Account/Sales/Project Manager**  
[Your Company Name] | [Location] | [Dates]  
- Managed projects end-to-end.  
- Utilized user-centered design methods for intuitive user experiences.  
- Collaborated with cross-functional teams.  
- Refined and validated design decisions.  
- Influenced stakeholders for design strategies.  
- Developed and maintained design systems.  
- Ensured consistency across platforms and devices.  
- Conducted operational management tasks.  
- Monitored compliance with profitability indicators.  

---

**Education**  
- Master's Degree in Economics  
- Ph.D. Coursework in Economics  
- Bachelor's Degree in International Law  
- Master's Degree Coursework in International Law  

---

**Professional Development**  
- Online Software Product Management courses at the University of Altera (Canada)  
- Developing skills in IT business processes and design tools.  

---

**Languages**  
- Advanced English  

---

**Availability**  
- Available during Eastern Standard Time and Ukrainian time.  
- Available online for clients 24/7.  

---

**Portfolio**  
[Link to portfolio, website, or relevant work]  

---

**References**  
Available upon request."
4,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone]  
[LinkedIn Profile]  

**PROFESSIONAL SUMMARY**  
Skilled Project Manager with hands-on experience in product design, project launching, and team leadership. Founded a clothing brand in 2012, achieving $25,000 in annual income within the first two years. Successfully led Kickstarter campaigns, raising $124,000 and $431,000 in community funding. Passionate about UX and user-centered design, with a strong foundation in design tools and methodologies such as Agile, Scrum, Waterfall, Kanban, Asana, Trello, and Jira.

**SKILLS**  
- Project Management: Agile, Scrum, Waterfall, Kanban  
- Design Tools: Adobe Photoshop, Illustrator, 3D Coat, ZBrush, Ableton  
- UX/UI Design: User flows, wireframes, mockups, prototypes (Figma)  
- Team Leadership: Directing cross-functional teams  
- Design Systems: Creating and maintaining design systems  
- Communication: Strong collaboration skills  

**EXPERIENCE**  

**Founder & Project Manager**  
[Your Clothing Brand] — [Location]  
2012 - Present  
- Managed product development.  
- Ensured alignment with user needs and business objectives.  
- Created project management strategies.  
- Collaborated with teams to iterate on design solutions.  
- Developed project scopes and schedules.  
- Utilized Gantt charts to track progress.  
- Worked with artists and designers for brand management.  
- Implemented communication strategies to enhance B2B/B2C interactions.  
- Utilized problem-solving skills to address challenges.  

**EDUCATION**  
[Your Degree]  
[Your University] — [Graduation Year]  

**PORTFOLIO**  
[Link to Portfolio or Relevant Work]  

**INTERESTS**  
Game Development, Production, IT, Fashion  

I look forward to contributing to a team that values structured processes and clear distribution of responsibilities while continuing to enhance my skills in design and project management."
5,"**Resume**

**Professional Summary**  
Dedicated Project Manager with experience in collaborating with cross-functional teams to deliver user-centered solutions. Skilled in Agile practices and project management tools, with a strong focus on communication and innovative design.

**Skills**  
- Strong communication skills  
- Fluent in written and spoken English  
- Experience in creating and maintaining coherent design systems across multiple devices and platforms  
- Adept at establishing scalable design languages  
- Proven ability to manage priorities, dependencies, and stakeholder relationships  
- Passionate about user experience and effective project execution  

**Experience**  

**Project Manager**  
Outsource Company (Since February 2022)  
- Collaborated with cross-functional teams to drive innovative design solutions  
- Applied Agile practices and user-centered design principles throughout web/mobile development  
- Proficient in project management tools: Slack, Trello, and Jira  
- Ensured effective project planning and communication  
- Motivated teams and solved problems in critical situations  
- Fostered a culture of collaboration  

**Recognition**  
- Recognized as one of the ten most effective IT recruiters in Ukraine by DOUwa portal and jinni.co in 2015  

**Education**  

**OCT 2022** - Online Course in Coding: “SheCodes Basics”  
- Credential ID: 2cae7c4c6951922e89181950f7750d6e  

**MAR 2021** - IAMP Online Course: “DAO PM”  

**APR 2019** - Online Course: “Pre Project Management Program” MindsetPM  
- Credential ID: PM-ONLINE-20190429-02  

**APR 2019** - Online Course: “To Be a Manager” MindsetPM  
- Credential ID: 20190410-1629  

**Objective**  
To deepen my knowledge as a Project Manager, contribute to impactful projects, and continually develop new skills within a collaborative team environment."
6,"**Professional Summary**  
Experienced project manager with over 1.5 years in project and team management. Specializes in digital marketing initiatives. Successfully increased the company’s average transaction value by 1.5 times through effective team management and client communication. Maintained a client cooperation rate averaging over 6 months. Trained in user-centered design methodologies to create innovative communication modes that are delightful, understandable, and accessible for diverse user groups.

**Skills**  
- Digital Marketing  
- Project Management  
- Team Collaboration  
- User-Centered Design  
- Market Research  
- Performance Reporting  
- Campaign Optimization  
- Client Communication  

**Experience**  
**Project Manager**  
E-commerce Company  
- Led planning and execution of targeted digital advertising campaigns.  
- Focused on driving sales and maximizing ROI.  
- Collaborated with cross-functional teams, including marketing and sales.  
- Defined campaign objectives with specific sales targets and ROI goals.  
- Conducted market research to identify promising customer segments.  
- Refined target demographics, informing user-centered design approaches.  
- Optimized campaign strategies across multiple channels.  
- Enhanced user engagement through social media, search engines, and display networks.  
- Provided regular performance reports to stakeholders.  
- Showcased key metrics such as click-through rates, conversion rates, and ROI.  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  "
7,"**[Your Name]**  
[Your Address]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Detail-oriented and experienced project manager transitioning into IT. Background in managing complex projects and teams. Proven ability to thrive under pressure. Effective in prioritizing tasks and maintaining open communication. Fluent in English.

---

**Skills**  
- Project Management  
- User-Centered Design  
- Team Leadership  
- Cross-Functional Collaboration  
- Document Management  
- Task Prioritization  
- Delegation  
- Risk Management  
- Communication Skills  

---

**Experience**  

**Project Manager**  
[Company Name] - [Location] | [Month, Year] – [Month, Year]  
- Directed cross-functional teams of 20+ professionals.  
- Ensured collaboration and alignment on strategies and goals.  
- Led multiple concurrent projects from concept to execution.  
- Focused on user-centered design principles.  
- Prioritized, estimated, and delegated tasks effectively.  
- Conducted planning meetings and daily stand-ups.  
- Gathered insights and iterated on design solutions.  
- Maintained comprehensive project documentation.  
- Implemented changes and managed risks.  

---

**Education**  
- Completed Project Management in IT course, Beetroot Academy  
- Google Project Management Professional Certificate  

---

**Portfolio**  
[Include a link to your portfolio or relevant work here]  

--- 

**References**  
Available upon request."
8,"**PROFESSIONAL SUMMARY**  
Detail-oriented professional with experience in sales and business development. Proficient in identifying and qualifying leads. Skilled in managing communication across various platforms. Strong understanding of project management methodologies including Agile, Kanban, and Scrum. Experienced in utilizing JIRA and Confluence for project tracking.

**SKILLS**  
- Lead Generation  
- Sales Strategy  
- Market Analysis  
- Client Relationship Management  
- CRM Software (Salesforce, HubSpot)  
- Project Coordination  
- Agile Methodologies (Scrum, Kanban)  
- Data Management  
- Communication Skills  

**EXPERIENCE**  

**EVNE Developers**  
**Junior Sales Manager**  
January 2023 - Present  
- Conduct research to identify potential leads.  
- Analyze IT job descriptions to find business opportunities.  
- Engage and qualify leads via LinkedIn and email.  
- Manage interactions with warm and cold audiences.  
- Analyze market trends to enhance outreach efforts.  
- Collaborate with various customer levels for negotiations.  
- Coordinate projects throughout all phases of launch and maintenance.  

**Business Development Representative**  
June 2022 - Present  
- Research and identify potential leads across LinkedIn.  
- Interpret IT job descriptions to foster business growth.  
- Engage and qualify leads through written communications.  
- Ensure thorough introduction of the TEAM in business correspondence.  
- Follow up with leads to maintain engagement.  
- Schedule introductory calls with Account Executives.  
- Prepare detailed company profiles for intro calls.  
- Document and summarize discussions after calls.  
- Maintain and update data in the CRM (Salesforce).  
- Pursue ongoing professional development in sales and IT.  

**EDUCATION**  
[Your Degree] in [Your Major]  
[Your University/College], [Your Graduation Year]"
9,"**Professional Summary**  
User Experience (UX) Designer with over 8 years of experience in product design and customer relations. Proven ability to implement user-centered design methods, manage cross-functional teams, and deliver innovative solutions that prioritize user needs and business objectives. Skilled in collaborating with stakeholders and utilizing industry-standard design tools.

**Skills**  
- User-Centered Design  
- Proficient in Figma and other industry-standard design tools  
- HTML, CSS, PHP (1 year experience)  
- Bitrix24 (1 year experience)  
- Microsoft Office Suite (7 years experience)  

**Experience**  
- Designed and implemented a CRM system from scratch.  
- Enhanced user experience and business workflow.  
- Conducted training sessions on CRM functionality for 13 partner companies.  
- Managed a cross-functional team including a designer, 2 developers, and 1 tester.  
- Oversaw the release of 3 e-commerce sites, 3 corporate sites, and 1 landing page in 7 months.  
- Converted 3 leads into projects using user-centered design principles.  
- Developed and visualized project schematics from lead generation to launch.  
- Established a clear and effective design workflow.  
- Demonstrated proficiency in HTML, CSS, and PHP.  
- Gained experience with Bitrix24 CRM system to improve user engagement.  
- Maintained user-focused outcomes throughout projects.  
- Proficient in Microsoft Office Suite with over 7 years of experience.

**Education**  
[Include education details if applicable]

**Portfolio**  
[Include link to portfolio]"
