,Modified_anthropic_claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic_claude-3.5-sonnet Google_UX Score
0,88.985
1,84.986
2,89.02
3,87.884
4,68.746
5,85.533
6,87.393
7,86.519
8,87.228
9,85.479
10,86.67
11,85.739
12,88.617
13,88.472
14,87.902
15,87.892
16,87.123
17,86.744
18,84.779
19,85.923
20,86.523
21,85.049
22,88.018
23,86.654
24,83.7
25,88.091
26,86.063
27,87.859
28,86.373
29,82.697
30,85.106
31,87.007
32,88.05
33,85.118
34,85.471
35,86.221
36,85.464
37,88.22
38,88.537
39,84.597
40,87.484
41,87.354
42,86.393
43,86.884
44,87.145
45,89.472
46,87.604
47,84.979
48,86.931
49,86.154
50,85.899
51,87.554
52,88.133
53,85.593
54,88.589
55,71.047
56,86.897
57,88.383
58,87.248
59,85.736
60,88.354
61,87.727
62,87.097
63,88.15
64,85.812
65,87.784
66,86.921
67,86.637
68,87.042
69,85.874
70,87.572
71,87.341
72,86.076
73,86.824
74,86.979
75,87.905
76,83.318
77,86.007
78,86.726
79,82.306
80,84.457
81,87.015
82,85.245
83,86.086
84,81.187
85,83.256
86,85.777
87,86.71
88,87.679
89,88.305
90,87.303
91,84.224
92,83.556
93,77.289
94,83.242
95,84.719
96,82.514
97,85.465
98,82.539
99,86.018
100,83.087
101,86.814
102,87.186
103,82.089
104,86.623
105,86.717
106,87.766
107,82.878
108,88.196
109,88.537
110,85.242
111,86.132
112,85.968
113,85.97
114,84.64
115,85.964
116,84.105
117,83.023
118,85.45
119,86.829
120,87.984
121,88.393
122,85.012
123,87.635
124,85.043
125,88.803
126,86.823
127,84.339
128,84.495
129,84.544
130,86.152
131,82.246
132,86.771
133,87.724
134,86.704
135,83.866
136,87.153
137,87.566
138,86.572
139,87.09
140,87.039
141,87.187
142,87.199
143,86.871
144,88.411
145,87.031
146,88.073
147,87.617
148,87.555
149,87.441
150,89.568
151,85.786
152,89.108
153,87.355
154,86.422
155,86.108
156,86.685
157,85.973
158,87.415
159,86.129
160,86.997
161,86.869
162,88.812
163,88.092
164,88.175
165,87.398
166,86.936
167,87.669
168,85.134
169,86.606
170,86.654
171,86.941
172,88.596
173,87.356
174,84.083
175,87.378
176,86.14
177,89.501
178,88.059
179,84.294
180,85.272
181,86.967
182,89.347
183,84.788
184,85.55
185,88.873
186,85.598
187,87.442
188,88.133
189,85.635
190,87.132
191,87.723
192,86.624
193,87.075
194,86.944
195,88.955
196,87.023
197,85.38
198,87.309
199,86.422
200,85.811
201,88.087
202,88.031
203,85.919
204,87.795
205,84.93
206,87.323
207,87.143
208,86.015
209,69.806
210,87.721
211,88.11
212,87.793
213,87.047
214,84.978
215,85.684
216,87.242
217,86.456
218,88.0
219,85.641
220,86.676
221,88.744
222,85.891
223,87.23
224,86.489
225,87.346
226,83.75
227,86.3
228,87.129
229,82.19
230,81.51
231,86.847
232,84.224
233,85.987
234,80.52
235,82.033
236,86.179
237,86.572
238,87.963
239,88.451
240,88.366
241,84.212
242,84.118
243,77.011
244,83.509
245,84.245
246,84.233
247,85.486
248,82.706
249,86.508
250,87.643
251,84.364
252,81.811
253,82.638
254,81.832
255,87.049
256,81.605
257,88.108
258,86.795
259,83.624
