,Modified_deepseek/deepseek-chat_of_Modified_deepseek-chat_of_CV_Modeldeepseek-chat_Modeldeepseek/deepseek-chat Google_UX Score
0,82.737
1,82.983
2,87.522
3,84.419
4,87.707
5,87.45
6,87.28
7,85.322
8,88.306
9,86.373
10,86.898
11,89.213
12,86.888
13,88.289
14,87.389
15,84.902
16,83.533
17,85.392
18,85.336
19,86.656
20,88.386
21,88.014
22,86.293
23,86.55
24,85.471
25,88.984
26,87.179
27,84.266
28,86.299
29,84.967
30,85.1
31,81.264
32,86.337
33,88.555
34,87.62
35,86.071
36,83.246
37,87.199
38,87.551
39,86.004
40,86.472
41,84.363
42,86.634
43,87.563
44,88.118
45,88.003
46,86.036
47,87.219
48,87.12
49,88.48
50,87.506
51,85.893
52,88.893
53,85.82
54,86.3
55,85.024
56,86.586
57,86.099
58,86.455
59,85.822
60,87.309
61,84.748
62,88.214
63,86.787
64,85.268
65,85.515
66,85.31
67,87.658
68,86.378
69,85.211
70,86.129
71,85.043
72,87.03
73,86.044
74,83.371
75,87.861
76,86.825
77,89.144
78,86.212
79,84.533
80,84.239
81,86.911
82,87.374
83,84.946
84,84.463
85,86.602
86,83.576
87,87.927
88,86.914
89,85.144
90,86.743
91,87.598
92,84.296
93,85.422
94,89.035
95,87.201
96,86.404
97,85.783
98,86.162
99,86.628
100,85.443
101,87.083
102,87.753
103,87.751
104,87.576
105,83.081
106,85.895
107,88.07
108,86.096
109,85.481
110,88.744
111,90.266
112,88.559
113,88.078
114,86.416
115,86.639
116,87.902
117,85.72
118,87.213
119,86.904
120,88.049
121,86.943
122,85.568
123,87.398
124,88.502
125,88.652
126,84.58
127,83.855
128,88.851
129,85.458
130,81.701
131,85.992
132,86.627
133,85.54
134,83.174
135,81.255
136,86.105
137,87.538
138,88.115
139,86.142
140,87.11
141,83.935
142,84.122
143,79.365
144,81.562
145,83.379
146,85.278
147,87.657
148,85.001
149,83.633
150,86.807
151,83.396
152,86.181
153,86.05
154,82.658
155,87.651
156,83.431
157,87.396
158,90.113
159,86.787
160,87.596
161,87.169
162,89.585
163,88.758
164,88.876
165,85.683
166,87.649
167,82.03
168,83.955
169,85.193
170,87.861
171,85.671
172,86.33
173,86.435
174,89.09
175,84.816
176,86.369
177,86.154
178,85.62
179,88.194
180,85.693
181,84.996
182,87.424
183,86.61
184,86.663
185,86.312
186,84.465
187,87.471
188,88.058
189,86.228
190,87.065
191,78.462
192,85.848
193,87.753
194,86.282
195,86.549
196,82.842
197,85.078
198,86.438
199,86.017
200,80.578
201,83.483
202,90.198
203,89.109
204,84.751
205,87.711
206,88.295
207,86.664
208,85.194
209,87.013
210,85.77
211,86.384
212,86.808
213,87.325
214,86.775
215,86.944
216,85.348
217,86.991
218,85.965
219,85.718
220,85.952
221,87.177
222,87.752
223,86.51
224,83.191
225,85.855
226,89.184
227,87.524
228,86.027
229,87.518
230,84.066
231,87.052
232,86.979
233,87.256
234,85.942
235,88.422
236,87.13
237,79.635
238,87.119
239,83.522
240,84.067
241,86.588
242,87.085
243,88.679
244,86.436
245,87.939
246,85.193
247,80.927
248,87.142
249,87.355
250,87.977
251,85.156
252,84.321
253,88.299
254,87.408
255,86.923
256,85.48
257,83.986
258,83.45
259,80.278
