,Modified_gpt-3.5-turbo_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-3.5-turbo Google_UX Score
0,84.302
1,85.217
2,87.751
3,80.767
4,85.935
5,88.152
6,84.792
7,83.915
8,88.444
9,85.596
10,86.412
11,87.648
12,86.016
13,87.416
14,87.977
15,85.113
16,84.531
17,83.399
18,86.469
19,83.623
20,86.253
21,83.151
22,81.908
23,83.021
24,84.286
25,90.734
26,81.475
27,81.443
28,85.973
29,80.053
30,82.979
31,78.728
32,81.387
33,87.977
34,87.815
35,83.154
36,82.746
37,86.78
38,86.407
39,84.602
40,87.102
41,82.52
42,81.656
43,86.233
44,85.276
45,87.315
46,86.131
47,84.252
48,87.459
49,83.121
50,87.46
51,83.865
52,88.383
53,86.811
54,84.358
55,84.938
56,85.789
57,86.048
58,86.569
59,85.426
60,84.551
61,85.351
62,87.748
63,86.154
64,83.851
65,86.982
66,84.837
67,84.366
68,85.351
69,82.276
70,85.699
71,84.529
72,86.023
73,85.937
74,81.59
75,86.358
76,85.456
77,85.072
78,85.102
79,85.609
80,84.279
81,83.802
82,82.629
83,81.312
84,80.288
85,86.502
86,81.75
87,85.714
88,78.623
89,81.475
90,84.44
91,86.635
92,85.783
93,82.396
94,86.218
95,87.498
96,87.57
97,82.389
98,87.227
99,85.077
100,85.936
101,83.288
102,86.588
103,88.536
104,84.384
105,81.656
106,84.112
107,86.77
108,85.842
109,82.593
110,88.911
111,89.183
112,84.117
113,83.817
114,84.699
115,86.315
116,88.173
117,86.001
118,83.69
119,84.148
120,86.694
121,87.504
122,85.843
123,85.532
124,86.915
125,86.872
126,84.729
127,84.769
128,85.44
129,81.888
130,82.19
131,81.161
132,84.63
133,84.675
134,80.23
135,79.758
136,82.274
137,84.187
138,86.55
139,88.842
140,84.159
141,82.787
142,82.262
143,80.591
144,82.136
145,80.886
146,82.25
147,84.909
148,85.497
149,82.454
150,86.652
151,82.594
152,85.416
153,85.431
154,87.411
155,86.334
156,82.574
157,86.875
158,82.08
159,83.033
160,87.823
161,84.924
162,88.024
163,89.392
164,88.028
165,83.316
166,86.374
167,77.861
168,85.294
169,83.458
170,81.972
171,85.659
172,87.377
173,81.319
174,86.754
175,80.869
176,83.557
177,79.947
178,84.894
179,85.505
180,83.725
181,85.145
182,85.791
183,85.09
184,85.575
185,84.7
186,80.517
187,88.351
188,86.402
189,87.591
190,87.944
191,75.718
192,84.178
193,80.202
194,82.711
195,82.199
196,77.633
197,79.75
198,79.621
199,78.502
200,77.085
201,83.569
202,90.025
203,85.419
204,82.449
205,87.432
206,86.924
207,84.366
208,82.464
209,87.696
210,86.137
211,86.745
212,84.039
213,85.546
214,85.541
215,88.037
216,87.096
217,85.496
218,85.097
219,82.022
220,86.131
221,81.598
222,85.92
223,83.48
224,81.366
225,87.324
226,86.31
227,84.734
228,84.515
229,86.702
230,83.546
231,82.553
232,81.958
233,87.803
234,86.657
235,88.178
236,88.707
237,87.332
238,80.743
239,83.569
240,84.432
241,85.719
242,83.618
243,88.279
244,89.223
245,85.644
246,77.425
247,82.571
248,88.15
249,85.056
250,87.061
251,78.998
252,82.849
253,84.935
254,87.244
255,86.65
256,83.032
257,83.861
258,83.521
259,80.887
