,Score
0,79.661
1,81.715
2,81.373
3,80.797
4,81.068
5,78.211
6,83.364
7,80.716
8,85.59
9,80.867
10,81.529
11,82.556
12,83.083
13,80.631
14,85.161
15,81.496
16,78.328
17,82.574
18,79.218
19,81.734
20,78.779
21,78.848
22,82.34
23,82.221
24,82.237
25,77.305
26,82.361
27,82.268
28,79.619
29,82.709
30,77.024
31,83.128
32,83.981
33,83.814
34,79.317
35,82.941
36,81.353
37,80.475
38,86.606
39,80.017
40,81.76
41,77.861
42,82.816
43,81.643
44,81.806
45,81.253
46,81.667
47,80.815
48,80.29
49,80.605
50,84.142
51,81.831
52,80.382
53,80.312
54,80.087
55,77.753
56,81.532
57,79.529
58,82.364
59,79.161
60,81.937
61,69.182
62,82.205
63,82.229
64,82.526
65,80.035
66,82.195
67,80.929
68,80.356
69,80.892
70,80.805
71,83.636
72,82.227
73,77.646
74,83.472
75,80.099
76,81.853
77,80.593
78,81.278
79,80.435
80,79.584
81,84.426
82,81.195
83,82.675
84,80.829
85,84.542
86,79.035
87,81.004
88,81.395
89,83.927
90,82.524
91,82.967
92,82.426
93,82.619
94,83.716
95,79.888
96,80.229
97,82.171
98,84.167
99,70.555
100,83.018
101,81.122
102,81.979
103,84.524
104,81.743
105,83.902
106,83.442
107,84.631
108,82.946
109,80.233
110,78.75
111,81.934
112,76.685
113,84.171
114,83.58
115,83.804
116,83.41
117,79.967
118,81.25
119,85.67
120,81.285
121,80.591
122,83.326
123,83.032
124,80.089
125,83.865
126,81.813
127,82.579
128,82.317
129,82.412
130,76.559
131,81.288
132,85.483
133,82.138
134,81.559
135,84.27
136,81.068
137,80.039
138,79.156
139,82.146
140,83.096
141,83.772
142,83.988
143,80.898
144,81.941
145,81.545
146,82.766
147,84.036
148,83.358
149,80.094
150,78.618
151,85.81
152,82.262
153,80.873
154,80.632
155,79.915
156,70.596
157,84.6
158,85.685
159,82.48
160,80.005
161,82.385
162,77.574
163,80.784
164,81.901
165,78.696
166,81.465
167,82.183
168,83.853
169,79.659
170,83.064
