,Score
0,80.378
1,84.527
2,83.238
3,83.17
4,82.272
5,82.322
6,83.576
7,81.076
8,85.337
9,82.191
10,81.971
11,83.111
12,83.421
13,81.172
14,85.036
15,84.079
16,79.453
17,81.684
18,80.242
19,80.051
20,80.874
21,80.441
22,84.326
23,81.924
24,81.583
25,79.765
26,82.744
27,81.16
28,80.911
29,83.729
30,81.153
31,83.95
32,83.997
33,83.16
34,81.204
35,84.76
36,85.514
37,81.613
38,85.853
39,81.048
40,82.503
41,79.025
42,82.714
43,82.696
44,80.604
45,80.796
46,84.221
47,83.07
48,82.287
49,82.061
50,83.945
51,81.949
52,80.832
53,82.478
54,79.161
55,80.534
56,80.807
57,80.325
58,81.686
59,81.635
60,83.916
61,81.697
62,81.075
63,82.325
64,81.681
65,79.818
66,81.821
67,82.989
68,81.808
69,79.976
70,80.833
71,85.288
72,81.766
73,79.864
74,83.447
75,79.264
76,82.538
77,83.343
78,82.268
79,79.138
80,81.155
81,84.252
82,82.063
83,83.923
84,80.022
85,84.589
86,78.302
87,83.116
88,80.825
89,83.689
90,83.255
91,82.504
92,84.112
93,81.583
94,82.425
95,80.564
96,79.817
97,82.798
98,85.213
99,83.162
100,83.522
101,83.519
102,82.866
103,84.756
104,82.053
105,84.223
106,84.14
107,86.903
108,83.95
109,82.399
110,80.369
111,82.83
112,78.25
113,84.496
114,84.591
115,82.679
116,82.451
117,82.162
118,83.155
119,83.848
120,81.665
121,82.386
122,83.675
123,82.892
124,80.23
125,83.267
126,80.679
127,83.603
128,80.988
129,84.394
130,82.514
131,81.305
132,86.146
133,82.511
134,79.29
135,84.626
136,81.827
137,78.069
138,78.837
139,84.999
140,82.938
141,85.643
142,82.429
143,83.889
144,83.159
145,82.486
146,82.063
147,83.708
148,84.774
149,82.55
150,81.318
151,86.422
152,81.885
153,81.953
154,80.225
155,79.621
156,81.571
157,84.273
158,84.139
159,83.301
160,82.426
161,83.119
162,76.035
163,82.715
164,84.374
165,77.948
166,81.329
167,81.726
168,81.272
169,80.751
170,83.435
171,83.28
172,81.898
173,80.713
174,83.998
175,81.1
176,84.868
177,83.917
178,82.068
179,82.072
180,81.142
181,83.785
182,82.78
183,80.665
184,83.024
185,82.47
186,85.482
187,81.66
188,82.137
189,82.007
190,81.368
191,78.713
192,81.097
193,86.333
194,80.019
195,82.385
196,85.723
197,82.593
198,80.789
199,82.032
200,84.558
201,81.395
202,79.042
203,84.264
204,84.169
205,82.275
206,82.756
207,83.641
208,83.381
209,78.572
210,82.933
211,81.497
212,77.125
213,81.629
214,82.538
215,83.309
216,76.461
217,82.431
218,76.42
219,82.933
220,82.595
221,79.728
222,80.277
223,81.48
224,84.387
225,81.4
226,81.088
227,82.88
228,83.57
229,79.46
230,81.901
231,78.788
232,80.747
233,82.855
234,82.155
235,79.996
236,83.117
237,84.007
238,82.797
239,81.921
240,83.487
241,84.008
242,82.059
243,79.38
244,82.766
245,78.748
246,84.549
247,84.158
248,80.035
249,83.44
250,83.641
251,87.021
252,82.442
253,81.382
254,82.204
255,75.697
256,82.102
257,80.709
258,82.513
259,80.64
260,76.998
261,77.039
262,78.251
263,79.848
264,82.015
265,81.329
266,80.271
267,78.476
268,81.044
269,79.525
270,76.049
271,81.853
272,84.329
273,85.538
274,83.967
275,77.136
276,78.24
277,76.857
278,81.403
279,79.46
280,83.537
281,80.611
282,80.965
283,78.374
284,77.866
285,78.221
286,78.631
287,79.198
288,84.939
289,82.666
290,82.227
291,82.586
292,81.777
293,79.814
294,78.818
295,79.678
296,75.937
297,79.058
298,80.016
299,80.572
300,77.619
301,78.077
302,79.849
303,80.131
304,80.886
305,79.446
306,78.379
307,80.503
308,80.985
309,80.882
310,79.732
311,83.085
312,80.975
313,79.136
314,81.884
315,78.608
316,80.377
317,78.665
318,77.886
319,80.192
320,78.03
321,79.686
322,80.397
323,79.788
324,83.125
325,76.61
326,78.684
327,77.079
328,78.798
329,81.02
330,78.244
331,77.979
332,80.78
333,80.435
334,77.698
335,79.236
336,78.856
337,80.972
338,80.844
339,76.176
340,79.553
341,80.773
342,80.319
343,79.683
344,81.375
345,79.901
346,79.788
347,81.267
348,78.361
349,81.063
350,82.311
351,80.341
352,78.492
353,78.833
354,80.691
355,79.798
356,78.775
357,81.419
358,81.956
359,81.255
360,78.562
361,79.339
362,79.11
363,79.719
364,80.528
365,80.879
366,83.373
367,80.391
368,80.398
369,82.123
370,79.657
371,80.537
372,80.792
373,80.638
374,80.147
375,78.789
376,78.642
377,81.924
378,80.868
379,79.742
380,82.54
381,77.579
382,77.322
383,79.228
384,79.441
385,79.858
386,79.061
387,76.261
388,79.853
389,77.617
390,77.617
391,78.221
392,78.619
393,80.52
394,81.378
395,74.568
396,76.82
397,78.762
398,82.874
399,77.394
400,79.164
401,75.675
402,82.848
403,78.563
404,75.598
405,80.005
406,80.795
407,77.248
408,79.905
409,78.629
410,80.612
411,79.939
412,78.756
413,80.43
414,77.572
415,79.403
416,78.553
417,77.87
418,79.646
419,79.568
420,81.173
421,78.112
422,83.282
423,82.116
424,84.895
425,81.865
426,78.784
427,78.523
428,80.188
429,81.64
430,80.925
431,79.34
432,77.886
433,80.233
434,81.051
435,76.967
436,78.217
437,79.109
438,80.336
439,79.742
440,78.781
441,79.148
442,78.078
443,79.303
444,81.727
445,82.066
446,76.954
447,80.815
448,80.106
449,80.194
450,80.713
451,80.341
452,78.497
453,83.16
454,82.122
455,83.123
456,78.976
457,82.356
458,82.52
459,83.243
460,80.227
461,80.457
462,79.563
463,80.501
464,78.147
465,77.408
466,79.214
467,81.709
468,79.726
469,80.617
470,80.003
471,80.827
472,80.181
473,80.242
474,79.98
475,80.421
476,80.171
477,81.362
478,80.543
479,80.697
480,79.332
481,80.08
482,80.713
483,79.49
484,81.31
485,80.519
486,81.078
487,83.064
488,78.824
489,83.268
490,77.363
491,80.611
492,80.209
493,81.291
494,81.51
495,79.694
496,80.469
497,76.253
498,80.538
499,77.804
500,81.574
501,80.041
502,82.491
503,79.949
504,80.548
505,80.102
506,82.433
507,77.395
508,82.398
509,79.51
510,80.571
511,83.197
512,79.988
513,80.575
514,79.092
515,80.364
516,80.121
517,80.728
518,77.901
519,76.381
