,Score
0,83.487
1,82.944
2,80.272
3,82.848
4,81.568
5,80.025
6,83.4
7,79.416
8,81.612
9,79.528
10,81.669
11,81.533
12,82.097
13,79.855
14,84.239
15,79.702
16,80.302
17,80.806
18,77.562
19,77.785
20,77.3
21,77.046
22,81.411
23,79.721
24,82.204
25,77.991
26,82.215
27,80.214
28,78.355
29,82.691
30,78.099
31,82.224
32,80.235
33,81.359
34,77.5
35,81.605
36,83.514
37,78.92
38,84.901
39,79.611
40,79.212
41,77.328
42,77.551
43,80.517
44,79.165
45,79.804
46,82.967
47,82.648
48,79.411
49,81.163
50,83.261
51,80.81
52,79.047
53,78.564
54,78.408
55,78.414
56,78.882
57,76.178
58,82.537
59,80.391
60,78.87
61,80.847
62,78.929
63,82.132
64,79.663
65,78.424
66,82.321
67,80.443
68,80.997
69,80.694
70,80.711
71,83.335
72,81.208
73,76.65
74,82.895
75,79.99
76,80.677
77,81.28
78,79.982
79,77.863
80,80.15
81,82.131
82,80.575
83,82.227
84,79.091
85,83.389
86,78.708
87,81.832
88,81.032
89,77.342
90,80.915
91,80.49
92,83.907
93,79.848
94,78.717
95,80.001
96,78.644
97,82.291
98,84.29
99,82.283
100,82.347
101,81.287
102,81.268
103,81.417
104,79.62
105,81.719
106,80.542
107,84.428
108,82.786
109,82.127
110,75.838
111,81.022
112,74.172
113,83.151
114,81.323
115,81.15
116,80.662
117,80.528
118,80.883
119,82.353
120,81.534
121,79.175
122,82.117
123,82.184
124,78.644
125,81.911
126,77.796
127,81.215
128,83.832
129,81.382
130,80.156
131,78.617
132,84.119
133,82.883
134,78.909
135,84.512
136,81.441
137,77.038
138,79.843
139,83.295
140,82.585
141,81.545
142,80.061
143,80.024
144,79.766
145,78.148
146,79.826
147,81.76
148,84.876
149,79.839
150,76.874
151,85.871
152,79.793
153,80.009
154,80.379
155,79.465
156,81.87
157,83.158
158,82.563
159,83.564
160,78.888
161,82.932
162,77.217
163,79.609
164,81.793
165,77.415
166,79.592
167,83.069
168,80.785
169,79.934
170,79.455
171,82.948
172,81.311
173,81.303
174,82.468
175,81.016
176,83.859
177,79.293
178,82.322
179,80.119
180,79.036
181,82.922
182,81.525
183,81.806
184,82.419
185,82.706
186,84.429
187,80.576
188,79.095
189,80.628
190,79.351
191,76.713
192,81.976
193,85.413
194,79.64
195,81.124
196,83.65
197,81.272
198,77.998
199,80.972
200,83.739
201,77.86
202,75.077
203,82.691
204,83.323
205,79.815
206,77.504
207,81.472
208,82.4
209,77.733
210,80.569
211,78.094
212,75.898
213,79.724
214,81.572
215,82.766
216,72.648
217,82.029
218,74.499
219,78.536
220,82.69
221,74.418
222,75.134
223,81.143
224,80.655
225,79.679
226,78.519
227,77.429
228,82.15
229,76.758
230,81.235
231,78.356
232,81.088
233,79.182
234,80.713
235,77.341
236,82.27
237,83.623
238,82.669
239,78.288
240,82.294
241,81.77
242,82.577
243,78.65
244,79.207
245,78.407
246,82.236
247,82.28
248,80.596
249,81.496
250,80.623
251,85.015
252,81.074
253,80.004
254,82.739
255,78.981
256,80.902
257,80.558
258,80.354
259,77.766
260,76.442
261,77.887
262,77.754
263,77.574
264,76.98
265,83.192
266,78.023
267,77.087
268,80.403
269,78.548
270,77.322
271,81.402
272,83.54
273,81.525
274,80.696
275,78.766
276,79.043
277,76.842
278,78.605
279,79.528
280,81.324
281,81.523
282,81.718
283,77.417
284,75.679
285,78.617
286,76.143
287,76.676
288,83.409
289,79.576
290,81.598
291,80.581
292,80.122
293,79.078
294,78.714
295,79.616
296,76.513
297,77.941
298,78.822
299,80.657
300,77.824
301,78.26
302,79.677
303,77.48
304,77.517
305,79.035
306,79.227
307,80.356
308,81.7
309,79.621
310,77.295
311,81.576
312,80.802
313,80.24
314,80.56
315,77.438
316,77.689
317,79.301
318,77.764
319,75.906
320,78.073
321,78.394
322,81.091
323,75.641
324,80.238
325,77.216
326,79.2
327,80.014
328,77.498
329,78.255
330,75.47
331,80.538
332,77.516
333,80.139
334,76.605
335,75.151
336,79.207
337,78.673
338,77.288
339,76.498
340,78.908
341,78.087
342,79.811
343,76.877
344,77.871
345,76.455
346,77.98
347,81.506
348,75.267
349,78.791
350,83.433
351,77.911
352,79.769
353,78.513
354,78.858
355,79.284
356,79.088
357,81.434
358,81.433
359,79.967
360,81.414
361,80.768
362,79.127
363,76.944
364,80.138
365,79.485
366,82.4
367,79.972
368,78.27
369,79.414
370,82.509
371,78.495
372,78.005
373,78.927
374,81.279
375,78.009
376,78.818
377,81.209
378,80.754
379,80.118
380,80.208
381,74.956
382,76.819
383,78.816
384,76.796
385,79.205
386,78.74
387,76.99
388,77.757
389,76.26
390,75.117
391,76.06
392,79.151
393,78.054
394,79.682
395,72.391
396,73.841
397,76.97
398,80.75
399,80.697
400,75.766
401,74.797
402,82.048
403,78.544
404,77.082
405,77.507
406,78.432
407,73.639
408,81.292
409,76.965
410,76.907
411,74.694
412,76.212
413,77.658
414,75.892
415,78.784
416,78.813
417,75.667
418,79.771
419,77.572
420,77.752
421,76.792
422,81.585
423,81.578
424,82.125
425,78.815
426,77.939
427,76.395
428,80.593
429,79.354
430,77.915
431,76.441
432,78.707
433,78.168
434,78.067
435,77.846
436,76.526
437,77.006
438,79.616
439,80.666
440,77.683
441,80.317
442,75.943
443,78.036
444,80.602
445,82.185
446,77.438
447,77.913
448,78.712
449,78.168
450,79.179
451,79.342
452,76.271
453,81.054
454,79.876
455,78.429
456,75.619
457,79.363
458,81.456
459,79.436
460,76.745
461,79.909
462,79.374
463,78.059
464,77.678
465,79.026
466,79.069
467,77.766
468,78.789
469,81.068
470,80.101
471,82.58
472,80.609
473,79.211
474,77.268
475,80.124
476,80.071
477,79.883
478,79.063
479,79.85
480,78.572
481,77.193
482,81.921
483,77.697
484,80.797
485,78.331
486,77.759
487,75.823
488,77.518
489,83.493
490,76.301
491,79.848
492,77.64
493,77.316
494,81.556
495,78.789
496,78.463
497,78.054
498,76.353
499,75.034
500,78.754
501,77.973
502,82.355
503,80.913
504,79.367
505,79.326
506,77.442
507,76.553
508,81.498
509,77.425
510,80.133
511,78.767
512,77.252
513,80.052
514,80.872
515,79.956
516,80.579
517,79.746
518,76.113
519,76.87
