,Score
0,82.774
1,83.443
2,82.91
3,83.728
4,80.884
5,78.521
6,82.844
7,81.379
8,84.782
9,81.915
10,82.535
11,81.849
12,84.288
13,80.334
14,82.467
15,81.616
16,80.131
17,
18,78.914
19,77.243
20,78.877
21,79.856
22,81.494
23,82.093
24,82.994
25,81.181
26,81.544
27,80.988
28,80.752
29,82.331
30,76.219
31,82.913
32,83.081
33,83.817
34,78.011
35,83.143
36,83.938
37,80.142
38,84.739
39,82.522
40,81.035
41,77.321
42,79.839
43,80.559
44,80.977
45,81.612
46,83.713
47,82.01
48,80.974
49,80.632
50,83.156
51,80.106
52,79.604
53,78.723
54,77.764
55,78.983
56,79.13
57,80.364
58,76.425
59,79.008
60,80.794
61,81.78
62,80.616
63,82.341
64,80.969
65,78.711
66,82.052
67,81.182
68,81.492
69,79.795
70,81.298
71,83.217
72,80.95
73,77.211
74,84.295
75,80.434
76,80.074
77,83.535
78,78.88
79,80.173
80,80.703
81,83.286
82,82.464
83,81.956
84,81.343
85,84.203
86,78.048
87,81.995
88,80.519
89,82.967
90,82.077
91,82.237
92,82.69
93,81.548
94,81.795
95,78.729
96,79.706
97,82.406
98,84.842
99,83.664
100,82.9
101,82.733
102,80.994
103,82.218
104,79.898
105,81.893
106,82.579
107,85.912
108,82.238
109,82.604
110,77.49
111,82.874
112,78.022
113,82.299
114,82.526
115,81.294
116,81.33
117,84.404
118,81.396
119,82.964
120,80.669
121,79.05
122,83.353
123,82.628
124,79.087
125,82.663
126,79.227
127,80.67
128,83.741
129,83.325
130,77.557
131,80.4
132,85.267
133,81.909
134,78.003
135,84.202
136,82.718
137,79.274
138,78.96
139,83.921
140,84.251
141,81.378
142,80.762
143,80.718
144,80.099
145,79.507
146,80.118
147,83.644
148,82.975
149,81.201
150,77.887
151,84.363
152,82.604
153,81.788
154,79.066
155,79.572
156,81.549
157,84.21
158,83.825
159,83.774
160,80.839
161,82.862
162,77.196
163,78.374
164,83.458
165,75.395
166,78.489
167,84.152
168,83.043
169,81.108
170,79.08
171,82.985
172,83.158
173,81.957
174,81.957
175,81.061
176,82.745
177,82.872
178,81.25
179,81.277
180,81.525
181,82.5
182,81.041
183,79.801
184,81.365
185,81.165
186,85.997
187,81.915
188,81.897
189,80.829
190,80.508
191,78.709
192,80.532
193,86.363
194,79.442
195,82.163
196,83.192
197,81.218
198,78.777
199,80.645
200,83.964
201,77.817
202,80.486
203,82.446
204,82.678
205,80.238
206,82.04
207,84.338
208,83.263
209,77.477
210,84.497
211,78.473
212,78.627
213,80.86
214,82.2
215,81.678
216,73.464
217,82.433
218,75.419
219,80.239
220,81.984
221,74.432
222,78.39
223,80.861
224,80.634
225,81.441
226,78.806
227,80.939
228,81.944
229,75.686
230,80.834
231,78.037
232,81.473
233,80.678
234,81.363
235,78.789
236,81.355
237,83.226
238,83.288
239,81.206
240,83.218
241,80.648
242,82.03
243,79.032
244,81.468
245,78.851
246,83.049
247,82.297
248,81.129
249,80.099
250,82.674
251,85.773
252,82.195
253,81.804
254,83.384
255,76.652
256,77.655
257,78.876
258,82.107
259,79.622
260,75.411
261,76.389
262,77.06
263,77.302
264,79.567
265,81.658
266,80.82
267,77.631
268,81.735
269,77.696
270,73.908
271,80.758
272,81.845
273,81.363
274,82.365
275,79.142
276,80.03
277,76.503
278,79.638
279,78.794
280,82.943
281,79.536
282,79.71
283,77.016
284,76.486
285,79.5
286,77.506
287,78.43
288,82.306
289,80.1
290,80.997
291,82.55
292,79.858
293,79.18
294,78.605
295,79.083
296,74.941
297,77.782
298,79.322
299,78.891
300,78.045
301,76.816
302,78.932
303,78.385
304,79.657
305,77.789
306,79.925
307,78.676
308,79.279
309,79.464
310,78.708
311,82.375
312,81.614
313,78.383
314,80.603
315,77.439
316,78.805
317,78.381
318,76.555
319,76.69
320,76.772
321,78.145
322,79.443
323,78.008
324,80.127
325,76.613
326,79.841
327,80.056
328,76.552
329,78.031
330,76.59
331,80.525
332,80.486
333,79.084
334,76.255
335,76.868
336,77.69
337,80.292
338,79.204
339,76.824
340,77.488
341,79.34
342,81.933
343,77.765
344,77.565
345,79.002
346,78.144
347,80.267
348,79.009
349,78.914
350,83.307
351,76.91
352,77.146
353,78.059
354,81.197
355,77.699
356,77.987
357,78.515
358,81.016
359,78.923
360,78.749
361,78.638
362,76.687
363,77.499
364,78.222
365,80.072
366,80.642
367,78.781
368,78.443
369,78.422
370,82.805
371,77.074
372,79.425
373,80.418
374,80.582
375,78.594
376,77.949
377,78.979
378,78.366
379,77.695
380,79.317
381,74.997
382,75.234
383,76.89
384,79.629
385,79.422
386,79.321
387,76.448
388,76.848
389,76.726
390,78.393
391,77.072
392,76.958
393,78.676
394,81.397
395,75.987
396,75.474
397,77.476
398,81.662
399,78.34
400,77.448
401,76.276
402,81.586
403,77.292
404,76.446
405,78.511
406,78.948
407,75.046
408,80.385
409,78.93
410,78.355
