,Score
0,72.816
1,81.992
2,84.345
3,81.467
4,83.251
5,82.342
6,74.344
7,82.213
8,80.686
9,84.46
10,79.875
11,82.868
12,81.752
13,84.394
14,80.233
15,83.773
16,82.204
17,80.075
18,80.128
19,76.643
20,79.224
21,71.842
22,77.427
23,84.2
24,81.106
25,82.921
26,79.619
27,81.616
28,78.618
29,78.95
30,81.691
31,77.317
32,80.746
33,81.975
34,83.026
35,78.02
36,82.274
37,84.9
38,79.525
39,84.764
40,80.784
41,82.083
42,79.789
43,81.234
44,84.307
45,80.827
46,80.923
47,81.182
48,81.35
49,80.961
50,80.597
51,84.151
52,81.311
53,78.817
54,72.457
55,76.314
56,77.274
57,81.17
58,80.942
59,82.378
60,81.487
61,82.309
62,79.83
63,80.829
64,81.89
65,81.964
66,77.87
67,80.725
68,84.171
69,80.522
70,81.827
71,79.051
72,84.496
73,78.784
74,76.076
75,82.823
76,77.054
77,81.234
78,82.681
79,80.601
80,77.941
81,79.624
82,83.676
83,79.935
84,82.138
85,80.161
86,79.935
87,78.535
88,78.275
89,82.144
90,83.176
91,82.32
92,81.611
93,84.118
94,78.168
95,82.89
96,79.156
97,77.301
98,81.612
99,84.183
100,82.396
101,81.667
102,81.536
103,82.673
104,81.107
105,79.3
106,82.184
107,83.981
108,82.195
109,82.526
110,73.804
111,78.783
112,82.47
113,78.285
114,80.316
115,80.715
116,83.945
117,81.33
118,72.351
119,79.736
120,81.263
121,82.895
122,79.426
123,84.609
124,72.392
125,78.391
126,75.574
127,80.356
128,80.881
129,81.97
130,80.377
131,77.936
132,78.388
133,83.573
134,82.152
135,73.8
136,83.25
137,78.915
138,73.788
139,77.699
140,83.733
141,80.687
142,83.687
143,78.073
144,83.468
145,77.3
146,79.843
147,80.212
148,83.339
149,85.34
150,80.809
151,75.574
152,85.435
153,81.19
154,75.798
155,80.043
156,78.885
157,79.313
158,81.648
159,82.811
160,83.207
161,78.987
162,83.03
163,77.169
164,80.527
165,82.214
166,73.498
167,79.704
168,81.497
169,82.017
170,79.42
171,78.977
172,83.452
173,80.952
174,80.647
175,84.663
176,81.5
177,84.166
178,83.767
179,80.957
180,81.144
181,78.613
182,83.024
183,72.3
184,81.3
185,83.267
186,80.198
187,84.654
188,79.377
189,79.579
190,81.036
191,81.008
192,79.828
193,80.258
194,85.057
195,75.844
196,83.409
197,72.816
198,81.756
199,77.802
200,78.428
201,82.77
202,83.456
203,81.253
204,82.732
205,75.635
206,78.292
207,79.063
208,83.308
209,83.877
210,77.739
211,82.85
212,81.779
213,77.518
214,80.719
215,81.838
216,81.196
217,77.714
218,78.103
219,70.126
220,80.348
221,83.299
222,75.178
223,78.981
224,80.408
225,81.34
226,81.075
227,77.971
228,81.541
229,76.624
230,77.557
231,81.192
232,77.957
233,81.626
234,81.106
235,81.795
236,77.519
237,81.313
238,84.135
239,79.978
240,78.517
241,81.018
242,80.785
243,81.214
244,80.799
245,80.5
246,79.548
247,84.216
248,81.784
249,80.628
250,80.823
251,80.847
252,85.195
253,81.66
254,79.625
255,84.296
256,75.719
257,78.353
258,80.017
259,81.688
260,78.916
261,78.866
262,78.029
263,78.97
264,66.139
265,75.761
266,80.271
267,75.918
268,78.236
269,81.251
270,78.377
271,76.056
272,82.117
273,85.361
274,82.133
275,80.685
276,79.282
277,79.835
278,74.184
279,73.476
280,79.478
281,81.77
282,80.097
283,81.103
284,77.819
285,76.384
286,78.015
287,75.999
288,75.596
289,82.696
290,81.167
291,79.176
292,80.267
293,83.808
294,77.84
295,79.82
296,74.078
297,77.245
298,78.927
299,77.694
300,82.057
301,76.518
302,79.336
303,81.514
304,79.761
305,77.113
306,76.3
307,79.17
308,81.293
309,82.268
310,79.402
311,77.655
312,81.571
313,80.547
314,80.215
315,80.744
316,76.824
317,78.018
318,79.096
319,78.25
320,76.817
321,75.952
322,78.673
323,79.499
324,76.689
325,82.456
326,78.133
327,80.262
328,80.776
329,69.369
330,78.626
331,75.657
332,79.416
333,77.215
334,79.163
335,76.611
336,75.97
337,80.276
338,79.589
339,77.081
340,75.917
341,79.095
342,79.552
343,79.294
344,76.97
345,78.895
346,76.13
347,80.272
348,80.528
349,79.921
350,77.377
351,82.456
352,78.008
353,80.19
354,79.385
355,80.352
356,80.7
357,77.633
358,81.946
