,Modified_anthropic/claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic/claude-3.5-sonnet Doordash_PM Score
260,79.661
261,81.715
262,81.373
263,80.797
264,81.068
265,78.211
266,83.364
267,80.716
268,85.59
269,80.867
270,81.529
271,82.556
272,83.083
273,80.631
274,85.161
275,81.496
276,78.328
277,82.574
278,79.218
279,81.734
280,78.779
281,78.848
282,82.34
283,82.221
284,82.237
285,77.305
286,82.361
287,82.268
288,79.619
289,82.709
290,77.024
291,83.128
292,83.981
293,83.814
294,79.317
295,82.941
296,81.353
297,80.475
298,86.606
299,80.017
300,81.76
301,77.861
302,82.816
303,81.643
304,81.806
305,81.253
306,81.667
307,80.815
308,80.29
309,80.605
310,84.142
311,81.831
312,80.382
313,80.312
314,80.087
315,77.753
316,81.532
317,79.529
318,82.364
319,79.161
320,81.937
321,69.182
322,82.205
323,82.229
324,82.526
325,80.035
326,82.195
327,80.929
328,80.356
329,80.892
330,80.805
331,83.636
332,82.227
333,77.646
334,83.472
335,80.099
336,81.853
337,80.593
338,81.278
339,80.435
340,79.584
341,84.426
342,81.195
343,82.675
344,80.829
345,84.542
346,79.035
347,81.004
348,81.395
349,83.927
350,82.524
351,82.967
352,82.426
353,82.619
354,83.716
355,79.888
356,80.229
357,82.171
358,84.167
359,70.555
360,83.018
361,81.122
362,81.979
363,84.524
364,81.743
365,83.902
366,83.442
367,84.631
368,82.946
369,80.233
370,78.75
371,81.934
372,76.685
373,84.171
374,83.58
375,83.804
376,83.41
377,79.967
378,81.25
379,85.67
380,81.285
381,80.591
382,83.326
383,83.032
384,80.089
385,83.865
386,81.813
387,82.579
388,82.317
389,82.412
390,76.559
391,81.288
392,85.483
393,82.138
394,81.559
395,84.27
396,81.068
397,80.039
398,79.156
399,82.146
400,83.096
401,83.772
402,83.988
403,80.898
404,81.941
405,81.545
406,82.766
407,84.036
408,83.358
409,80.094
410,78.618
411,85.81
412,82.262
413,80.873
414,80.632
415,79.915
416,70.596
417,84.6
418,85.685
419,82.48
420,80.005
421,82.385
422,77.574
423,80.784
424,81.901
425,78.696
426,81.465
427,82.183
428,83.853
429,79.659
430,83.064
431,82.471
432,82.517
433,82.187
434,82.38
435,82.367
436,84.928
437,83.071
438,82.273
439,81.488
440,79.989
441,84.725
442,82.66
443,82.142
444,80.879
445,80.922
446,83.55
447,81.042
448,80.666
449,81.124
450,81.744
451,77.742
452,83.117
453,84.855
454,81.93
455,82.733
456,84.219
457,82.685
458,80.06
459,82.697
460,84.04
461,81.711
462,78.201
463,84.144
464,83.368
465,81.348
466,81.741
467,82.197
468,82.352
469,78.576
470,81.269
471,80.08
472,78.038
473,81.475
474,81.534
475,82.219
476,75.516
477,81.056
478,75.545
479,81.979
480,82.82
481,76.824
482,80.352
483,82.222
484,82.071
485,82.161
486,78.911
487,82.605
488,81.753
489,77.914
490,81.102
491,78.183
492,81.597
493,81.314
494,80.135
495,79.609
496,83.214
497,83.691
498,82.615
499,78.37
500,82.095
501,81.168
502,80.422
503,79.308
504,80.471
505,75.843
506,84.587
507,83.093
508,81.078
509,81.664
510,81.822
511,85.407
512,80.182
513,80.916
514,82.299
515,76.043
516,80.056
517,80.836
518,81.948
519,78.923
