,Modified_deepseek/deepseek-chat_of_Modified_deepseek-chat_of_CV_Modeldeepseek-chat_Modeldeepseek/deepseek-chat Doordash_PM Score
260,80.378
261,84.527
262,83.238
263,83.17
264,82.272
265,82.322
266,83.576
267,81.076
268,85.337
269,82.191
270,81.971
271,83.111
272,83.421
273,81.172
274,85.036
275,84.079
276,79.453
277,81.684
278,80.242
279,80.051
280,80.874
281,80.441
282,84.326
283,81.924
284,81.583
285,79.765
286,82.744
287,81.16
288,80.911
289,83.729
290,81.153
291,83.95
292,83.997
293,83.16
294,81.204
295,84.76
296,85.514
297,81.613
298,85.853
299,81.048
300,82.503
301,79.025
302,82.714
303,82.696
304,80.604
305,80.796
306,84.221
307,83.07
308,82.287
309,82.061
310,83.945
311,81.949
312,80.832
313,82.478
314,79.161
315,80.534
316,80.807
317,80.325
318,81.686
319,81.635
320,83.916
321,81.697
322,81.075
323,82.325
324,81.681
325,79.818
326,81.821
327,82.989
328,81.808
329,79.976
330,80.833
331,85.288
332,81.766
333,79.864
334,83.447
335,79.264
336,82.538
337,83.343
338,82.268
339,79.138
340,81.155
341,84.252
342,82.063
343,83.923
344,80.022
345,84.589
346,78.302
347,83.116
348,80.825
349,83.689
350,83.255
351,82.504
352,84.112
353,81.583
354,82.425
355,80.564
356,79.817
357,82.798
358,85.213
359,83.162
360,83.522
361,83.519
362,82.866
363,84.756
364,82.053
365,84.223
366,84.14
367,86.903
368,83.95
369,82.399
370,80.369
371,82.83
372,78.25
373,84.496
374,84.591
375,82.679
376,82.451
377,82.162
378,83.155
379,83.848
380,81.665
381,82.386
382,83.675
383,82.892
384,80.23
385,83.267
386,80.679
387,83.603
388,80.988
389,84.394
390,82.514
391,81.305
392,86.146
393,82.511
394,79.29
395,84.626
396,81.827
397,78.069
398,78.837
399,84.999
400,82.938
401,85.643
402,82.429
403,83.889
404,83.159
405,82.486
406,82.063
407,83.708
408,84.774
409,82.55
410,81.318
411,86.422
412,81.885
413,81.953
414,80.225
415,79.621
416,81.571
417,84.273
418,84.139
419,83.301
420,82.426
421,83.119
422,76.035
423,82.715
424,84.374
425,77.948
426,81.329
427,81.726
428,81.272
429,80.751
430,83.435
431,83.28
432,81.898
433,80.713
434,83.998
435,81.1
436,84.868
437,83.917
438,82.068
439,82.072
440,81.142
441,83.785
442,82.78
443,80.665
444,83.024
445,82.47
446,85.482
447,81.66
448,82.137
449,82.007
450,81.368
451,78.713
452,81.097
453,86.333
454,80.019
455,82.385
456,85.723
457,82.593
458,80.789
459,82.032
460,84.558
461,81.395
462,79.042
463,84.264
464,84.169
465,82.275
466,82.756
467,83.641
468,83.381
469,78.572
470,82.933
471,81.497
472,77.125
473,81.629
474,82.538
475,83.309
476,76.461
477,82.431
478,76.42
479,82.933
480,82.595
481,79.728
482,80.277
483,81.48
484,84.387
485,81.4
486,81.088
487,82.88
488,83.57
489,79.46
490,81.901
491,78.788
492,80.747
493,82.855
494,82.155
495,79.996
496,83.117
497,84.007
498,82.797
499,81.921
500,83.487
501,84.008
502,82.059
503,79.38
504,82.766
505,78.748
506,84.549
507,84.158
508,80.035
509,83.44
510,83.641
511,87.021
512,82.442
513,81.382
514,82.204
515,75.697
516,82.102
517,80.709
518,82.513
519,80.64
