,Modified_gpt-3.5-turbo_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-3.5-turbo Doordash_PM Score
260,83.487
261,82.944
262,80.272
263,82.848
264,81.568
265,80.025
266,83.4
267,79.416
268,81.612
269,79.528
270,81.669
271,81.533
272,82.097
273,79.855
274,84.239
275,79.702
276,80.302
277,80.806
278,77.562
279,77.785
280,77.3
281,77.046
282,81.411
283,79.721
284,82.204
285,77.991
286,82.215
287,80.214
288,78.355
289,82.691
290,78.099
291,82.224
292,80.235
293,81.359
294,77.5
295,81.605
296,83.514
297,78.92
298,84.901
299,79.611
300,79.212
301,77.328
302,77.551
303,80.517
304,79.165
305,79.804
306,82.967
307,82.648
308,79.411
309,81.163
310,83.261
311,80.81
312,79.047
313,78.564
314,78.408
315,78.414
316,78.882
317,76.178
318,82.537
319,80.391
320,78.87
321,80.847
322,78.929
323,82.132
324,79.663
325,78.424
326,82.321
327,80.443
328,80.997
329,80.694
330,80.711
331,83.335
332,81.208
333,76.65
334,82.895
335,79.99
336,80.677
337,81.28
338,79.982
339,77.863
340,80.15
341,82.131
342,80.575
343,82.227
344,79.091
345,83.389
346,78.708
347,81.832
348,81.032
349,77.342
350,80.915
351,80.49
352,83.907
353,79.848
354,78.717
355,80.001
356,78.644
357,82.291
358,84.29
359,82.283
360,82.347
361,81.287
362,81.268
363,81.417
364,79.62
365,81.719
366,80.542
367,84.428
368,82.786
369,82.127
370,75.838
371,81.022
372,74.172
373,83.151
374,81.323
375,81.15
376,80.662
377,80.528
378,80.883
379,82.353
380,81.534
381,79.175
382,82.117
383,82.184
384,78.644
385,81.911
386,77.796
387,81.215
388,83.832
389,81.382
390,80.156
391,78.617
392,84.119
393,82.883
394,78.909
395,84.512
396,81.441
397,77.038
398,79.843
399,83.295
400,82.585
401,81.545
402,80.061
403,80.024
404,79.766
405,78.148
406,79.826
407,81.76
408,84.876
409,79.839
410,76.874
411,85.871
412,79.793
413,80.009
414,80.379
415,79.465
416,81.87
417,83.158
418,82.563
419,83.564
420,78.888
421,82.932
422,77.217
423,79.609
424,81.793
425,77.415
426,79.592
427,83.069
428,80.785
429,79.934
430,79.455
431,82.948
432,81.311
433,81.303
434,82.468
435,81.016
436,83.859
437,79.293
438,82.322
439,80.119
440,79.036
441,82.922
442,81.525
443,81.806
444,82.419
445,82.706
446,84.429
447,80.576
448,79.095
449,80.628
450,79.351
451,76.713
452,81.976
453,85.413
454,79.64
455,81.124
456,83.65
457,81.272
458,77.998
459,80.972
460,83.739
461,77.86
462,75.077
463,82.691
464,83.323
465,79.815
466,77.504
467,81.472
468,82.4
469,77.733
470,80.569
471,78.094
472,75.898
473,79.724
474,81.572
475,82.766
476,72.648
477,82.029
478,74.499
479,78.536
480,82.69
481,74.418
482,75.134
483,81.143
484,80.655
485,79.679
486,78.519
487,77.429
488,82.15
489,76.758
490,81.235
491,78.356
492,81.088
493,79.182
494,80.713
495,77.341
496,82.27
497,83.623
498,82.669
499,78.288
500,82.294
501,81.77
502,82.577
503,78.65
504,79.207
505,78.407
506,82.236
507,82.28
508,80.596
509,81.496
510,80.623
511,85.015
512,81.074
513,80.004
514,82.739
515,78.981
516,80.902
517,80.558
518,80.354
519,77.766
