,Modified_meta-llama/llama-3.3-70b-instruct_of_Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct_Modelmeta-llama/llama-3.3-70b-instruct Doordash_PM Score
260,82.774
261,83.443
262,82.91
263,83.728
264,80.884
265,78.521
266,82.844
267,81.379
268,84.782
269,81.915
270,82.535
271,81.849
272,84.288
273,80.334
274,82.467
275,81.616
276,80.131
277,
278,78.914
279,77.243
280,78.877
281,79.856
282,81.494
283,82.093
284,82.994
285,81.181
286,81.544
287,80.988
288,80.752
289,82.331
290,76.219
291,82.913
292,83.081
293,83.817
294,78.011
295,83.143
296,83.938
297,80.142
298,84.739
299,82.522
300,81.035
301,77.321
302,79.839
303,80.559
304,80.977
305,81.612
306,83.713
307,82.01
308,80.974
309,80.632
310,83.156
311,80.106
312,79.604
313,78.723
314,77.764
315,78.983
316,79.13
317,80.364
318,76.425
319,79.008
320,80.794
321,81.78
322,80.616
323,82.341
324,80.969
325,78.711
326,82.052
327,81.182
328,81.492
329,79.795
330,81.298
331,83.217
332,80.95
333,77.211
334,84.295
335,80.434
336,80.074
337,83.535
338,78.88
339,80.173
340,80.703
341,83.286
342,82.464
343,81.956
344,81.343
345,84.203
346,78.048
347,81.995
348,80.519
349,82.967
350,82.077
351,82.237
352,82.69
353,81.548
354,81.795
355,78.729
356,79.706
357,82.406
358,84.842
359,83.664
360,82.9
361,82.733
362,80.994
363,82.218
364,79.898
365,81.893
366,82.579
367,85.912
368,82.238
369,82.604
370,77.49
371,82.874
372,78.022
373,82.299
374,82.526
375,81.294
376,81.33
377,84.404
378,81.396
379,82.964
380,80.669
381,79.05
382,83.353
383,82.628
384,79.087
385,82.663
386,79.227
387,80.67
388,83.741
389,83.325
390,77.557
391,80.4
392,85.267
393,81.909
394,78.003
395,84.202
396,82.718
397,79.274
398,78.96
399,83.921
400,84.251
401,81.378
402,80.762
403,80.718
404,80.099
405,79.507
406,80.118
407,83.644
408,82.975
409,81.201
410,77.887
411,84.363
412,82.604
413,81.788
414,79.066
415,79.572
416,81.549
417,84.21
418,83.825
419,83.774
420,80.839
421,82.862
422,77.196
423,78.374
424,83.458
425,75.395
426,78.489
427,84.152
428,83.043
429,81.108
430,79.08
431,82.985
432,83.158
433,81.957
434,81.957
435,81.061
436,82.745
437,82.872
438,81.25
439,81.277
440,81.525
441,82.5
442,81.041
443,79.801
444,81.365
445,81.165
446,85.997
447,81.915
448,81.897
449,80.829
450,80.508
451,78.709
452,80.532
453,86.363
454,79.442
455,82.163
456,83.192
457,81.218
458,78.777
459,80.645
460,83.964
461,77.817
462,80.486
463,82.446
464,82.678
465,80.238
466,82.04
467,84.338
468,83.263
469,77.477
470,84.497
471,78.473
472,78.627
473,80.86
474,82.2
475,81.678
476,73.464
477,82.433
478,75.419
479,80.239
480,81.984
481,74.432
482,78.39
483,80.861
484,80.634
485,81.441
486,78.806
487,80.939
488,81.944
489,75.686
490,80.834
491,78.037
492,81.473
493,80.678
494,81.363
495,78.789
496,81.355
497,83.226
498,83.288
499,81.206
500,83.218
501,80.648
502,82.03
503,79.032
504,81.468
505,78.851
506,83.049
507,82.297
508,81.129
509,80.099
510,82.674
511,85.773
512,82.195
513,81.804
514,83.384
515,76.652
516,77.655
517,78.876
518,82.107
519,79.622
