,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1_Modelmistralai/Mixtral-8x7B-Instruct-v0.1 Doordash_PM Score
260,72.816
261,81.992
262,84.345
263,81.467
264,83.251
265,82.342
266,74.344
267,82.213
268,80.686
269,84.46
270,79.875
271,82.868
272,81.752
273,84.394
274,80.233
275,83.773
276,82.204
277,80.075
278,80.128
279,76.643
280,79.224
281,71.842
282,77.427
283,84.2
284,81.106
285,82.921
286,79.619
287,81.616
288,78.618
289,78.95
290,81.691
291,77.317
292,80.746
293,81.975
294,83.026
295,78.02
296,82.274
297,84.9
298,79.525
299,84.764
300,80.784
301,82.083
302,79.789
303,81.234
304,84.307
305,80.827
306,80.923
307,81.182
308,81.35
309,80.961
310,80.597
311,84.151
312,81.311
313,78.817
314,72.457
315,76.314
316,77.274
317,81.17
318,80.942
319,82.378
320,81.487
321,82.309
322,79.83
323,80.829
324,81.89
325,81.964
326,77.87
327,80.725
328,84.171
329,80.522
330,81.827
331,79.051
332,84.496
333,78.784
334,76.076
335,82.823
336,77.054
337,81.234
338,82.681
339,80.601
340,77.941
341,79.624
342,83.676
343,79.935
344,82.138
345,80.161
346,79.935
347,78.535
348,78.275
349,82.144
350,83.176
351,82.32
352,81.611
353,84.118
354,78.168
355,82.89
356,79.156
357,77.301
358,81.612
359,84.183
360,82.396
361,81.667
362,81.536
363,82.673
364,81.107
365,79.3
366,82.184
367,83.981
368,82.195
369,82.526
370,73.804
371,78.783
372,82.47
373,78.285
374,80.316
375,80.715
376,83.945
377,81.33
378,72.351
379,79.736
380,81.263
381,82.895
382,79.426
383,84.609
384,72.392
385,78.391
386,75.574
387,80.356
388,80.881
389,81.97
390,80.377
391,77.936
392,78.388
393,83.573
394,82.152
395,73.8
396,83.25
397,78.915
398,73.788
399,77.699
400,83.733
401,80.687
402,83.687
403,78.073
404,83.468
405,77.3
406,79.843
407,80.212
408,83.339
409,85.34
410,80.809
411,75.574
412,85.435
413,81.19
414,75.798
415,80.043
416,78.885
417,79.313
418,81.648
419,82.811
420,83.207
421,78.987
422,83.03
423,77.169
424,80.527
425,82.214
426,73.498
427,79.704
428,81.497
429,82.017
430,79.42
431,78.977
432,83.452
433,80.952
434,80.647
435,84.663
436,81.5
437,84.166
438,83.767
439,80.957
440,81.144
441,78.613
442,83.024
443,72.3
444,81.3
445,83.267
446,80.198
447,84.654
448,79.377
449,79.579
450,81.036
451,81.008
452,79.828
453,80.258
454,85.057
455,75.844
456,83.409
457,72.816
458,81.756
459,77.802
460,78.428
461,82.77
462,83.456
463,81.253
464,82.732
465,75.635
466,78.292
467,79.063
468,83.308
469,83.877
470,77.739
471,82.85
472,81.779
473,77.518
474,80.719
475,81.838
476,81.196
477,77.714
478,78.103
479,70.126
480,80.348
481,83.299
482,75.178
483,78.981
484,80.408
485,81.34
486,81.075
487,77.971
488,81.541
489,76.624
490,77.557
491,81.192
492,77.957
493,81.626
494,81.106
495,81.795
496,77.519
497,81.313
498,84.135
499,79.978
500,78.517
501,81.018
502,80.785
503,81.214
504,80.799
505,80.5
506,79.548
507,84.216
508,81.784
509,80.628
510,80.823
511,80.847
512,85.195
513,81.66
514,79.625
515,84.296
516,75.719
517,78.353
518,80.017
519,81.688
520,78.916
