,Modified_anthropic_claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic_claude-3.5-sonnet Doordash_PM Score
0,78.721
1,82.877
2,80.674
3,79.147
4,69.238
5,77.832
6,77.584
7,80.21
8,78.818
9,78.255
10,78.357
11,80.123
12,79.825
13,79.905
14,82.261
15,77.952
16,81.285
17,79.198
18,77.142
19,79.088
20,78.321
21,79.814
22,80.62
23,80.005
24,77.457
25,79.533
26,78.364
27,78.763
28,78.717
29,77.005
30,79.052
31,79.015
32,79.563
33,79.827
34,81.614
35,78.563
36,79.569
37,79.869
38,78.959
39,78.636
40,81.578
41,78.923
42,79.049
43,78.571
44,81.675
45,79.753
46,79.612
47,80.112
48,80.235
49,80.236
50,79.422
51,80.021
52,78.757
53,77.66
54,81.272
55,69.748
56,81.292
57,79.86
58,80.045
59,79.547
60,78.548
61,78.803
62,79.97
63,80.451
64,81.869
65,78.464
66,76.29
67,81.937
68,79.831
69,78.866
70,81.786
71,77.685
72,77.535
73,78.471
74,78.861
75,80.656
76,79.41
77,78.256
78,79.578
79,78.233
80,79.826
81,79.372
82,80.902
83,80.326
84,81.051
85,76.442
86,76.018
87,78.871
88,81.712
89,79.117
90,80.75
91,77.248
92,82.974
93,77.067
94,77.228
95,79.254
96,79.426
97,76.805
98,82.815
99,80.089
100,77.211
101,78.167
102,78.614
103,78.489
104,79.829
105,81.354
106,80.613
107,78.619
108,80.113
109,78.945
110,76.711
111,82.803
112,83.409
113,80.959
114,82.499
115,78.988
116,80.925
117,79.222
118,80.321
119,78.891
120,80.729
121,81.536
122,81.923
123,77.562
124,76.932
125,78.878
126,78.213
127,76.54
128,84.319
129,81.185
130,81.042
131,82.784
132,80.596
133,80.185
134,78.669
135,80.375
136,79.849
137,78.489
138,78.639
139,80.804
140,77.795
141,78.82
142,77.974
143,80.265
144,79.674
145,78.513
146,79.424
147,79.225
148,79.938
149,80.378
150,79.05
151,83.484
152,79.75
153,78.542
154,78.956
155,78.292
156,77.806
157,79.832
158,79.248
159,78.363
160,78.132
161,80.878
162,79.858
163,78.776
164,81.783
165,75.433
166,80.884
167,79.27
168,76.503
169,79.704
170,78.06
171,79.906
172,79.098
173,79.156
174,77.778
175,79.269
176,78.581
177,80.2
178,81.192
179,77.161
180,78.688
181,78.617
182,80.895
183,79.468
184,81.333
185,79.539
186,80.065
187,79.891
188,77.286
189,80.674
190,80.959
191,79.011
192,79.247
193,78.411
194,80.571
195,80.153
196,80.302
197,79.867
198,80.492
199,79.202
200,79.925
201,79.836
202,79.198
203,78.664
204,81.005
205,79.357
206,81.348
207,78.024
208,79.486
209,67.276
210,79.742
211,78.762
212,78.774
213,78.259
214,79.705
215,78.488
216,77.083
217,81.472
218,82.501
219,79.173
220,81.286
221,78.625
222,78.428
223,78.194
224,78.426
225,79.652
226,79.438
227,78.876
228,79.003
229,78.288
230,78.088
231,78.759
232,79.797
233,79.108
234,80.211
235,75.362
236,77.137
237,78.52
238,81.536
239,79.814
240,79.6
241,77.638
242,83.744
243,77.949
244,76.952
245,78.863
246,79.751
247,76.091
248,82.748
249,80.033
250,82.199
251,78.439
252,73.051
253,80.053
254,77.204
255,81.117
256,78.538
257,78.446
258,80.431
259,79.04
