,Modified_deepseek/deepseek-chat_of_Modified_deepseek-chat_of_CV_Modeldeepseek-chat_Modeldeepseek/deepseek-chat Doordash_PM Score
0,76.998
1,77.039
2,78.251
3,79.848
4,82.015
5,81.329
6,80.271
7,78.476
8,81.044
9,79.525
10,76.049
11,81.853
12,84.329
13,85.538
14,83.967
15,77.136
16,78.24
17,76.857
18,81.403
19,79.46
20,83.537
21,80.611
22,80.965
23,78.374
24,77.866
25,78.221
26,78.631
27,79.198
28,84.939
29,82.666
30,82.227
31,82.586
32,81.777
33,79.814
34,78.818
35,79.678
36,75.937
37,79.058
38,80.016
39,80.572
40,77.619
41,78.077
42,79.849
43,80.131
44,80.886
45,79.446
46,78.379
47,80.503
48,80.985
49,80.882
50,79.732
51,83.085
52,80.975
53,79.136
54,81.884
55,78.608
56,80.377
57,78.665
58,77.886
59,80.192
60,78.03
61,79.686
62,80.397
63,79.788
64,83.125
65,76.61
66,78.684
67,77.079
68,78.798
69,81.02
70,78.244
71,77.979
72,80.78
73,80.435
74,77.698
75,79.236
76,78.856
77,80.972
78,80.844
79,76.176
80,79.553
81,80.773
82,80.319
83,79.683
84,81.375
85,79.901
86,79.788
87,81.267
88,78.361
89,81.063
90,82.311
91,80.341
92,78.492
93,78.833
94,80.691
95,79.798
96,78.775
97,81.419
98,81.956
99,81.255
100,78.562
101,79.339
102,79.11
103,79.719
104,80.528
105,80.879
106,83.373
107,80.391
108,80.398
109,82.123
110,79.657
111,80.537
112,80.792
113,80.638
114,80.147
115,78.789
116,78.642
117,81.924
118,80.868
119,79.742
120,82.54
121,77.579
122,77.322
123,79.228
124,79.441
125,79.858
126,79.061
127,76.261
128,79.853
129,77.617
130,77.617
131,78.221
132,78.619
133,80.52
134,81.378
135,74.568
136,76.82
137,78.762
138,82.874
139,77.394
140,79.164
141,75.675
142,82.848
143,78.563
144,75.598
145,80.005
146,80.795
147,77.248
148,79.905
149,78.629
150,80.612
151,79.939
152,78.756
153,80.43
154,77.572
155,79.403
156,78.553
157,77.87
158,79.646
159,79.568
160,81.173
161,78.112
162,83.282
163,82.116
164,84.895
165,81.865
166,78.784
167,78.523
168,80.188
169,81.64
170,80.925
171,79.34
172,77.886
173,80.233
174,81.051
175,76.967
176,78.217
177,79.109
178,80.336
179,79.742
180,78.781
181,79.148
182,78.078
183,79.303
184,81.727
185,82.066
186,76.954
187,80.815
188,80.106
189,80.194
190,80.713
191,80.341
192,78.497
193,83.16
194,82.122
195,83.123
196,78.976
197,82.356
198,82.52
199,83.243
200,80.227
201,80.457
202,79.563
203,80.501
204,78.147
205,77.408
206,79.214
207,81.709
208,79.726
209,80.617
210,80.003
211,80.827
212,80.181
213,80.242
214,79.98
215,80.421
216,80.171
217,81.362
218,80.543
219,80.697
220,79.332
221,80.08
222,80.713
223,79.49
224,81.31
225,80.519
226,81.078
227,83.064
228,78.824
229,83.268
230,77.363
231,80.611
232,80.209
233,81.291
234,81.51
235,79.694
236,80.469
237,76.253
238,80.538
239,77.804
240,81.574
241,80.041
242,82.491
243,79.949
244,80.548
245,80.102
246,82.433
247,77.395
248,82.398
249,79.51
250,80.571
251,83.197
252,79.988
253,80.575
254,79.092
255,80.364
256,80.121
257,80.728
258,77.901
259,76.381
