,Modified_gpt-3.5-turbo_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-3.5-turbo Doordash_PM Score
0,76.442
1,77.887
2,77.754
3,77.574
4,76.98
5,83.192
6,78.023
7,77.087
8,80.403
9,78.548
10,77.322
11,81.402
12,83.54
13,81.525
14,80.696
15,78.766
16,79.043
17,76.842
18,78.605
19,79.528
20,81.324
21,81.523
22,81.718
23,77.417
24,75.679
25,78.617
26,76.143
27,76.676
28,83.409
29,79.576
30,81.598
31,80.581
32,80.122
33,79.078
34,78.714
35,79.616
36,76.513
37,77.941
38,78.822
39,80.657
40,77.824
41,78.26
42,79.677
43,77.48
44,77.517
45,79.035
46,79.227
47,80.356
48,81.7
49,79.621
50,77.295
51,81.576
52,80.802
53,80.24
54,80.56
55,77.438
56,77.689
57,79.301
58,77.764
59,75.906
60,78.073
61,78.394
62,81.091
63,75.641
64,80.238
65,77.216
66,79.2
67,80.014
68,77.498
69,78.255
70,75.47
71,80.538
72,77.516
73,80.139
74,76.605
75,75.151
76,79.207
77,78.673
78,77.288
79,76.498
80,78.908
81,78.087
82,79.811
83,76.877
84,77.871
85,76.455
86,77.98
87,81.506
88,75.267
89,78.791
90,83.433
91,77.911
92,79.769
93,78.513
94,78.858
95,79.284
96,79.088
97,81.434
98,81.433
99,79.967
100,81.414
101,80.768
102,79.127
103,76.944
104,80.138
105,79.485
106,82.4
107,79.972
108,78.27
109,79.414
110,82.509
111,78.495
112,78.005
113,78.927
114,81.279
115,78.009
116,78.818
117,81.209
118,80.754
119,80.118
120,80.208
121,74.956
122,76.819
123,78.816
124,76.796
125,79.205
126,78.74
127,76.99
128,77.757
129,76.26
130,75.117
131,76.06
132,79.151
133,78.054
134,79.682
135,72.391
136,73.841
137,76.97
138,80.75
139,80.697
140,75.766
141,74.797
142,82.048
143,78.544
144,77.082
145,77.507
146,78.432
147,73.639
148,81.292
149,76.965
150,76.907
151,74.694
152,76.212
153,77.658
154,75.892
155,78.784
156,78.813
157,75.667
158,79.771
159,77.572
160,77.752
161,76.792
162,81.585
163,81.578
164,82.125
165,78.815
166,77.939
167,76.395
168,80.593
169,79.354
170,77.915
171,76.441
172,78.707
173,78.168
174,78.067
175,77.846
176,76.526
177,77.006
178,79.616
179,80.666
180,77.683
181,80.317
182,75.943
183,78.036
184,80.602
185,82.185
186,77.438
187,77.913
188,78.712
189,78.168
190,79.179
191,79.342
192,76.271
193,81.054
194,79.876
195,78.429
196,75.619
197,79.363
198,81.456
199,79.436
200,76.745
201,79.909
202,79.374
203,78.059
204,77.678
205,79.026
206,79.069
207,77.766
208,78.789
209,81.068
210,80.101
211,82.58
212,80.609
213,79.211
214,77.268
215,80.124
216,80.071
217,79.883
218,79.063
219,79.85
220,78.572
221,77.193
222,81.921
223,77.697
224,80.797
225,78.331
226,77.759
227,75.823
228,77.518
229,83.493
230,76.301
231,79.848
232,77.64
233,77.316
234,81.556
235,78.789
236,78.463
237,78.054
238,76.353
239,75.034
240,78.754
241,77.973
242,82.355
243,80.913
244,79.367
245,79.326
246,77.442
247,76.553
248,81.498
249,77.425
250,80.133
251,78.767
252,77.252
253,80.052
254,80.872
255,79.956
256,80.579
257,79.746
258,76.113
259,76.87
