,Modified_meta-llama_llama-3.3-70b-instruct_of_Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo_Modelmeta-llama_llama-3.3-70b-instruct Doordash_PM Score
0,75.411
1,76.389
2,77.06
3,77.302
4,79.567
5,81.658
6,80.82
7,77.631
8,81.735
9,77.696
10,73.908
11,80.758
12,81.845
13,81.363
14,82.365
15,79.142
16,80.03
17,76.503
18,79.638
19,78.794
20,82.943
21,79.536
22,79.71
23,77.016
24,76.486
25,79.5
26,77.506
27,78.43
28,82.306
29,80.1
30,80.997
31,82.55
32,79.858
33,79.18
34,78.605
35,79.083
36,74.941
37,77.782
38,79.322
39,78.891
40,78.045
41,76.816
42,78.932
43,78.385
44,79.657
45,77.789
46,79.925
47,78.676
48,79.279
49,79.464
50,78.708
51,82.375
52,81.614
53,78.383
54,80.603
55,77.439
56,78.805
57,78.381
58,76.555
59,76.69
60,76.772
61,78.145
62,79.443
63,78.008
64,80.127
65,76.613
66,79.841
67,80.056
68,76.552
69,78.031
70,76.59
71,80.525
72,80.486
73,79.084
74,76.255
75,76.868
76,77.69
77,80.292
78,79.204
79,76.824
80,77.488
81,79.34
82,81.933
83,77.765
84,77.565
85,79.002
86,78.144
87,80.267
88,79.009
89,78.914
90,83.307
91,76.91
92,77.146
93,78.059
94,81.197
95,77.699
96,77.987
97,78.515
98,81.016
99,78.923
100,78.749
101,78.638
102,76.687
103,77.499
104,78.222
105,80.072
106,80.642
107,78.781
108,78.443
109,78.422
110,82.805
111,77.074
112,79.425
113,80.418
114,80.582
115,78.594
116,77.949
117,78.979
118,78.366
119,77.695
120,79.317
121,74.997
122,75.234
123,76.89
124,79.629
125,79.422
126,79.321
127,76.448
128,76.848
129,76.726
130,78.393
131,77.072
132,76.958
133,78.676
134,81.397
135,75.987
136,75.474
137,77.476
138,81.662
139,78.34
140,77.448
141,76.276
142,81.586
143,77.292
144,76.446
145,78.511
146,78.948
147,75.046
148,80.385
149,78.93
150,78.355
151,77.206
152,76.189
153,78.93
154,75.775
155,78.823
156,79.355
157,78.414
158,79.17
159,77.503
160,76.815
161,79.069
162,81.557
163,79.541
164,84.139
165,80.643
166,77.147
167,76.321
168,78.457
169,81.391
170,81.393
171,76.312
172,78.462
173,79.421
174,77.663
175,76.203
176,74.183
177,78.856
178,77.853
179,79.407
180,76.303
181,78.854
182,77.73
183,79.629
184,80.644
185,83.015
186,77.486
187,78.202
188,77.604
189,78.109
190,79.401
191,79.003
192,76.863
193,79.457
194,80.757
195,82.084
196,81.541
197,82.383
198,82.8
199,84.221
200,76.883
201,80.595
202,77.758
203,78.964
204,78.778
205,74.954
206,76.379
207,78.745
208,78.724
209,77.474
210,79.326
211,81.081
212,79.184
213,78.985
214,76.219
215,79.766
216,80.313
217,78.005
218,78.414
219,77.784
220,78.458
221,77.244
222,81.697
223,77.009
224,77.668
225,77.357
226,77.139
227,83.772
228,78.632
229,84.607
230,71.558
231,78.385
232,77.544
233,76.198
234,79.922
235,78.349
236,77.183
237,77.801
238,80.854
239,78.155
240,79.846
241,79.94
242,82.885
243,79.126
244,81.567
245,79.296
246,79.977
247,76.718
248,80.148
249,77.356
250,81.325
251,83.034
252,78.619
253,80.021
254,80.539
255,81.273
256,78.77
257,82.328
258,78.751
259,75.613
