,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelmistralai/Mixtral-8x7B-Instruct-v0.1 Doordash_PM Score
0,78.866
1,78.029
2,78.97
3,66.139
4,75.761
5,80.271
6,75.918
7,78.236
8,81.251
9,78.377
10,76.056
11,82.117
12,85.361
13,82.133
14,80.685
15,79.282
16,79.835
17,74.184
18,73.476
19,79.478
20,81.77
21,80.097
22,81.103
23,77.819
24,76.384
25,78.015
26,75.999
27,75.596
28,82.696
29,81.167
30,79.176
31,80.267
32,83.808
33,77.84
34,79.82
35,74.078
36,77.245
37,78.927
38,77.694
39,82.057
40,76.518
41,79.336
42,81.514
43,79.761
44,77.113
45,76.3
46,79.17
47,81.293
48,82.268
49,79.402
50,77.655
51,81.571
52,80.547
53,80.215
54,80.744
55,76.824
56,78.018
57,79.096
58,78.25
59,76.817
60,75.952
61,78.673
62,79.499
63,76.689
64,82.456
65,78.133
66,80.262
67,80.776
68,69.369
69,78.626
70,75.657
71,79.416
72,77.215
73,79.163
74,76.611
75,75.97
76,80.276
77,79.589
78,77.081
79,75.917
80,79.095
81,79.552
82,79.294
83,76.97
84,78.895
85,76.13
86,80.272
87,80.528
88,79.921
89,77.377
90,82.456
91,78.008
92,80.19
93,79.385
94,80.352
95,80.7
96,77.633
97,81.946
98,80.519
99,78.233
100,80.855
101,80.219
102,77.863
103,76.617
104,80.023
105,79.393
106,81.546
107,80.69
108,77.619
109,77.503
110,80.512
111,79.532
112,79.694
113,79.269
114,80.616
115,78.12
116,79.653
117,82.0
118,81.13
119,79.712
120,80.239
121,75.022
122,75.415
123,78.58
124,76.954
125,80.498
126,75.398
127,77.568
128,76.686
129,75.878
130,76.009
131,73.002
132,77.668
133,77.956
134,80.498
135,73.923
136,73.888
137,78.401
138,82.237
139,79.936
140,75.052
141,74.461
142,80.777
143,78.099
144,76.665
145,76.917
146,80.288
147,73.525
148,81.957
149,75.248
150,79.77
151,74.611
152,77.882
153,81.235
154,79.464
155,78.564
156,77.834
157,76.19
158,80.225
159,77.091
160,77.938
161,76.956
162,80.313
163,80.748
164,81.805
165,80.935
166,76.93
167,78.795
168,78.307
169,80.129
170,79.904
171,77.583
172,77.734
173,79.272
174,78.493
175,73.924
176,77.812
177,77.287
178,78.825
179,80.365
180,74.263
181,79.526
182,77.35
183,78.057
184,80.697
185,81.951
186,77.095
187,77.757
188,78.369
189,77.403
190,78.527
191,78.925
192,77.474
193,81.961
194,80.953
195,82.09
196,76.929
197,79.707
198,82.402
199,80.452
200,76.64
201,76.803
202,78.238
203,77.119
204,78.226
205,79.338
206,79.382
207,77.682
208,79.254
209,79.591
210,80.114
211,79.73
212,80.51
213,80.196
214,78.115
215,80.003
216,80.588
217,81.055
218,79.766
219,80.854
220,78.715
221,78.62
222,82.047
223,77.861
224,78.141
225,78.259
226,78.369
227,77.982
228,76.409
229,85.302
230,78.46
231,79.975
232,78.219
233,80.569
234,79.259
235,77.581
236,75.574
237,77.423
238,80.975
239,75.914
240,82.145
241,79.445
242,81.211
243,75.589
244,78.1
245,79.143
246,78.732
247,78.848
248,79.052
249,80.087
250,79.9
251,81.505
252,75.842
253,81.85
254,81.367
255,80.701
256,80.239
257,81.483
258,78.557
259,76.685
