,Modified_anthropic/claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic/claude-3.5-sonnet
260,"EXPERIENCE

2013-2019 - Founder & Managing Director
Medical Equipment Sales Company (ФОП Петрова С.С /МЕДТЕХНІКА)

• Founded and scaled successful medical equipment retail business from ground up
• Led end-to-end supply chain operations including strategic supplier relationship management
• Developed and executed comprehensive business strategy across sales, operations, and finance
• Built and managed high-performing teams while optimizing organizational efficiency
• Established robust financial management systems including accounts payable/receivable
• Drove procurement optimization resulting in improved inventory turnover and reduced costs

2019-2021 - Chief Operating Officer
Artichoke Art & Fashion School

• Spearheaded operational strategy and execution for premier art education institution
• Led cross-functional team of 6 while implementing performance management systems
• Designed and deployed streamlined workflow processes to enhance operational efficiency
• Directed multi-channel marketing campaigns and curriculum development initiatives
• Established data-driven enrollment management and academic records systems
• Conceived and executed successful revenue-generating special events and masterclasses

KEY ACHIEVEMENTS

• Demonstrated excellence in managing complex, concurrent projects while consistently meeting strategic objectives
• Developed and implemented comprehensive operational frameworks driving organizational success
• Created efficient delegation and time management systems resulting in improved productivity
• Secured advantageous vendor partnerships through skilled contract negotiation
• Built and scaled successful teams while fostering a culture of excellence"
261,"PROFESSIONAL EXPERIENCE

Senior Team Leader                                                                                                     2022-Present
• Led and mentored a high-performing team, achieving rapid promotion within 3 weeks
• Cultivated an inspiring work environment fostering open communication and innovation
• Developed and executed strategic initiatives while managing day-to-day operations
• Implemented performance monitoring systems and delivered comprehensive stakeholder reports
• Orchestrated resource allocation and project timelines to optimize team efficiency
• Spearheaded talent development initiatives through targeted coaching and training programs
• Successfully resolved operational challenges while maintaining team productivity
• Designed and facilitated team building activities to enhance collaboration

EDUCATION & CERTIFICATIONS

Google Project Management Professional Certificate (In Progress)
• Project Planning: Putting It All Together (Current)
• Project Initiation: Starting a Successful Project - 87.76%
• Foundations of Project Management - 89.03%

TECHNICAL EXPERTISE

Project Management
• Agile, Scrum, Waterfall, Kanban, Lean, and Six Sigma methodologies
• Scope management and stakeholder analysis (Power Grid, RACI)
• Strategic planning and resource optimization
• Cost-benefit analysis and risk assessment
• SMART goals and OKRs implementation
• Triple Constraint framework execution
• Resource allocation and budget management

CORE COMPETENCIES

• Strategic Planning & Execution
• Team Leadership & Development
• Performance Management
• Problem Resolution
• Adaptive Leadership
• Time Management
• Process Optimization

LANGUAGES

• Ukrainian (Native)
• Russian (Native)
• English (Advanced)"
262,"Account Manager

Senior Account Management Professional with 15+ years of expertise in strategic campaign execution and client relationship development. Distinguished track record of orchestrating creative, production, and digital marketing initiatives while fostering enduring client partnerships. Adept at cross-functional team leadership, delivering complex projects on schedule, and optimizing operational efficiency.

Core Competencies:
• Strategic Campaign Management
• Client Relationship Development
• Cross-functional Team Leadership
• Project Lifecycle Oversight
• Marketing Initiative Implementation
• Operational Excellence
• Timeline & Resource Management
• Stakeholder Communication

Education & Professional Development

Project Management Certification
""DAO PM"" IAMPM Laboratory of Non-Technical IT Education

Project Management Expertise:
• Project Documentation & Contract Management
• Client Relationship & Stakeholder Communication
• Risk Assessment & Resource Optimization
• Work Breakdown Structure Development
• Professional Business Communication
• Solution Presentation & Demonstration
• Team Coordination & Task Delegation
• Timeline & Priority Management
• Client Expectation Management"
263,"PROFESSIONAL SUMMARY
Strategic Account and Project Management Executive with proven expertise in implementing complex business solutions and driving operational excellence. Skilled in cross-functional leadership, business analysis, and relationship management across international markets. Demonstrates exceptional analytical capabilities and strategic planning while maintaining rigorous attention to detail in multi-stakeholder environments.

CORE COMPETENCIES
• Strategic Planning & Business Development
• Commercial Operations & Production Planning
• B2B Sales & Contract Negotiations
• Cross-functional Team Leadership
• Financial Analysis & Cost Optimization
• Account Management & Customer Relations
• Digital Marketing & Campaign Management
• Project Management & Process Implementation

TECHNICAL SKILLS
• Project Management: MS Office, MS Project, Jira
• Digital Marketing: Google AdWords, Facebook Ads
• Business Analysis: SWOT Analysis, Profitability Monitoring

INDUSTRY EXPERTISE
• International Product Companies: Rosneft Russia, Gazprom Russia, Arkema France, Huntsman Corporation USA, GSFC India, Repsol Spain
• Global Business Operations: Cross-timezone availability (EST and Ukrainian time)
• Client Service Excellence: 24/7 accessibility

EDUCATION
Master's Degree in Economics
PhD Coursework in Economics
Bachelor's Degree in International Law
Master's Degree Coursework in International Law
Software Product Management (Current), University of Alberta, Canada

PROFESSIONAL QUALIFICATIONS
• Advanced English Language Proficiency
• Business Process Analysis & Optimization
• IT Business Process Development
• Strategic Communication & Rapid Learning Capabilities"
264,"PROFESSIONAL EXPERIENCE

Founder & Project Manager | Clothing Brand | 2012-2014
• Spearheaded development and launch of fashion startup, scaling to $25,000 annual revenue through strategic planning and market analysis
• Orchestrated two successful crowdfunding campaigns, raising $555,000 total through strategic marketing and community engagement
• Led end-to-end business operations including product development, supplier relations, and customer service
• Implemented agile project management methodologies to optimize workflow and meet critical deadlines

CORE COMPETENCIES

Project Management
• Expertise in multiple PM methodologies: Agile, Scrum, Waterfall, KanBan
• Project lifecycle management from initiation through execution and delivery
• Resource allocation, scheduling, and scope management
• Proficient in PM tools: Asana, Trello, Jira

Technical & Creative Skills
• Digital content creation: Adobe After Effects, Photoshop
• 3D modeling and design: 3D Coat, ZBrush
• Audio production: Ableton
• Brand development and art direction
• Artificial Intelligence implementation

Leadership & Communication
• Cross-functional team leadership and artist direction
• Strategic B2B/B2C relationship management
• Problem-solving and decision-making
• Stakeholder communication and engagement

Areas of Expertise
• Game Development
• Production Management
• Information Technology
• Fashion Industry

Professional Objectives
Seeking a challenging role to leverage project management expertise and creative leadership skills in delivering high-impact results. Committed to implementing efficient project management frameworks and fostering team success through clear communication and established processes. Dedicated to continuous learning and professional growth while supporting creative teams in achieving organizational objectives."
265,"EDUCATION & CERTIFICATIONS

SheCodes Basics Online Coding Course (2022)
Credential ID: 2cae7c4c6951922e89181950f7750d6e

IAMP ""DAO PM"" Certification (2021)

Pre Project Management Program, MindsetPM (2019)
Credential ID: PM-ONLINE-20190429-02

Management Certification, MindsetPM (2019)
Credential ID: 20190410-1629

PROFESSIONAL EXPERIENCE

IT Project Manager | Outsource Company
February 2022 - Present
• Lead cross-functional teams in delivering complex IT projects within outsourcing environment
• Implement and optimize Agile methodologies to enhance team productivity and project outcomes
• Drive end-to-end web and mobile development projects from conception to deployment
• Streamline project workflows using Jira, Slack, and Trello for efficient team collaboration

Project Manager | Publishing and Film Industry
• Successfully delivered multiple high-impact projects across publishing and film sectors
• Established and maintained project timelines, ensuring on-time deliverables
• Coordinated cross-functional teams to achieve project objectives

Production Coordinator/Fixer | International Media Productions
• Managed logistics and coordination for US Olympics Committee operations in Kyiv
• Led local production support for BBC ""Top Gear"" show
• Facilitated operations and provided essential support for Aljazeera and other international media outlets

IT Recruiter
• Ranked among top 10 most effective IT recruiters in Ukraine (DOUwa/jinni.co, 2015)
• Demonstrated excellence in talent acquisition and placement

Team Member | Radioaktivefilm
• Contributed to award-winning ""Best Service production in the world"" project

SKILLS & COMPETENCIES

Technical Skills
• Agile Project Management
• Web/Mobile Development Lifecycle
• Project Planning & Execution
• Jira, Slack, Trello

Professional Skills
• Team Leadership
• Problem-Solving
• Crisis Management
• Strategic Decision Making
• Stakeholder Communication

Language Skills
• Fluent English (Written and Spoken)

PROFESSIONAL ATTRIBUTES

Results-driven project manager with proven ability to adapt quickly, manage stress effectively, and lead teams through complex projects. Demonstrates strong decision-making capabilities and maintains a positive, collaborative approach to challenges."
266,"PROFESSIONAL SUMMARY

Results-driven project manager with proven track record in digital marketing leadership. Achieved 150% increase in average client revenue through strategic team management and client relationship development. Demonstrated expertise in maintaining sustainable client partnerships, with average engagement duration exceeding 6 months.

KEY ACHIEVEMENT

Digital Advertising Campaign Leadership
• Spearheaded comprehensive e-commerce digital advertising initiative
• Orchestrated cross-channel marketing strategy across social media, search, and display platforms
• Aligned marketing and sales objectives to establish measurable campaign targets
• Conducted strategic market analysis to optimize audience targeting
• Delivered detailed performance analytics tracking conversion rates and ROI metrics

PROFESSIONAL EXPERIENCE

Project Manager - Digital Marketing
• Led cross-functional teams in executing complex digital marketing initiatives
• Developed and implemented client communication frameworks
• Enhanced client retention through proactive relationship management
• Directed end-to-end project lifecycle management
• Streamlined project execution through systematic planning and monitoring
• Delivered comprehensive performance reports to key stakeholders

SKILLS DEVELOPMENT FOCUS
• Workload optimization and resource allocation
• Advanced stakeholder communication strategies"
267,"PROFESSIONAL SUMMARY
Dynamic Project Manager with proven track record in news media and transition expertise towards IT. Demonstrated success in leading cross-functional teams of 20+ members while managing multiple concurrent projects. Known for delivering high-quality results under strict deadlines through effective stakeholder communication and robust risk management strategies.

EDUCATION & CERTIFICATIONS
• Project Management in IT Course - Beetroot Academy
• Google Project Management Professional Certificate

CORE COMPETENCIES
• Project & Team Leadership
• Cross-functional Team Management
• Strategic Planning & Execution
• Risk Assessment & Mitigation
• Stakeholder Management
• Process Optimization
• Agile Methodologies
• Change Management

PROFESSIONAL EXPERIENCE

TV Project Manager

• Successfully led and coordinated 20+ member cross-functional teams across departments
• Managed 4 simultaneous projects while maintaining quality standards and meeting deadlines
• Developed and implemented news products through complete lifecycle management
• Established efficient task prioritization and resource allocation systems
• Orchestrated daily operations including standups, planning sessions, and retrospectives
• Created and maintained comprehensive project documentation using ANCS, Google Suite, and Excel
• Delivered regular stakeholder updates and performance reports
• Implemented effective risk management strategies during project execution
• Coordinated live broadcast operations with technical and studio teams
• Provided mentorship and development guidance to TV presenters"
268,"EXPERIENCE:

EVNE Developers 
Junior Sales Manager
January 2023 - Present

• Drive end-to-end project management utilizing Agile, Kanban, and Scrum methodologies to ensure timely delivery
• Spearhead client acquisition initiatives through strategic LinkedIn outreach, resulting in expanded business opportunities
• Execute comprehensive market analysis to identify and capitalize on emerging business opportunities
• Navigate complex negotiations with stakeholders across organizational levels to secure partnerships
• Oversee full project lifecycle from requirements gathering to contract finalization while maintaining budget alignment
• Leverage JIRA and Confluence platforms to optimize project tracking and team collaboration

Business Development Representative
June 2022 - January 2023

• Orchestrate targeted outreach campaigns via LinkedIn and email to cultivate qualified leads
• Conduct thorough analysis of IT job descriptions to identify potential business opportunities
• Maintain detailed client interaction records and performance metrics in Salesforce CRM
• Facilitate seamless handoffs between prospects and Account Executives through strategic meeting coordination
• Develop comprehensive client profiles to enhance business engagement effectiveness
• Drive continuous pipeline growth through systematic prospect follow-up and engagement

Lead Generation Manager
February 2022 - June 2022

• Implemented multi-channel lead generation strategies across inbound and outbound channels
• Leveraged automation tools including Snov.io and Expaidi to streamline outreach processes
• Managed prospect database and campaign tracking through HubSpot CRM
• Conducted strategic market research to identify and evaluate new business opportunities
• Collaborated with Business Development Manager to achieve lead generation targets
• Developed and maintained detailed prospect profiles for target markets
• Executed targeted social media campaigns to enhance brand visibility and lead generation"
269,"**PROFESSIONAL EXPERIENCE**

**Senior CRM Implementation & Project Management**
• Spearheaded end-to-end CRM implementation, revolutionizing company operations and client management
• Orchestrated comprehensive CRM training programs across 13 partner organizations
• Led high-performing cross-functional team of designers, developers, and QA specialists, delivering 7 successful projects
• Achieved 100% project delivery rate for diverse web portfolio including e-commerce, corporate websites, and marketing landing pages
• Generated business growth through successful conversion of leads into completed projects
• Architected and implemented streamlined project workflow system, elevating operational efficiency

**TECHNICAL EXPERTISE**
• Full-Stack Development: HTML, CSS, PHP, SQL, responsive design principles
• CRM Platform: Advanced Bitrix24 implementation and customization
• Business Software: Expert-level Microsoft Office Suite proficiency
• Project Management: Agile methodologies, risk management, deadline-driven execution
• Technical Leadership: Developer workflow optimization, bottleneck resolution

**CORE COMPETENCIES**
• Customer Relations Management: 7+ years driving client satisfaction
• Team Leadership: 3+ years managing cross-functional teams
• Web Development: Full-stack development experience with HTML, CSS, PHP
• CRM Systems: Bitrix24 platform implementation and administration
• Business Technology: 7 years advanced Microsoft Office Suite expertise

**KEY STRENGTHS**
• Exceptional interpersonal communication and relationship management
• Strategic collaboration in web and application development
• Innovative problem-solving and solution design
• Relationship-focused business development approach"
270,"PROFESSIONAL EXPERIENCE

Project Manager & Scrum Master
• Successfully delivered 2 commercial projects as Project Manager and 1 project as Scrum Master
• Managed $1M+ worth of technology projects across telecommunications and healthcare sectors
• Led cross-functional teams of up to 10 members across multiple time zones

Project Management Excellence:
• Orchestrated end-to-end project lifecycle management ensuring on-time, within-budget delivery
• Developed comprehensive project plans and executed strategic risk mitigation strategies
• Established robust stakeholder communication channels and maintained strong relationships
• Optimized resource allocation and budget management for maximum project efficiency
• Implemented effective scope and requirements management processes

Scrum Leadership:
• Facilitated agile ceremonies and sprint activities for high-performing development teams
• Championed Scrum practices and methodologies, driving team productivity and collaboration
• Managed and optimized Jira workflows to enhance team efficiency
• Eliminated team impediments through proactive coaching and mentorship

Technical Expertise & Tools
• Project Management: MS Project, SharePoint, Gantt Charts
• Agile Tools: Jira, Confluence, Planning Poker, Kanban
• Development Practices: Test case creation, CI/CD pipelines
• Soft Skills: Stakeholder management, team leadership, technical interviewing

PROJECT PORTFOLIO

Electron Application Development | Telecommunications
Client: Swedish Telecommunications Provider
• Led development of customer-facing demonstration application
• Tech Stack: JavaScript, Vue.js, NPM/Yarn, GitLab, Cypress

Microservices Integration Development | Telecommunications
Client: Swedish Technology Company
• Managed complex microservices integration project
• Tech Stack: .NET 3.5/6, RabbitMQ, Entity Framework Core, PostgreSQL, Oracle, GitLab CI/CD

Mobile Application & Website Development | Healthcare
Client: US Healthcare Provider
• Delivered cross-platform mobile application and WordPress website
• Tech Stack: Flutter, Python, Flask, Bitbucket, Docker, Codemagic CI/CD, Azure, MailChimp, SendGrid, Twilio"
