,Modified_meta-llama/llama-3.3-70b-instruct_of_Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct_Modelmeta-llama/llama-3.3-70b-instruct
0,"Experience:

2013-2019 - Entrepreneur, ФОП Петрова С.С /МЕДТЕХНІКА
- Managed daily retail operations for sales of medical equipment and related goods
- Selected and hired employees
- Negotiated contracts with suppliers
- Coordinated transportation and logistics, including receipt, relocation, revaluation, and returns to suppliers
- Handled accounting for payments to suppliers, contractors, buyers, and customers

2019-2021 - COO, Artichoke Art & Fashion School
- Sold short-term educational courses in art direction
- Selected and hired employees
- Organized and managed teamwork for a team of 6 people
- Created and distributed tasks within the team
- Managed projects, including:
  - Developing monthly work plans for various disciplines
  - Coordinating 'weekend' projects, including master classes and public talks
  - Maintaining student accounting and databases

Summary of Achievements:
• Planned, directed, and managed projects
• Ensured objectives were accomplished according to outlined priorities
• Coordinated the simultaneous development of multiple projects
• Delegated responsibilities and designed time schedules
• Negotiated contracts to ensure quality"
1,"[Your Name]
Team Leader

Summary:
Results-driven Team Leader with 8 months of experience in managing teams and projects, possessing a strong foundation in project management principles and practices. Proven ability to motivate team members, set clear goals, and oversee day-to-day operations.

Experience:
Team Leader, [Company Name], [Employment Dates]
- Organized team work, creating an inspiring environment with open communication
- Set clear team goals, delegated tasks, and set deadlines
- Monitored team performance, reported progress to stakeholders, and represented team needs
- Managed project progress, allocated resources, and coached team members to improve skill sets
- Motivated team members, recognized high performance, and rewarded accomplishments
- Organized team building activities

Education:
Coursera - Google Project Management
- ""Project Initiation: Starting a Successful Project"", Nov 2022 - Dec, Grade: 87.76%
- ""Foundations of Project Management"", Jun 2022 - Nov 2022, Grade: 89.03%
- ""Project Planning: Putting It All Together"", [Current Course]

Skills:
Project Management: Waterfall, Agile, Scrum, Kanban, Lean, Six Sigma
Language: English (Advanced), Ukrainian (First Language), Russian (First Language)
Project Planning: defining project scope, setting measurable goals, evaluating project success criteria
Stakeholder Evaluation: power grid, RACI chart
Tools: Cost Benefit Analysis, SMART, OKRs, Triple Constraint
Personal Skills: flexibility, time-management, strategic planning, multitasking, prioritization, fast learning, proactivity, escalation

Certifications/Courses:
Google Project Management Certification (in progress)"
2,"Results-Driven Account Manager

Summary:
Results-driven Account Manager with over 15 years of experience delivering successful creative, production, and digital marketing campaigns and projects. Proven ability to build strong relationships, lead staff, and oversee cross-company projects to achieve timely results.

Professional Experience:
Account Manager
- Developed and executed successful marketing campaigns and projects, driving results through effective planning and execution
- Fostered strong and productive relationships with company members, ensuring seamless collaboration and open communication
- Monitored and oversaw operations progress, ensuring successful cross-company project delivery
- Led and managed staff members, evaluating project progress and driving timely results through effective leadership and guidance

Education and Training:
DAO PM, IAMPM Laboratory of Non-Technical IT Education
- Acquired practical skills in:
  - Project documentation and management
  - Contract management
  - Customer and team communication
  - Risk, resource, and time management
  - Business correspondence and project documentation
  - Customer expectation management
  - Creating Work Breakdown Structures (WBS) and task delegation
  - Prioritization and solution presentation"
3,"Experienced Account, Sales, and Project Manager

Results-driven professional with expertise in implementation, project management, and operational assessments. Proven ability to conduct functional requirements analysis for businesses of all sizes. Skilled negotiator and networker with a positive mentality and strong critical thinking skills. Highly organized and methodical, with a strong track record of overseeing daily milestones across high-performance teams.

Key Skills:
- Commercial, production, sales, planning, and deployment (non-IT sphere)
- B2B sales, including commercial offers, negotiations, contracts/agreements, and bills
- HR, focusing on hiring employees for departments
- Account management, maintaining ongoing relationships with customers
- Operations, including management, accounting, SWAP analysis, cost reduction, and monitoring compliance with profitability indicators
- Proficient in MS Office, MS Project, and Jira, with some experience in SMM (Google AdWords, Facebook Ads)

International Experience:
Worked with prominent international product companies, including Rosneft Russia, Gazprom Russia, Arkema France, Huntsman Corporation USA, GSFC India, and Repsol Spain.

Education and Development:
- Master's degree in Economics
- PhD courses in Economics
- Bachelor's degree in International Law
- Master's degree courses in International Law
- Currently attending online Software Product Management courses at the University of Altera (Canada)

Language and Availability:
- Advanced English Level
- Available to work on Eastern Standard Time and Ukrainian time
- Full understanding of business processes, customer desires, and employee capabilities
- Available online for clients 24/7

Personal Attributes:
- Quick learner
- Communicative
- Actively developing skills in IT business processes."
4,"Results-driven Project Manager with hands-on experience in launching and managing successful projects, achieving significant revenue growth, including $25,000 in annual income within the first two years of launching a clothing brand in 2012.

Key achievements include leading Kickstarter campaigns, securing community funding of $124,000 and $431,000. Proficient in project management methodologies, including Agile, Scrum, Waterfall, and skilled in utilizing tools such as Asana, Trello, Jira, and Gant.

A skilled professional with expertise in Art Direction, Brand Management, and Teamwork, proficient in AI, AE, PS, 3D Coat, ZBrush, and Ableton. Experienced in leading and directing teams of artists and managers, with strong B2B and B2C communication skills.

Adept at problem-solving, with a strong desire to create, manage, implement, and achieve results in a team-oriented environment, preferring a company with clearly defined zones of responsibility and a well-structured workflow.

Offering assistance to artists and designers, leveraging experience to drive success, with a focus on continuing to learn and improve skills in related occupations, including GameDev, Production, IT, and Fashion segments."
5,"Finished Courses:
OCT 2022 - Online Course of coding, ""SheCodes Basics"", Credential ID 2cae7c4c6951922e89181950f7750d6e
MAR 2021 - IAMP Online Course, ""DAO PM""
APR 2019 - Online Course, ""Pre Project Management Program"", MindsetPM, Credential ID PM-ONLINE-20190429-02
APR 2019 - Online Course, ""To Be a Manager"", MindsetPM, Credential ID 20190410-1629

Experience:
IT Project Manager, Outsource company, February 2022 - Present
Project Manager, publishing and film industry
Team Member, ""Best Service production in the world"", Radioaktivefilm
Fixer for US Olympics Committee in Kyiv, BBC ""Top Gear"" show, Aljazeera

Achievements:
Listed as one of the ten most effective IT recruiters in Ukraine, according to DOUwa and Jinni.co, 2015

Skills:
Agile practices
Web/mobile development lifecycle
Project planning
Slack, Trello, Jira
Team motivation and problem-solving
Critical and stressful situation management
Excellent communication skills
Fluent in written and spoken English

Personal Qualities:
Easygoing, decisive, quick learner, highly responsible, execution-focused, friendly, and humorous

Career Goals:
To practice and improve knowledge as a Project Manager
To work on interesting projects
To develop new skills
To be part of a team that feels like a second family"
6,"Experienced Project Manager

Summary:
Results-driven project manager with 1.5+ years of experience in managing digital marketing projects, proven track record of increasing ROI through targeted advertising campaigns and effective team management.

Key Accomplishments:
- Increased ROI through highly targeted digital advertising campaigns
- Improved company's average check by 1.5 times through effective team management and client communication
- Established long-term client relationships with an average cooperation cycle of 6+ months

Professional Experience:
Project Manager
- Managed projects related to digital marketing, collaborating with cross-functional teams to achieve campaign objectives
- Conducted market research to identify target demographics and optimized campaigns for social media, search engines, and display networks
- Provided regular performance reports to stakeholders, highlighting key metrics such as click-through rates, conversion rates, and ROI
- Successfully managed overtime work and improved communication with team members, clients, and stakeholders to mitigate issues

Project Highlights:
- Planned and executed targeted digital advertising campaigns to drive sales and maximize ROI
- Defined campaign objectives, including specific sales targets and ROI goals, in collaboration with marketing and sales teams
- Analyzed campaign performance and refined target demographics to optimize results"
7,"Experienced IT Project Manager
Seeking IT opportunities, leveraging TV project management experience in product development and team leadership. Proven ability to work under pressure, valuing accuracy and open communication. Fluent in English.

Recent Achievements:
- Completed Beetroot Academy PM in IT course
- Obtained Google Project Management Professional Certificate

Core Competencies:
• Team Management: Led teams of 20+ members, prioritizing tasks, estimating, and delegating responsibilities
• Project Leadership: Managed 4 concurrent projects, ensuring timely execution and delivery
• Product Lifecycle Management: Oversaw the entire news product lifecycle, from concept to realization
• Meeting and Documentation Management: Coordinated planning meetings, daily meetings, and retrospectives, maintaining project documentation using Avid Newsroom Computer System, Google spreadsheets, and Excel
• Stakeholder Reporting: Provided regular progress reports to main stakeholders
• Risk and Change Management: Managed changes and risks during project execution
• Live Broadcast Operations: Controlled live broadcast processes, collaborating with technical support teams
• Mentorship: Mentored TV presenters during live broadcasts and planned advance transmissions"
8,"EXPERIENCE:

EVNE Developers 
Junior Sales Manager
January 2023 - Present

* Assist project manager with projects, utilizing Agile, Kanban, and Scrum methodologies
* Manage projects from inception to completion using JIRA and Confluence
* Calculate project budgets, considering time limits and client requirements

Business Development Representative
June 2022 - Present

* Identify and engage potential leads through LinkedIn, email correspondence, and other sources
* Analyze IT job descriptions and company profiles
* Qualify leads, schedule intro calls with Account Executives, and prepare company profiles
* Maintain data in CRM (Salesforce) and follow up with leads on a regular basis
* Continuously expand knowledge in sales and IT

Lead Generation Manager
February 2022 - June 2022

* Generated business leads through inbound and outbound methods, including social media and cold email automation tools
* Converted prospects into leads and researched potential customers and markets
* Utilized CRM (Hubspot) daily and collaborated with Business Development Manager to deliver Lead Generation plans
* Conducted research on companies and contacts within focus markets and target companies

SKILLS:

* Agile, Kanban, Scrum methodologies
* JIRA, Confluence
* Project budget calculation
* Lead generation
* Sales
* IT
* CRM (Salesforce, Hubspot)
* Cold email automation tools (Snov.io, Expadi)
* Social media (LinkedIn)"
9,"Summary:
Highly experienced professional with over 7 years of experience in customer relations and over 3 years in management, skilled in implementing CRM systems, managing teams, and developing websites.

Experience:
- Implemented a CRM system from scratch for the company
- Trained 13 partner companies on CRM usage
- Managed a team consisting of 1 designer, 2 developers, and 1 tester across 7 projects
- Successfully released 3 e-commerce, 3 corporate, and 1 landing website within 7 months, resulting in 3 leads converted into successful projects
- Developed and implemented project schemes from lead to release, enhancing company confidence

Skills:
- Website development technologies: HTML, CSS, PHP, SQL, website layout
- CRM systems: Bitrix24
- Microsoft Office package
- Problem-solving under pressure and tight deadlines

Technical Skills:
- HTML: 1 year of experience
- CSS: 1 year of experience
- PHP: 1 year of experience
- Bitrix24: 1 year of experience
- Microsoft Office: 7 years of experience

Personal Qualities:
- Strong communication and interpersonal skills
- Ability to work under pressure and solve problems
- Experienced in customer relations and management
- Strong team management and leadership skills"
