,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
,Modified_mistralai_mixtral-8x7b-instruct_of_Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1_Modelmistralai_mixtral-8x7b-instruct
0,"Experience:

* 2013-2019 - Entrepreneur, FOP Petрова SS (MEDTECHNIKA)
	+ Managed daily operations for medical equipment and related medical goods sales.
	+ Oversaw employee organization and support, including selection and management.
	+ Negotiated and executed supplier contracts, managed related payments and accounting.
	+ Coordinated transport and logistics, including receipt, relocation, revaluation, and returns to suppliers.
* 2019-2021 - COO, Artichoke Art & Fashion School
	+ Directed sales of short-term art education courses and managed art direction.
	+ Led employee selection and team organization (team of 6).
	+ Designed and distributed tasks to enhance team collaboration and efficiency.
	+ Managed projects, including development of monthly work plans and coordinating various disciplines.
	+ Oversaw student accounting, database management, and event planning (master classes, public talks).

Achievements Summary:
• Successfully planned, directed, and managed multiple projects, achieving objectives in line with outlined priorities.
• Coordinated simultaneous development of multiple projects, delegated responsibilities, and designed time schedules.
• Negotiated contracts, prioritizing quality and value."
1," **Name**

**Contact Information**

**Objective:**

Motivated Team Leader with a proven track record of organizing team work, communicating goals, and delegating tasks. Seeking to leverage my skills and experience in a Project Manager role.

**Experience:**

*Team Leader, [Company Name], [Dates]*

* Organized team work, fostering an inspiring team environment with open communication culture
* Communicated clear team goals, connecting work to broader context
* Delegated tasks, set deadlines, and managed resources
* Oversaw day-to-day operations, monitoring team performance
* Represented and advocated for team needs
* Motivated team members, leading by example
* Identified training needs and provided coaching to improve team member skill sets
* Listened to team members’ feedback and problem-solved issues as they arose
* Organized team building activities

**Skills:**

* Project management methodologies: Waterfall, Agile, Scrum, Kanban, Lean, Six Sigma
* Defining project goals, scope, and success criteria
* Consistent project documentation and evaluation of project management tools
* Stakeholder analysis using power grid and RACI chart
* Cost Benefit Analysis, SMART, and OKRs
* Triple Constraint
* Budgeting, resource allocation, and vendor management
* Flexibility, time-management, strategic planning, multitasking, prioritization, fast learning, proactivity, escalation

**Education:**

*Google Project Management, Coursera*

* Project Initiation: Starting a Successful Project, [Grade], [Dates]
* Foundations of Project Management, [Grade], [Dates]
* Project Planning: Putting It All Together, [Current Course, Not Yet Completed]

**Languages:**

* English: Advanced
* Ukrainian, Russian: First Language"
2," Experienced Account Manager

• Over 15 years of experience in building, maintaining, and running successful creative, production, and digital marketing campaigns and projects
• Demonstrated ability to establish strong and productive relationships with internal teams
• Proficient in overseeing operational progress, monitoring cross-company projects, and leading staff members to achieve results in a timely manner
• Experienced in evaluating project progress, practicing skills in project documentation, working with various types of contracts, and risk management
• Skilled in resource and time management, business correspondence, managing customer expectations, creating WBS, and presenting demo versions and prototypes to customers

DAO PM, IAMPM laboratory of non-technical IT education
• Experienced in transferring tasks to performers, setting priorities, and presenting ready-made solutions to customers."
3,"Experienced Account, Sales, and Project Manager

• Implementation and project management expert, specializing in conducting functional requirements analysis for businesses of all sizes
• Skilled negotiator and networker with strong critical thinking skills, advanced English language proficiency
• Highly organized and methodical with a track record of overseeing daily milestones across high-performance teams
• Proficient in MS Office, MS Project, some Jira experience, SMM (Google Adwords, Facebook Ads)

Experience

• Managed B2B sales, including commercial offers, negotiations, contracts/agreements, and bills
• HR expertise: hired employees, managed accounts, and ensured compliance with labor regulations
• Operations experience: SWAP analysis, cost reduction, monitored compliance with profitability indicators
• Successfully worked with large international product companies including Rosneft Russia, Gazprom Russia, Arkema France, Huntsman Corporation USA, GSFC India, and Repsol Spain

Education

• Master’s degree in Economics
• PhD courses in Economics
• Bachelor’s degree in International Law
• Master’s degree courses in International Law

Currently attending online Software Product Management courses at the University of Altera (Canada)

Availability

• Available to work Eastern Standard Time and Ukrainian time
• Online availability for clients 24/7

Skills

• Full understanding of business processes, customer desires, and employee capabilities
• Quick learner and effective communicator with strong problem-solving skills."
4," ---

**PROFESSIONAL EXPERIENCE:**

*Founder & Project Manager, [Clothing Brand], 2012-present*

* Achieved $25,000 in annual income within first two years
* Secured community funding of $124,000 and $431,000 through Kickstarter campaigns

**SKILLS:**

* Project Launching & Management
* Proficient in Scope, Scheduling, Scrum, Agile, Asana, KanBan, Waterfall, Trello, Jira
* Art Direction, Brand Management, Teamwork
* Expertise in AI, AE, PS, 3D Coat, ZBrush, Ableton
* Experienced in B2B/B2C Communication
* Problem-Solving
* Extensive background in GameDev, Production, IT, Fashion segments
* Demonstrated ability in implementing PM instruments and leading teams
* Eager to learn job nuances and enhance related skills through hands-on experience

**INTERESTS:**

* Assisting artists and designers
* Collaborating in structured teams or facilitating essential structure implementation
* Seeking companies with clear zones of responsibility distribution
* Committed to continuous learning and skills improvement in related fields."
5," Finished Courses:

* October 2022 - ""SheCodes Basics"" Online Course, SheCodes. Credential ID: 2cae7c4c6951922e89181950f7750d6e
* March 2021 - ""DAO PM"" Online Course, IAMP
* April 2019 - ""Pre-Project Management Program"", MindsetPM. Credential ID: PM-ONLINE-2019042"
6," Accomplishment: Maximized ROI through Targeted Digital Advertising Campaign

Project Description: Spearheaded a targeted digital advertising campaign for an e-commerce company, leading to increased sales and optimized return on investment (ROI).

- Partnered with marketing and sales departments to establish campaign objectives, including concrete sales targets and ROI goals.
- Conducted market research to pinpoint lucrative customer segments and refine target demographics.
- Optimized campaign across various channels, such as social media, search engines, and display networks.
- Delivered regular performance reports to stakeholders, emphasizing key metrics like click-through rates, conversion rates, and ROI.

Skilled Project Manager with 1.5+ years of project and team management experience in digital marketing. Boosted company's average check by 1.5 times through efficient team management and active communication with clients. Fostered client relationships for an average of 6+ months.

- Readiness to work overtime.
- Focus on clear communication to avoid misunderstandings, missed deadlines, and tension."
7,"Experienced Project Manager

* Managed, organized, and controlled work of 20+ person teams and led 4 projects simultaneously in the TV industry
* Prioritized, estimated, and delegated tasks, maintaining the entire product lifecycle from idea to realization
* Conducted planning meetings, daily stand-ups, and retrospectives and maintained project documentation using Agile tools such as Avid Newsroom Computer System, Google Spreadsheets, and Excel documents
* Managed changes and risks during execution phase and controlled the live broadcast process, collaborating with technical support
* Mentored team members and TV presenters during live broadcasts and while planning future broadcasts
* Fluent in English

Recent Accomplishments:

* Completed Beetroot Academy's PM in IT course
* Earned Google Project Management Professional Certificate

Seeking job opportunities in IT sphere where strong communication, accuracy, and experience in project management is valued."
8," EXPERIENCE:

Junior Sales Manager, EVNE Developers
January 2023 - present

* Lead generation through LinkedIn and other sources
* Analysis of IT job descriptions to identify potential leads
* Engagement and qualification of leads through personalized messages and emails
* Management of warm and cold audiences, including correspondence and pre-sale communication
* Market analysis and elaboration
* Negotiation with clients of various levels
* Coordination of projects from launch to maintenance, including information collection, price negotiations, and closure
* Proficient in Agile, Kanban, Scrum methodologies and tools such as JIRA, Confluence
* Calculation of project budgets, taking into account time limits and client preferences

Business Development Representative
June 2022 - January 2023

* Generated business leads through LinkedIn and other sources
* Analyzed IT job descriptions to identify potential leads
* Engaged and qualified leads through personalized messages and emails
* Conducted regular follow-ups with leads
* Set up intro calls with Account Executive
* Prepared company profiles for intro calls
* Created notes after intro calls
* Maintained data in CRM (Salesforce)
* Continually expanded knowledge in sales and IT

Lead Generation Manager, [Company Name]
February 2022 - June 2022

* Generated business leads inbound/outbound way
* Attracted and converted prospects into leads
* Built effective communications with prospects via social media (LinkedIn etc)
* Conducted research on potential or existing customers and markets
* Identified new markets and directions
* Utilized cold emails automation tools (Snov.io)
* Worked with CRM daily (Hubspot)
* Collaborated with Business Development Manager to deliver Lead Generation plans
* Conducted fundamental research of companies and contacts within focus markets and target companies."
