,Google_UX_Score
0,88.985
1,84.986
2,89.02
3,87.884
4,68.746
5,85.533
6,87.393
7,86.519
8,87.228
9,85.479
10,86.67
11,85.739
12,88.617
13,88.472
14,87.902
15,87.892
16,87.123
17,86.744
18,84.779
19,85.923
20,86.523
21,85.049
22,88.018
23,86.654
24,83.7
25,88.091
26,86.063
27,87.859
28,86.373
29,82.697
30,85.106
31,87.007
32,88.05
33,85.118
34,85.471
35,86.221
36,85.464
37,88.22
38,88.537
39,84.597
40,87.484
41,87.354
42,86.393
43,86.884
44,87.145
45,89.472
46,87.604
47,84.979
48,86.931
49,86.154
50,85.899
51,87.554
52,88.133
53,85.593
54,88.589
55,71.047
56,86.897
57,88.383
58,87.248
59,85.736
60,88.354
61,87.727
62,87.097
63,88.15
64,85.812
65,87.784
66,86.921
67,86.637
68,87.042
69,85.874
70,87.572
71,87.341
72,86.076
73,86.824
74,86.979
75,87.905
76,83.318
77,86.007
78,86.726
79,82.306
80,84.457
81,87.015
82,85.245
83,86.086
84,81.187
85,83.256
86,85.777
87,86.71
88,87.679
89,88.305
90,87.303
91,84.224
92,83.556
93,77.289
94,83.242
95,84.719
96,82.514
97,85.465
98,82.539
99,86.018
100,83.087
101,86.814
102,87.186
103,82.089
104,86.623
105,86.717
106,87.766
107,82.878
108,88.196
109,88.537
110,85.242
111,86.132
112,85.968
113,85.97
114,84.64
115,85.964
116,84.105
117,83.023
118,85.45
119,86.829
120,87.984
121,88.393
122,85.012
123,87.635
124,85.043
125,88.803
126,86.823
127,84.339
128,84.495
129,84.544
130,86.152
131,82.246
132,86.771
133,87.724
134,86.704
135,83.866
136,87.153
137,87.566
138,86.572
139,87.09
140,87.039
141,87.187
142,87.199
143,86.871
144,88.411
145,87.031
146,88.073
147,87.617
148,87.555
149,87.441
150,89.568
151,85.786
152,89.108
153,87.355
154,86.422
155,86.108
156,86.685
157,85.973
158,87.415
159,86.129
160,86.997
161,86.869
162,88.812
163,88.092
164,88.175
165,87.398
166,86.936
167,87.669
168,85.134
169,86.606
170,86.654
171,86.941
172,88.596
173,87.356
174,84.083
175,87.378
176,86.14
177,89.501
178,88.059
179,84.294
180,85.272
181,86.967
182,89.347
183,84.788
184,85.55
185,88.873
186,85.598
187,87.442
188,88.133
189,85.635
190,87.132
191,87.723
192,86.624
193,87.075
194,86.944
195,88.955
196,87.023
197,85.38
198,87.309
199,86.422
200,85.811
201,88.087
202,88.031
203,85.919
204,87.795
205,84.93
206,87.323
207,87.143
208,86.015
209,69.806
210,87.721
211,88.11
212,87.793
213,87.047
214,84.978
215,85.684
216,87.242
217,86.456
218,88.0
219,85.641
220,86.676
221,88.744
222,85.891
223,87.23
224,86.489
225,87.346
226,83.75
227,86.3
228,87.129
229,82.19
230,81.51
231,86.847
232,84.224
233,85.987
234,80.52
235,82.033
236,86.179
237,86.572
238,87.963
239,88.451
240,88.366
241,84.212
242,84.118
243,77.011
244,83.509
245,84.245
246,84.233
247,85.486
248,82.706
249,86.508
250,87.643
251,84.364
252,81.811
253,82.638
254,81.832
255,87.049
256,81.605
257,88.108
258,86.795
259,83.624
260,76.445
261,79.553
262,78.575
263,78.697
264,80.277
265,78.494
266,80.306
267,80.021
268,78.836
269,82.452
270,79.952
271,81.347
272,80.273
273,76.893
274,78.151
275,78.679
276,77.27
277,79.197
278,78.086
279,77.181
280,76.203
281,80.032
282,78.289
283,76.547
284,79.462
285,79.35
286,79.445
287,79.411
288,78.316
289,80.098
290,74.472
291,79.308
292,79.408
293,81.041
294,80.212
295,79.981
296,79.255
297,78.167
298,84.155
299,80.45
300,80.329
301,77.687
302,79.033
303,76.941
304,78.743
305,80.0
306,76.747
307,79.229
308,80.45
309,79.939
310,79.716
311,80.785
312,77.23
313,77.225
314,79.596
315,78.55
316,77.512
317,79.464
318,77.622
319,77.833
320,77.07
321,70.56
322,79.865
323,79.748
324,79.801
325,76.913
326,79.957
327,76.638
328,78.412
329,78.571
330,78.078
331,80.758
332,79.461
333,76.74
334,78.669
335,82.174
336,79.711
337,78.056
338,80.592
339,79.633
340,77.818
341,80.258
342,80.334
343,80.315
344,79.434
345,80.662
346,78.89
347,81.442
348,79.413
349,79.861
350,80.027
351,79.35
352,76.771
353,79.386
354,82.707
355,81.533
356,79.053
357,77.064
358,78.842
359,70.564
360,80.552
361,76.38
362,84.99
363,79.282
364,80.664
365,80.263
366,80.263
367,79.612
368,81.148
369,78.085
370,79.19
371,79.1
372,78.204
373,79.444
374,79.796
375,79.363
376,81.857
377,79.782
378,81.38
379,81.5
380,79.603
381,77.622
382,79.124
383,79.821
384,80.29
385,78.236
386,80.432
387,79.795
388,78.009
389,78.312
390,76.302
391,79.3
392,82.346
393,80.067
394,78.642
395,78.682
396,78.545
397,77.864
398,78.554
399,80.043
400,80.113
401,79.181
402,80.145
403,79.456
404,79.282
405,77.167
406,76.923
407,80.657
408,81.774
409,78.754
410,78.775
411,78.879
412,78.712
413,79.233
414,78.761
415,75.974
416,69.642
417,79.876
418,78.581
419,79.309
420,79.345
421,80.021
422,77.797
423,76.827
424,80.544
425,74.926
426,76.924
427,78.036
428,79.265
429,75.824
430,80.12
431,78.834
432,80.684
433,79.892
434,79.509
435,79.953
436,81.826
437,80.508
438,84.71
439,78.102
440,78.367
441,81.187
442,80.563
443,79.226
444,78.017
445,78.447
446,79.364
447,78.575
448,80.237
449,79.534
450,80.297
451,76.708
452,84.207
453,80.906
454,77.674
455,76.273
456,79.069
457,78.13
458,81.465
459,78.419
460,79.278
461,79.596
462,81.768
463,79.59
464,79.07
465,81.199
466,77.53
467,79.137
468,80.703
469,76.866
470,76.953
471,79.89
472,82.394
473,77.993
474,77.393
475,78.023
476,76.754
477,77.264
478,78.48
479,82.221
480,80.568
481,81.934
482,80.192
483,80.516
484,78.834
485,76.435
486,76.308
487,79.831
488,80.038
489,81.681
490,81.624
491,79.916
492,79.923
493,78.726
494,78.917
495,80.853
496,79.098
497,79.054
498,77.182
499,78.617
500,79.718
501,77.859
502,75.211
