,Google_UX_Score
0,84.302
1,85.217
2,87.751
3,80.767
4,85.935
5,88.152
6,84.792
7,83.915
8,88.444
9,85.596
10,86.412
11,87.648
12,86.016
13,87.416
14,87.977
15,85.113
16,84.531
17,83.399
18,86.469
19,83.623
20,86.253
21,83.151
22,81.908
23,83.021
24,84.286
25,90.734
26,81.475
27,81.443
28,85.973
29,80.053
30,82.979
31,78.728
32,81.387
33,87.977
34,87.815
35,83.154
36,82.746
37,86.78
38,86.407
39,84.602
40,87.102
41,82.52
42,81.656
43,86.233
44,85.276
45,87.315
46,86.131
47,84.252
48,87.459
49,83.121
50,87.46
51,83.865
52,88.383
53,86.811
54,84.358
55,84.938
56,85.789
57,86.048
58,86.569
59,85.426
60,84.551
61,85.351
62,87.748
63,86.154
64,83.851
65,86.982
66,84.837
67,84.366
68,85.351
69,82.276
70,85.699
71,84.529
72,86.023
73,85.937
74,81.59
75,86.358
76,85.456
77,85.072
78,85.102
79,85.609
80,84.279
81,83.802
82,82.629
83,81.312
84,80.288
85,86.502
86,81.75
87,85.714
88,78.623
89,81.475
90,84.44
91,86.635
92,85.783
93,82.396
94,86.218
95,87.498
96,87.57
97,82.389
98,87.227
99,85.077
100,85.936
101,83.288
102,86.588
103,88.536
104,84.384
105,81.656
106,84.112
107,86.77
108,85.842
109,82.593
110,88.911
111,89.183
112,84.117
113,83.817
114,84.699
115,86.315
116,88.173
117,86.001
118,83.69
119,84.148
120,86.694
121,87.504
122,85.843
123,85.532
124,86.915
125,86.872
126,84.729
127,84.769
128,85.44
129,81.888
130,82.19
131,81.161
132,84.63
133,84.675
134,80.23
135,79.758
136,82.274
137,84.187
138,86.55
139,88.842
140,84.159
141,82.787
142,82.262
143,80.591
144,82.136
145,80.886
146,82.25
147,84.909
148,85.497
149,82.454
150,86.652
151,82.594
152,85.416
153,85.431
154,87.411
155,86.334
156,82.574
157,86.875
158,82.08
159,83.033
160,87.823
161,84.924
162,88.024
163,89.392
164,88.028
165,83.316
166,86.374
167,77.861
168,85.294
169,83.458
170,81.972
171,85.659
172,87.377
173,81.319
174,86.754
175,80.869
176,83.557
177,79.947
178,84.894
179,85.505
180,83.725
181,85.145
182,85.791
183,85.09
184,85.575
185,84.7
186,80.517
187,88.351
188,86.402
189,87.591
190,87.944
191,75.718
192,84.178
193,80.202
194,82.711
195,82.199
196,77.633
197,79.75
198,79.621
199,78.502
200,77.085
201,83.569
202,90.025
203,85.419
204,82.449
205,87.432
206,86.924
207,84.366
208,82.464
209,87.696
210,86.137
211,86.745
212,84.039
213,85.546
214,85.541
215,88.037
216,87.096
217,85.496
218,85.097
219,82.022
220,86.131
221,81.598
222,85.92
223,83.48
224,81.366
225,87.324
226,86.31
227,84.734
228,84.515
229,86.702
230,83.546
231,82.553
232,81.958
233,87.803
234,86.657
235,88.178
236,88.707
237,87.332
238,80.743
239,83.569
240,84.432
241,85.719
242,83.618
243,88.279
244,89.223
245,85.644
246,77.425
247,82.571
248,88.15
249,85.056
250,87.061
251,78.998
252,82.849
253,84.935
254,87.244
255,86.65
256,83.032
257,83.861
258,83.521
259,80.887
260,80.601
261,82.288
262,78.381
263,80.208
264,80.03
265,79.365
266,80.591
267,78.309
268,74.897
269,81.159
270,79.468
271,80.554
272,80.759
273,78.649
274,77.676
275,77.526
276,79.079
277,78.539
278,78.832
279,74.573
280,75.708
281,78.036
282,76.722
283,75.934
284,78.99
285,80.312
286,78.631
287,76.913
288,77.281
289,80.942
290,76.035
291,77.692
292,77.809
293,77.253
294,78.362
295,77.749
296,77.424
297,76.402
298,83.598
299,79.797
300,77.15
301,76.392
302,77.108
303,76.244
304,76.808
305,79.032
306,78.968
307,79.819
308,81.816
309,83.729
310,82.654
311,79.717
312,77.192
313,78.295
314,78.832
315,80.142
316,77.197
317,79.842
318,77.7
319,79.3
320,77.002
321,80.301
322,78.252
323,81.253
324,77.37
325,74.896
326,78.172
327,77.203
328,79.184
329,78.83
330,77.052
331,80.081
332,80.004
333,76.214
334,77.873
335,82.81
336,76.784
337,77.978
338,81.608
339,76.671
340,78.271
341,79.566
342,80.528
343,79.599
344,77.671
345,79.995
346,79.249
347,79.286
348,79.627
349,74.989
350,77.911
351,77.304
352,80.36
353,76.904
354,80.41
355,81.232
356,78.487
357,78.046
358,78.608
359,80.811
360,79.543
361,75.187
362,86.693
363,78.588
364,78.062
365,77.606
366,77.895
367,80.349
368,80.976
369,77.628
370,77.141
371,79.217
372,76.172
373,78.861
374,77.232
375,79.492
376,78.556
377,79.983
378,79.712
379,81.284
380,79.874
381,78.315
382,79.794
383,80.277
384,80.11
385,76.313
386,80.127
387,79.342
388,80.5
389,75.553
390,79.173
391,75.529
392,81.256
393,80.975
394,78.661
395,79.1
396,78.693
397,76.503
398,78.611
399,79.61
400,82.006
401,78.466
402,78.719
403,79.808
404,77.73
405,75.023
406,75.679
407,82.523
408,83.254
409,79.536
410,78.01
411,80.902
412,75.088
413,78.583
414,78.264
415,74.853
416,76.367
417,80.037
418,77.099
419,80.226
420,77.468
421,80.393
422,78.126
423,75.177
424,81.678
425,73.229
426,74.868
427,77.749
428,77.606
429,77.528
430,76.894
431,80.019
432,77.538
433,78.994
434,79.672
435,80.44
436,81.66
437,78.885
438,85.539
439,79.398
440,79.816
441,78.309
442,78.374
443,80.451
444,79.957
445,80.229
446,76.565
447,78.939
448,77.793
449,76.825
450,77.61
451,76.22
452,84.179
453,81.433
454,76.933
455,74.313
456,79.173
457,78.502
458,80.098
459,79.406
460,80.008
461,75.972
462,78.903
463,79.124
464,78.985
465,82.416
466,74.247
467,77.638
468,81.77
469,76.536
470,74.486
471,78.657
472,81.326
473,77.251
474,77.665
475,79.699
476,76.168
477,78.244
478,78.457
479,81.284
480,79.584
481,79.19
482,76.186
483,79.254
484,78.291
485,73.838
486,75.887
487,74.361
488,79.245
489,81.006
490,80.999
491,79.24
492,79.775
493,75.661
494,79.009
495,78.906
496,77.253
497,80.884
498,77.397
499,78.217
500,78.126
501,76.652
502,76.816
503,75.942
504,79.499
505,78.223
506,78.29
507,79.102
508,79.668
509,80.004
510,79.2
511,80.099
512,78.396
513,78.065
514,76.452
515,78.942
516,78.756
517,75.837
518,79.534
519,77.895
