,Google_UX_Score
0,81.625
1,83.143
2,88.012
3,80.677
4,85.403
5,87.455
6,85.822
7,83.444
8,88.77
9,86.669
10,83.477
11,88.823
12,84.704
13,86.061
14,85.797
15,84.694
16,83.839
17,80.787
18,86.515
19,87.329
20,88.009
21,85.114
22,86.048
23,84.137
24,83.662
25,89.463
26,86.339
27,85.247
28,87.637
29,83.764
30,85.019
31,83.051
32,84.846
33,87.138
34,86.14
35,86.553
36,82.929
37,87.883
38,86.869
39,85.592
40,86.744
41,85.586
42,84.709
43,87.725
44,86.024
45,86.817
46,86.215
47,85.879
48,87.157
49,87.035
50,89.96
51,83.677
52,87.665
53,86.87
54,84.627
55,85.574
56,87.018
57,86.965
58,86.252
59,86.781
60,86.028
61,85.09
62,87.311
63,88.275
64,85.747
65,86.413
66,84.959
67,88.064
68,86.166
69,84.019
70,85.152
71,86.528
72,88.297
73,85.305
74,82.407
75,87.639
76,85.327
77,87.928
78,88.124
79,85.954
80,84.041
81,85.22
82,86.845
83,85.201
84,82.107
85,87.509
86,83.035
87,86.452
88,87.289
89,82.636
90,84.434
91,87.531
92,84.752
93,86.228
94,88.622
95,84.933
96,87.225
97,84.841
98,85.624
99,87.108
100,87.129
101,86.847
102,87.611
103,85.473
104,85.931
105,84.219
106,83.982
107,88.503
108,84.663
109,83.812
110,88.359
111,87.942
112,85.743
113,86.883
114,86.626
115,86.98
116,88.187
117,84.558
118,87.038
119,85.096
120,87.687
121,84.983
122,85.906
123,87.152
124,87.205
125,87.071
126,83.782
127,83.641
128,86.994
129,83.952
130,83.194
131,81.845
132,87.049
133,85.613
134,82.184
135,82.882
136,85.753
137,85.879
138,88.585
139,88.755
140,87.439
141,84.298
142,83.999
143,77.626
144,84.151
145,83.882
146,85.039
147,86.445
148,82.697
149,85.92
150,87.256
151,83.91
152,84.469
153,83.872
154,80.98
155,87.973
156,82.887
157,88.219
158,87.378
159,84.206
160,87.233
161,86.545
162,88.955
163,88.277
164,88.161
165,83.517
166,86.068
167,79.77
168,83.208
169,88.578
170,87.075
171,85.097
172,86.485
173,84.456
174,85.223
175,83.041
176,84.96
177,82.312
178,83.534
179,86.817
180,84.18
181,85.276
182,86.766
183,87.413
184,84.58
185,86.212
186,83.721
187,89.44
188,88.341
189,87.114
190,87.307
191,75.48
192,86.453
193,86.082
194,83.948
195,87.097
196,84.464
197,84.14
198,84.4
199,84.376
200,79.564
201,84.544
202,89.409
203,88.592
204,85.429
205,85.483
206,85.561
207,86.113
208,84.385
209,86.936
210,85.944
211,86.136
212,85.058
213,86.977
214,86.107
215,85.301
216,86.583
217,85.755
218,84.127
219,83.122
220,85.613
221,86.194
222,86.703
223,85.373
224,81.145
225,86.825
226,88.112
227,88.574
228,86.02
229,87.256
230,79.004
231,86.386
232,86.043
233,85.865
234,84.861
235,88.813
236,87.178
237,86.818
238,86.487
239,85.446
240,85.668
241,86.604
242,83.154
243,86.986
244,87.94
245,87.824
246,82.678
247,85.762
248,88.375
249,87.269
250,86.323
251,84.419
252,84.364
253,84.267
254,88.009
255,87.19
256,82.843
257,82.16
258,86.143
259,79.082
260,78.387
261,82.944
262,80.538
263,82.085
264,80.495
265,79.246
266,79.965
267,81.117
268,78.836
269,83.309
270,79.747
271,81.297
272,81.25
273,77.845
274,76.241
275,78.914
276,78.894
277,
278,80.739
279,75.887
280,77.105
281,78.919
282,76.094
283,77.967
284,79.917
285,81.541
286,78.332
287,77.45
288,79.298
289,80.4
290,75.023
291,79.939
292,77.95
293,80.1
294,79.104
295,80.017
296,79.325
297,77.108
298,83.347
299,82.823
300,79.069
301,76.166
302,78.661
303,77.676
304,77.793
305,80.721
306,79.74
307,80.807
308,80.288
309,81.619
310,81.493
311,80.837
312,76.524
313,78.996
314,79.981
315,79.605
316,77.136
317,82.138
318,75.514
319,78.478
320,76.624
321,79.928
322,79.326
323,79.357
324,78.191
325,74.95
326,78.24
327,78.451
328,78.998
329,78.534
330,77.907
331,80.105
332,78.138
333,75.732
334,78.884
335,81.764
336,78.251
337,79.989
338,79.224
339,78.892
340,80.091
341,79.257
342,80.051
343,81.244
344,79.848
345,80.824
346,77.912
347,81.109
348,77.917
349,79.596
350,77.887
351,80.132
352,78.431
353,79.95
354,81.53
355,79.627
356,79.747
357,77.926
358,81.603
359,81.95
360,81.207
361,77.314
362,84.54
363,78.873
364,77.899
365,79.311
366,79.898
367,82.015
368,80.656
369,79.113
370,77.987
371,81.127
372,80.366
373,77.984
374,79.072
375,79.56
376,79.435
377,81.897
378,81.403
379,82.581
380,79.383
381,78.059
382,80.308
383,81.466
384,80.789
