,Modified_deepseek/deepseek-chat_of_Modified_deepseek-chat_of_CV_Modeldeepseek-chat_Modeldeepseek/deepseek-chat Google_UX Score
260,78.808
261,82.09
262,81.667
263,81.634
264,82.621
265,79.001
266,79.547
267,81.903
268,80.371
269,81.802
270,79.803
271,81.725
272,81.99
273,78.817
274,81.333
275,78.033
276,78.698
277,78.615
278,78.609
279,77.235
280,78.699
281,79.171
282,79.639
283,78.136
284,79.067
285,81.081
286,78.613
287,78.868
288,80.05
289,80.362
290,77.257
291,81.568
292,79.56
293,80.232
294,81.102
295,79.938
296,83.47
297,78.36
298,83.837
299,82.684
300,79.823
301,78.598
302,78.03
303,78.199
304,77.725
305,80.47
306,78.256
307,80.87
308,82.252
309,81.147
310,82.42
311,80.393
312,76.874
313,81.019
314,80.155
315,80.71
316,79.523
317,81.354
318,78.569
319,78.437
320,78.992
321,80.721
322,81.976
323,79.706
324,79.091
325,77.101
326,77.474
327,79.243
328,78.758
329,78.534
330,79.649
331,81.641
332,81.444
333,78.031
334,79.979
335,81.189
336,79.414
337,81.804
338,81.553
339,81.471
340,80.864
341,80.237
342,79.602
343,83.041
344,78.624
345,80.739
346,78.8
347,81.864
348,79.657
349,80.513
350,78.462
351,80.81
352,79.201
353,79.43
354,82.899
355,80.529
356,78.672
357,79.39
358,80.814
359,84.317
360,80.698
361,79.054
362,85.765
363,80.481
364,79.949
365,80.918
366,81.705
367,83.589
368,79.74
369,79.812
370,78.288
371,80.717
372,81.122
373,82.661
374,79.972
375,80.056
376,79.969
377,81.8
378,82.095
379,81.094
380,80.674
381,79.589
382,80.58
383,81.347
384,80.397
385,78.832
386,80.457
387,81.219
388,76.512
389,78.831
390,80.403
391,79.106
392,82.314
393,80.431
394,78.445
395,79.013
396,79.347
397,78.078
398,78.201
399,81.369
400,80.405
401,79.859
402,79.446
403,81.061
404,81.01
405,79.558
406,77.854
407,80.276
408,83.565
409,80.529
410,80.583
411,80.512
412,79.723
413,81.616
414,79.746
415,76.269
416,76.611
417,81.043
418,78.497
419,80.978
420,80.328
421,81.324
422,77.197
423,78.309
424,83.92
425,74.992
426,77.538
427,77.929
428,79.516
429,78.608
430,80.905
431,80.543
432,82.647
433,79.841
434,81.779
435,80.999
436,82.51
437,80.811
438,85.635
439,78.221
440,79.532
441,79.935
442,78.719
443,79.274
444,78.448
445,78.428
446,78.2
447,78.272
448,81.544
449,78.918
450,79.613
451,78.885
452,82.462
453,82.371
454,78.61
455,77.308
456,81.451
457,79.799
458,83.01
459,81.223
460,80.035
461,78.705
462,80.858
463,81.283
464,79.457
465,81.619
466,76.491
467,80.345
468,81.551
469,77.124
470,77.996
471,81.025
472,82.992
473,77.625
474,79.164
475,81.395
476,77.312
477,80.191
478,78.181
479,82.036
480,80.757
481,82.017
482,77.748
483,81.276
484,82.762
485,78.258
486,77.759
487,79.51
488,81.522
489,81.267
490,82.357
491,80.99
492,80.999
493,80.663
494,79.157
495,80.235
496,79.048
497,81.875
498,78.748
499,81.803
500,81.439
501,80.333
502,77.894
503,76.514
504,81.65
505,78.935
506,79.312
507,81.506
508,79.093
509,78.058
510,82.631
511,80.956
512,79.571
513,78.465
514,79.939
515,75.112
516,79.684
517,75.248
518,80.829
519,79.215
