,Modified_gpt-3.5-turbo_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-3.5-turbo Google_UX Score
260,80.601
261,82.288
262,78.381
263,80.208
264,80.03
265,79.365
266,80.591
267,78.309
268,74.897
269,81.159
270,79.468
271,80.554
272,80.759
273,78.649
274,77.676
275,77.526
276,79.079
277,78.539
278,78.832
279,74.573
280,75.708
281,78.036
282,76.722
283,75.934
284,78.99
285,80.312
286,78.631
287,76.913
288,77.281
289,80.942
290,76.035
291,77.692
292,77.809
293,77.253
294,78.362
295,77.749
296,77.424
297,76.402
298,83.598
299,79.797
300,77.15
301,76.392
302,77.108
303,76.244
304,76.808
305,79.032
306,78.968
307,79.819
308,81.816
309,83.729
310,82.654
311,79.717
312,77.192
313,78.295
314,78.832
315,80.142
316,77.197
317,79.842
318,77.7
319,79.3
320,77.002
321,80.301
322,78.252
323,81.253
324,77.37
325,74.896
326,78.172
327,77.203
328,79.184
329,78.83
330,77.052
331,80.081
332,80.004
333,76.214
334,77.873
335,82.81
336,76.784
337,77.978
338,81.608
339,76.671
340,78.271
341,79.566
342,80.528
343,79.599
344,77.671
345,79.995
346,79.249
347,79.286
348,79.627
349,74.989
350,77.911
351,77.304
352,80.36
353,76.904
354,80.41
355,81.232
356,78.487
357,78.046
358,78.608
359,80.811
360,79.543
361,75.187
362,86.693
363,78.588
364,78.062
365,77.606
366,77.895
367,80.349
368,80.976
369,77.628
370,77.141
371,79.217
372,76.172
373,78.861
374,77.232
375,79.492
376,78.556
377,79.983
378,79.712
379,81.284
380,79.874
381,78.315
382,79.794
383,80.277
384,80.11
385,76.313
386,80.127
387,79.342
388,80.5
389,75.553
390,79.173
391,75.529
392,81.256
393,80.975
394,78.661
395,79.1
396,78.693
397,76.503
398,78.611
399,79.61
400,82.006
401,78.466
402,78.719
403,79.808
404,77.73
405,75.023
406,75.679
407,82.523
408,83.254
409,79.536
410,78.01
411,80.902
412,75.088
413,78.583
414,78.264
415,74.853
416,76.367
417,80.037
418,77.099
419,80.226
420,77.468
421,80.393
422,78.126
423,75.177
424,81.678
425,73.229
426,74.868
427,77.749
428,77.606
429,77.528
430,76.894
431,80.019
432,77.538
433,78.994
434,79.672
435,80.44
436,81.66
437,78.885
438,85.539
439,79.398
440,79.816
441,78.309
442,78.374
443,80.451
444,79.957
445,80.229
446,76.565
447,78.939
448,77.793
449,76.825
450,77.61
451,76.22
452,84.179
453,81.433
454,76.933
455,74.313
456,79.173
457,78.502
458,80.098
459,79.406
460,80.008
461,75.972
462,78.903
463,79.124
464,78.985
465,82.416
466,74.247
467,77.638
468,81.77
469,76.536
470,74.486
471,78.657
472,81.326
473,77.251
474,77.665
475,79.699
476,76.168
477,78.244
478,78.457
479,81.284
480,79.584
481,79.19
482,76.186
483,79.254
484,78.291
485,73.838
486,75.887
487,74.361
488,79.245
489,81.006
490,80.999
491,79.24
492,79.775
493,75.661
494,79.009
495,78.906
496,77.253
497,80.884
498,77.397
499,78.217
500,78.126
501,76.652
502,76.816
503,75.942
504,79.499
505,78.223
506,78.29
507,79.102
508,79.668
509,80.004
510,79.2
511,80.099
512,78.396
513,78.065
514,76.452
515,78.942
516,78.756
517,75.837
518,79.534
519,77.895
