,Modified_meta-llama/llama-3.3-70b-instruct_of_Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct_Modelmeta-llama/llama-3.3-70b-instruct Google_UX Score
0,78.387
1,82.944
2,80.538
3,82.085
4,80.495
5,79.246
6,79.965
7,81.117
8,78.836
9,83.309
10,79.747
11,81.297
12,81.25
13,77.845
14,76.241
15,78.914
16,78.894
17,
18,80.739
19,75.887
20,77.105
21,78.919
22,76.094
23,77.967
24,79.917
25,81.541
26,78.332
27,77.45
28,79.298
29,80.4
30,75.023
31,79.939
32,77.95
33,80.1
34,79.104
35,80.017
36,79.325
37,77.108
38,83.347
39,82.823
40,79.069
41,76.166
42,78.661
43,77.676
44,77.793
45,80.721
46,79.74
47,80.807
48,80.288
49,81.619
50,81.493
51,80.837
52,76.524
53,78.996
54,79.981
55,79.605
56,77.136
57,82.138
58,75.514
59,78.478
60,76.624
61,79.928
62,79.326
63,79.357
64,78.191
65,74.95
66,78.24
67,78.451
68,78.998
69,78.534
70,77.907
71,80.105
72,78.138
73,75.732
74,78.884
75,81.764
76,78.251
77,79.989
78,79.224
79,78.892
80,80.091
81,79.257
82,80.051
83,81.244
84,79.848
85,80.824
86,77.912
87,81.109
88,77.917
89,79.596
90,77.887
91,80.132
92,78.431
93,79.95
94,81.53
95,79.627
96,79.747
97,77.926
98,81.603
99,81.95
100,81.207
101,77.314
102,84.54
103,78.873
104,77.899
105,79.311
106,79.898
107,82.015
108,80.656
109,79.113
110,77.987
111,81.127
112,80.366
113,77.984
114,79.072
115,79.56
116,79.435
117,81.897
118,81.403
119,82.581
120,79.383
121,78.059
122,80.308
123,81.466
124,80.789
125,76.568
126,80.514
127,79.971
128,78.397
129,77.569
130,76.489
131,77.037
132,81.649
133,79.211
134,78.334
135,78.456
136,79.547
137,77.444
138,78.177
139,80.019
140,82.325
141,77.749
142,77.06
143,79.158
144,78.391
145,76.855
146,75.895
147,82.07
148,83.452
149,80.411
150,79.025
151,78.878
152,78.338
153,80.982
154,78.206
155,74.738
156,76.188
157,79.343
158,78.286
159,80.659
160,79.996
161,80.995
162,78.528
163,74.584
164,82.315
165,73.015
166,74.494
167,79.103
168,78.064
169,77.902
170,78.302
171,79.321
172,80.625
173,79.798
174,79.449
175,81.772
176,80.386
177,79.675
178,83.256
179,78.56
180,80.107
181,79.845
182,79.21
183,79.097
184,79.153
185,78.37
186,79.756
187,78.613
188,80.723
189,77.884
190,78.809
191,78.168
192,82.527
193,81.95
194,78.755
195,77.171
196,78.445
197,79.325
198,80.224
199,77.593
200,80.075
201,75.083
202,81.498
203,78.628
204,77.688
205,82.124
206,75.832
207,79.873
208,81.94
209,76.914
210,77.393
211,78.766
212,82.537
213,78.341
214,78.675
215,80.733
216,77.209
217,79.255
218,78.919
219,82.079
220,80.936
221,79.756
222,77.479
223,80.167
224,78.499
225,77.695
226,77.565
227,79.096
228,80.699
229,80.165
230,82.581
231,81.077
232,80.862
233,77.141
234,79.25
235,79.638
236,77.61
237,80.116
238,78.007
239,81.204
240,80.408
241,77.281
242,78.143
243,78.12
244,81.661
245,78.619
246,77.999
247,79.139
248,78.895
249,78.304
250,81.972
251,79.171
252,78.849
253,79.457
254,80.653
255,76.128
256,76.707
257,74.116
258,79.713
259,77.626
