,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1_Modelmistralai/Mixtral-8x7B-Instruct-v0.1 Google_UX Score
,73.624
0.0,80.12
1.0,81.361
2.0,79.625
3.0,80.745
4.0,82.094
5.0,76.267
6.0,80.035
7.0,79.857
8.0,80.259
9.0,82.421
10.0,81.092
11.0,80.918
12.0,82.69
13.0,78.407
14.0,77.337
15.0,78.366
16.0,79.856
17.0,79.221
18.0,77.484
19.0,76.694
20.0,68.966
21.0,77.575
22.0,79.124
23.0,76.52
24.0,79.19
25.0,81.246
26.0,78.972
27.0,78.082
28.0,76.56
29.0,81.111
30.0,76.057
31.0,75.543
32.0,78.823
33.0,79.443
34.0,79.98
35.0,79.231
36.0,82.187
37.0,75.619
38.0,82.669
39.0,81.522
40.0,78.94
41.0,77.495
42.0,78.575
43.0,79.843
44.0,76.807
45.0,80.168
46.0,78.049
47.0,79.121
48.0,82.2
49.0,82.615
50.0,81.988
51.0,81.197
52.0,75.13
53.0,69.748
54.0,78.377
55.0,79.444
56.0,78.032
57.0,81.831
58.0,79.882
59.0,79.32
60.0,77.755
61.0,80.187
62.0,81.052
63.0,80.297
64.0,78.9
65.0,75.808
66.0,77.593
67.0,79.316
68.0,79.529
69.0,80.237
70.0,77.319
71.0,82.751
72.0,79.906
73.0,76.859
74.0,76.892
75.0,77.794
76.0,79.838
77.0,79.432
78.0,77.344
79.0,78.235
80.0,77.084
81.0,79.072
82.0,79.685
83.0,81.512
84.0,78.864
85.0,77.565
86.0,79.495
87.0,82.954
88.0,80.02
89.0,80.39
90.0,78.08
91.0,79.184
92.0,78.939
93.0,78.003
94.0,79.589
95.0,78.553
96.0,76.71
97.0,77.135
98.0,79.629
99.0,83.988
100.0,79.946
101.0,75.001
102.0,83.78
103.0,77.908
104.0,78.078
105.0,77.851
106.0,81.912
107.0,77.153
108.0,81.926
109.0,73.76
110.0,77.885
111.0,79.344
112.0,81.383
113.0,77.841
114.0,79.033
115.0,82.591
116.0,79.203
117.0,74.767
118.0,78.589
119.0,80.261
120.0,80.269
121.0,78.602
122.0,80.246
123.0,70.348
124.0,81.253
125.0,80.548
126.0,79.523
127.0,80.203
128.0,76.147
129.0,75.726
130.0,77.0
131.0,74.969
132.0,81.421
133.0,78.495
134.0,78.641
135.0,77.655
136.0,73.83
137.0,76.075
138.0,77.597
139.0,80.782
140.0,79.072
141.0,79.297
142.0,77.338
143.0,81.674
144.0,74.442
145.0,75.189
146.0,76.904
147.0,83.931
148.0,83.67
149.0,80.143
150.0,77.948
151.0,78.441
152.0,78.509
153.0,74.799
154.0,79.717
155.0,74.007
156.0,80.386
157.0,80.996
158.0,77.623
159.0,79.864
160.0,79.349
161.0,81.117
162.0,79.363
163.0,76.555
164.0,82.517
165.0,72.114
166.0,75.449
167.0,79.582
168.0,78.985
169.0,76.979
170.0,78.44
171.0,80.945
172.0,81.365
173.0,78.485
174.0,81.735
175.0,81.01
176.0,82.297
177.0,81.132
178.0,84.313
179.0,79.178
180.0,79.391
181.0,79.47
182.0,74.158
183.0,79.99
184.0,78.96
185.0,76.252
186.0,78.19
187.0,76.999
188.0,80.467
189.0,78.746
190.0,80.496
191.0,79.441
192.0,84.228
193.0,82.598
194.0,75.072
195.0,78.849
196.0,70.533
197.0,79.767
198.0,75.64
199.0,80.701
200.0,80.635
201.0,79.879
202.0,80.923
203.0,79.272
204.0,73.579
205.0,81.933
206.0,73.868
207.0,80.451
208.0,81.944
209.0,75.427
210.0,78.343
211.0,81.208
212.0,82.861
213.0,77.516
214.0,78.353
215.0,80.664
216.0,82.31
217.0,79.937
218.0,72.519
219.0,83.678
220.0,81.352
221.0,80.447
222.0,79.054
223.0,80.853
224.0,80.471
225.0,77.218
226.0,76.557
227.0,80.844
228.0,71.534
229.0,81.397
230.0,81.45
231.0,77.754
232.0,81.69
233.0,77.223
234.0,79.974
235.0,78.217
236.0,77.464
237.0,80.083
238.0,75.972
239.0,78.092
240.0,78.047
241.0,77.057
242.0,75.447
243.0,79.345
244.0,80.381
245.0,79.346
246.0,78.201
247.0,79.583
248.0,80.479
249.0,77.523
250.0,80.147
251.0,80.612
252.0,77.574
253.0,78.788
254.0,79.385
255.0,77.938
256.0,76.671
257.0,74.343
258.0,79.062
259.0,78.389
