,DoorDash_PM
0,82.774
1,83.448
2,82.256
3,83.783
4,81.515
5,78.378
6,82.347
7,81.358
8,84.96
9,81.64
10,81.574
11,81.247
12,85.336
13,79.912
14,82.467
15,81.582
16,80.106
17,80.6
18,78.778
19,77.664
20,79.132
21,79.849
22,82.553
23,82.01
24,83.018
25,81.051
26,81.661
27,80.774
28,80.681
29,80.979
30,76.219
31,83.025
32,81.923
33,83.817
34,77.506
35,83.519
36,82.82
37,78.317
38,84.739
39,82.628
40,81.338
41,77.26
42,79.852
43,80.76
44,80.008
45,81.812
46,82.079
47,82.15
48,80.391
49,80.632
50,82.684
51,80.106
52,79.604
53,78.319
54,78.202
55,78.889
56,78.447
57,80.24
58,
59,78.56
60,82.789
61,81.627
62,80.604
63,82.144
64,81.438
65,77.991
66,82.07
67,81.768
68,80.095
69,79.795
70,81.298
71,83.55
72,80.95
73,77.226
74,84.313
75,80.617
76,79.916
77,83.53
78,79.581
79,79.928
80,81.026
81,83.134
82,82.317
83,82.629
84,80.138
85,83.656
86,77.901
87,82.195
88,79.966
89,83.244
90,81.131
91,82.327
92,83.245
93,80.213
94,80.982
95,79.758
96,79.782
97,82.047
98,84.842
99,83.863
100,82.9
101,82.733
102,80.836
103,82.395
104,80.029
105,82.424
106,82.579
107,86.395
108,81.937
109,83.113
110,77.728
111,81.79
112,78.086
113,83.151
114,82.499
115,81.586
116,80.457
117,84.442
118,80.415
119,82.964
120,80.647
121,79.113
122,83.353
123,82.978
124,79.087
125,82.575
126,79.289
127,80.654
128,83.654
129,82.675
130,78.438
131,79.807
132,85.267
133,81.9
134,78.775
135,84.382
136,82.718
137,78.36
138,78.316
139,84.185
140,84.251
141,81.049
142,80.748
143,80.53
144,80.69
145,79.124
146,79.858
147,81.303
148,83.042
149,81.372
150,78.912
151,83.98
152,83.641
153,82.023
154,79.719
155,79.572
156,81.686
157,84.21
158,83.884
159,83.764
160,80.778
161,83.405
162,77.599
163,78.791
164,82.619
165,75.395
166,78.479
167,84.303
168,81.831
169,80.473
170,79.315
171,82.874
172,82.493
173,81.486
174,81.957
175,81.061
176,82.745
177,82.786
178,81.532
179,81.367
180,81.554
181,82.133
182,80.879
183,80.284
184,81.365
185,81.02
186,86.234
187,81.993
188,81.836
189,80.829
190,80.42
191,78.626
192,81.053
193,85.861
194,79.742
195,82.163
196,82.935
197,81.546
198,78.686
199,80.645
200,83.964
201,78.964
202,80.059
203,82.434
204,82.699
205,80.402
206,82.254
207,84.338
208,82.767
209,77.477
210,84.497
211,78.462
212,78.506
213,80.629
214,82.007
215,81.659
216,73.217
217,82.433
218,74.346
219,81.107
220,81.984
221,75.707
222,78.502
223,80.934
224,80.418
225,81.557
226,78.276
227,81.098
228,81.944
229,75.523
230,80.869
231,78.037
232,81.473
233,80.678
234,81.363
235,78.493
236,80.929
237,83.232
238,82.328
239,81.171
240,82.569
241,80.265
242,82.322
243,79.438
244,81.429
245,78.708
246,83.149
247,82.087
248,81.129
249,80.099
250,82.281
251,85.773
252,80.639
253,80.291
254,83.384
255,76.316
256,77.841
257,78.876
258,81.728
259,78.624
260,75.612
261,76.241
262,77.06
263,78.316
264,79.724
265,81.662
266,80.145
267,77.631
268,82.283
269,77.475
270,73.908
271,81.499
272,82.748
273,80.615
274,82.365
275,78.446
276,78.914
277,77.344
278,79.671
279,79.511
280,82.943
281,80.201
282,79.483
283,76.869
284,76.193
285,79.191
286,77.35
287,78.294
288,82.306
289,80.1
290,81.259
291,83.19
292,79.909
293,78.773
294,78.945
295,79.083
296,76.245
297,78.071
298,79.44
299,79.141
300,76.953
301,76.696
302,79.399
303,78.744
304,79.503
305,77.231
306,79.92
307,78.676
308,79.279
309,79.364
310,78.491
311,82.274
312,81.677
313,79.343
314,80.264
315,77.411
316,78.805
317,79.132
318,76.886
319,77.05
320,77.251
321,78.596
322,79.944
323,77.693
324,81.624
325,77.083
326,79.866
327,80.056
328,77.455
329,78.031
330,76.736
331,80.657
332,80.499
333,79.349
334,76.255
335,76.597
336,77.69
337,80.292
338,76.576
339,76.097
340,78.759
341,79.34
342,81.493
343,78.615
344,77.824
345,79.66
346,79.082
347,80.267
348,79.234
349,79.512
350,82.261
351,78.523
352,77.18
353,78.059
354,79.836
355,77.699
356,77.421
357,79.541
358,81.016
359,78.923
360,80.235
361,78.828
362,76.687
363,77.53
364,79.097
365,80.072
366,81.246
367,80.1
368,78.613
369,78.905
370,82.049
371,77.431
372,79.366
373,81.032
374,80.187
375,78.215
376,77.739
377,79.609
378,78.247
379,77.695
380,79.149
381,75.833
382,76.551
383,77.529
384,79.535
385,78.987
386,78.768
387,76.35
388,76.848
389,76.795
390,79.263
391,76.123
392,76.958
393,78.324
394,81.397
395,76.262
396,75.676
397,76.855
398,81.69
399,79.507
400,77.277
401,77.256
402,81.815
403,77.292
404,76.446
405,77.359
406,79.046
407,74.792
408,80.454
409,79.216
410,78.185
411,76.792
412,75.683
413,78.93
414,75.946
415,79.128
416,79.526
417,78.114
418,79.202
419,77.194
420,76.817
421,78.319
422,81.996
423,79.504
424,83.968
425,81.207
426,76.604
427,76.511
428,78.457
429,81.626
430,81.169
431,76.345
432,78.41
433,79.421
434,77.663
435,77.864
436,76.109
437,79.815
438,77.365
439,79.401
440,76.09
441,78.854
442,77.566
443,79.629
444,80.388
445,83.015
446,77.541
447,78.329
448,78.516
449,78.109
450,79.364
451,77.211
452,77.139
453,79.836
454,78.586
455,82.412
456,81.777
457,83.074
458,82.261
459,84.097
460,77.013
461,79.949
462,78.503
463,78.036
464,76.912
465,74.514
466,78.717
467,79.208
468,78.079
469,77.699
470,79.877
471,80.415
472,79.184
473,79.823
474,76.273
475,80.084
476,80.034
477,78.765
478,78.414
479,77.591
480,78.458
481,77.439
482,81.697
483,77.359
484,78.8
485,77.053
486,77.335
487,83.627
488,78.669
489,85.39
490,76.199
491,78.359
492,78.51
493,76.066
494,79.876
495,77.001
496,77.951
497,77.852
498,81.397
499,77.298
500,79.774
501,80.109
502,82.773
503,78.685
504,81.425
505,79.604
506,79.723
507,76.795
508,80.057
509,76.938
510,80.712
511,83.381
512,78.849
513,80.721
514,81.3
515,81.273
516,79.744
517,82.328
518,78.667
519,76.172
