,Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct DoorDash_PM Score
0,82.774
1,83.448
2,82.256
3,83.783
4,81.515
5,78.378
6,82.347
7,81.358
8,84.96
9,81.64
10,81.574
11,81.247
12,85.336
13,79.912
14,82.467
15,81.582
16,80.106
17,80.6
18,78.778
19,77.664
20,79.132
21,79.849
22,82.553
23,82.01
24,83.018
25,81.051
26,81.661
27,80.774
28,80.681
29,80.979
30,76.219
31,83.025
32,81.923
33,83.817
34,77.506
35,83.519
36,82.82
37,78.317
38,84.739
39,82.628
40,81.338
41,77.26
42,79.852
43,80.76
44,80.008
45,81.812
46,82.079
47,82.15
48,80.391
49,80.632
50,82.684
51,80.106
52,79.604
53,78.319
54,78.202
55,78.889
56,78.447
57,80.24
58,
59,78.56
60,82.789
61,81.627
62,80.604
63,82.144
64,81.438
65,77.991
66,82.07
67,81.768
68,80.095
69,79.795
70,81.298
71,83.55
72,80.95
73,77.226
74,84.313
75,80.617
76,79.916
77,83.53
78,79.581
79,79.928
80,81.026
81,83.134
82,82.317
83,82.629
84,80.138
85,83.656
86,77.901
87,82.195
88,79.966
89,83.244
90,81.131
91,82.327
92,83.245
93,80.213
94,80.982
95,79.758
96,79.782
97,82.047
98,84.842
99,83.863
100,82.9
101,82.733
102,80.836
103,82.395
104,80.029
105,82.424
106,82.579
107,86.395
108,81.937
109,83.113
110,77.728
111,81.79
112,78.086
113,83.151
114,82.499
115,81.586
116,80.457
117,84.442
118,80.415
119,82.964
120,80.647
121,79.113
122,83.353
123,82.978
124,79.087
125,82.575
126,79.289
127,80.654
128,83.654
129,82.675
130,78.438
131,79.807
132,85.267
133,81.9
134,78.775
135,84.382
136,82.718
137,78.36
138,78.316
139,84.185
140,84.251
141,81.049
142,80.748
143,80.53
144,80.69
145,79.124
146,79.858
147,81.303
148,83.042
149,81.372
150,78.912
151,83.98
152,83.641
153,82.023
154,79.719
155,79.572
156,81.686
157,84.21
158,83.884
159,83.764
160,80.778
161,83.405
162,77.599
163,78.791
164,82.619
165,75.395
166,78.479
167,84.303
168,81.831
169,80.473
170,79.315
171,82.874
172,82.493
173,81.486
174,81.957
175,81.061
176,82.745
177,82.786
178,81.532
179,81.367
180,81.554
181,82.133
182,80.879
183,80.284
184,81.365
185,81.02
186,86.234
187,81.993
188,81.836
189,80.829
190,80.42
191,78.626
192,81.053
193,85.861
194,79.742
195,82.163
196,82.935
197,81.546
198,78.686
199,80.645
200,83.964
201,78.964
202,80.059
203,82.434
204,82.699
205,80.402
206,82.254
207,84.338
208,82.767
209,77.477
210,84.497
211,78.462
212,78.506
213,80.629
214,82.007
215,81.659
216,73.217
217,82.433
218,74.346
219,81.107
220,81.984
221,75.707
222,78.502
223,80.934
224,80.418
225,81.557
226,78.276
227,81.098
228,81.944
229,75.523
230,80.869
231,78.037
232,81.473
233,80.678
234,81.363
235,78.493
236,80.929
237,83.232
238,82.328
239,81.171
240,82.569
241,80.265
242,82.322
243,79.438
244,81.429
245,78.708
246,83.149
247,82.087
248,81.129
249,80.099
250,82.281
251,85.773
252,80.639
253,80.291
254,83.384
255,76.316
256,77.841
257,78.876
258,81.728
259,78.624
