,Modified_openai_gpt-4o-mini_of_CV_Modelopenai_gpt-4o-mini DoorDash_PM Score
0,78.162
1,79.011
2,77.945
3,77.306
4,81.904
5,82.858
6,79.337
7,79.298
8,82.119
9,78.801
10,76.185
11,80.726
12,84.707
13,81.996
14,81.444
15,81.109
16,81.112
17,76.863
18,81.531
19,79.897
20,81.258
21,80.776
22,82.03
23,80.293
24,78.015
25,79.879
26,80.593
27,78.849
28,84.278
29,82.857
30,82.864
31,81.863
32,82.327
33,80.625
34,79.423
35,80.287
36,75.197
37,79.044
38,81.904
39,80.511
40,76.54
41,80.684
42,80.105
43,81.742
44,80.28
45,78.416
46,79.596
47,81.836
48,80.051
49,81.892
50,79.493
51,82.513
52,81.81
53,79.165
54,81.415
55,78.257
56,78.516
57,80.61
58,77.449
59,79.606
60,80.585
61,80.229
62,82.293
63,79.395
64,82.236
65,79.328
66,81.705
67,81.521
68,78.226
69,79.549
70,78.466
71,81.511
72,81.454
73,81.852
74,76.742
75,78.651
76,79.749
77,79.953
78,80.084
79,78.368
80,79.281
81,80.7
82,81.792
83,78.675
84,79.219
85,81.331
86,79.107
87,80.48
88,81.539
89,80.227
90,82.783
91,80.937
92,80.211
93,80.497
94,79.687
95,79.86
96,80.041
97,82.482
98,82.883
99,80.424
100,80.592
101,81.255
102,80.361
103,80.293
104,81.036
105,82.788
106,82.789
107,81.102
108,79.404
109,82.548
110,80.727
111,78.754
112,82.139
113,81.236
114,80.694
115,78.082
116,80.02
117,80.939
118,80.506
119,79.64
120,80.844
121,78.259
122,78.466
123,79.209
124,77.638
125,79.795
126,79.143
127,77.19
128,78.992
129,80.241
130,78.164
131,77.336
132,79.306
133,79.64
134,81.157
135,75.734
136,76.593
137,79.439
138,80.938
139,80.206
140,80.41
141,75.326
142,83.719
143,77.195
144,77.481
145,79.289
146,80.502
147,73.876
148,82.903
149,78.273
150,79.117
151,75.846
152,77.3
153,79.192
154,76.398
155,79.199
156,79.454
157,79.789
158,81.77
159,79.16
160,78.545
161,80.339
162,81.075
163,82.358
164,84.075
165,80.633
166,79.067
167,77.81
168,79.416
169,79.786
170,80.317
171,78.575
172,77.644
173,81.229
174,79.637
175,78.0
176,76.12
177,80.304
178,78.091
179,81.08
180,79.689
181,79.068
182,81.524
183,79.427
184,80.42
185,82.598
186,76.726
187,79.168
188,79.465
189,80.654
190,80.661
191,78.852
192,78.321
193,81.551
194,82.403
195,81.6
196,80.009
197,82.46
198,82.279
199,84.168
200,78.863
201,80.828
202,79.891
203,79.054
204,80.148
205,78.4
206,78.79
207,81.778
208,80.186
209,80.749
210,80.268
211,82.332
212,80.699
213,81.0
214,79.938
215,81.466
216,80.106
217,80.382
218,79.9
219,81.748
220,81.328
221,79.782
222,82.253
223,79.472
224,78.587
225,79.4
226,81.81
227,83.853
228,80.448
229,85.031
230,80.12
231,80.272
232,80.17
233,80.221
234,82.343
235,80.484
236,79.52
237,80.46
238,80.216
239,77.748
240,81.85
241,79.935
242,81.939
243,80.444
244,81.213
245,79.564
246,82.018
247,79.143
248,80.396
249,81.047
250,79.603
251,83.307
252,80.65
253,81.831
254,82.446
255,81.135
256,80.943
257,82.807
258,77.229
259,79.523
