,Google_UX_Score
0,84.666
1,85.905
2,89.395
3,81.141
4,86.736
5,88.535
6,84.496
7,84.019
8,89.205
9,86.156
10,86.471
11,87.806
12,86.871
13,87.029
14,88.545
15,85.472
16,84.524
17,83.57
18,86.034
19,83.784
20,82.83
21,83.879
22,82.906
23,83.593
24,84.993
25,90.969
26,81.255
27,84.32
28,87.088
29,81.478
30,84.062
31,79.013
32,86.151
33,88.417
34,80.202
35,83.123
36,83.7
37,88.118
38,86.503
39,83.654
40,87.069
41,82.663
42,85.024
43,85.443
44,84.993
45,87.35
46,86.063
47,85.796
48,87.802
49,83.793
50,84.459
51,83.373
52,88.065
53,87.115
54,83.707
55,84.484
56,85.831
57,86.517
58,85.417
59,86.45
60,85.466
61,85.467
62,88.411
63,86.202
64,83.699
65,87.273
66,82.847
67,86.08
68,85.352
69,82.903
70,84.966
71,84.972
72,86.208
73,85.554
74,80.025
75,85.504
76,85.823
77,85.915
78,85.912
79,86.222
80,84.547
81,84.649
82,82.78
83,81.549
84,80.053
85,87.034
86,81.736
87,84.769
88,78.642
89,81.277
90,86.307
91,88.239
92,85.634
93,82.276
94,86.441
95,87.739
96,87.998
97,81.336
98,86.735
99,85.028
100,86.806
101,84.1
102,86.787
103,88.176
104,85.599
105,81.827
106,84.371
107,86.885
108,87.133
109,83.037
110,89.046
111,89.154
112,84.78
113,84.374
114,85.601
115,86.59
116,87.218
117,85.647
118,84.377
119,84.924
120,88.711
121,87.366
122,86.021
123,86.088
124,87.027
125,86.865
126,85.311
127,83.618
128,85.9
129,83.012
130,82.69
131,81.234
132,85.822
133,85.229
134,81.007
135,81.346
136,82.376
137,85.087
138,86.768
139,87.261
140,84.467
141,82.412
142,81.905
143,81.785
144,81.615
145,77.874
146,82.103
147,84.231
148,85.743
149,82.812
150,87.283
151,81.86
152,84.849
153,81.728
154,81.843
155,87.041
156,81.217
157,87.576
158,84.236
159,83.366
160,88.379
161,85.095
162,88.859
163,90.274
164,88.044
165,83.998
166,86.088
167,78.045
168,84.462
169,84.338
170,81.095
171,85.102
172,87.152
173,82.265
174,86.301
175,81.002
176,83.392
177,79.708
178,84.886
179,85.402
180,84.495
181,86.304
182,86.354
183,85.621
184,85.025
185,84.921
186,81.598
187,88.801
188,86.426
189,87.637
190,86.371
191,74.562
192,83.425
193,82.457
194,83.364
195,82.364
196,78.888
197,80.128
198,80.749
199,79.587
200,78.443
201,84.164
202,90.724
203,84.574
204,84.331
205,87.905
206,86.383
207,84.851
208,82.928
209,85.434
210,86.099
211,85.542
212,84.352
213,85.281
214,85.442
215,84.339
216,88.038
217,86.234
218,80.776
219,83.333
220,85.979
221,81.975
222,86.342
223,83.077
224,82.527
225,86.211
226,87.038
227,85.775
228,84.472
229,87.458
230,84.337
231,82.309
232,83.279
233,87.701
234,83.453
235,87.512
236,88.034
237,88.807
238,81.288
239,83.221
240,80.325
241,86.166
242,82.58
243,89.277
244,87.555
245,85.694
246,80.963
247,81.52
248,87.705
249,85.49
250,87.068
251,79.375
252,84.279
253,85.536
254,87.494
255,87.021
256,83.541
257,80.253
258,83.815
259,80.309
260,81.119
261,84.745
262,80.356
263,80.915
264,81.347
265,79.969
266,81.357
267,79.29
268,78.83
269,82.48
270,79.31
271,80.534
272,80.201
273,78.191
274,78.489
275,78.321
276,79.91
277,78.758
278,78.796
279,75.763
280,76.225
281,77.511
282,77.371
283,76.067
284,78.413
285,80.893
286,80.389
287,77.511
288,77.92
289,82.469
290,76.784
291,78.428
292,78.998
293,78.297
294,78.205
295,78.541
296,77.759
297,76.224
298,83.99
299,80.482
300,77.041
301,76.705
302,77.943
303,76.502
304,76.691
305,79.142
306,79.432
307,81.295
308,81.238
309,83.567
310,83.756
311,81.011
312,77.758
313,78.262
314,78.464
315,79.217
316,77.265
317,79.856
318,77.833
319,79.414
320,77.176
321,80.754
322,79.06
323,80.28
