,Google_UX_Score
0,83.219
1,85.236
2,89.27
3,82.108
4,87.71
5,88.29
6,86.167
7,84.274
8,90.193
9,86.663
10,82.822
11,88.092
12,89.393
13,89.003
14,87.428
15,85.692
16,84.968
17,84.288
18,87.928
19,88.674
20,88.388
21,85.384
22,84.351
23,85.376
24,86.532
25,89.825
26,86.863
27,85.257
28,87.664
29,87.376
30,85.772
31,85.385
32,89.108
33,91.015
34,84.945
35,89.438
36,84.84
37,87.763
38,86.156
39,85.561
40,85.967
41,84.325
42,87.096
43,87.996
44,85.57
45,88.422
46,86.21
47,88.52
48,88.069
49,89.036
50,88.983
51,85.049
52,88.088
53,84.697
54,83.321
55,84.508
56,86.895
57,86.552
58,85.678
59,86.312
60,85.727
61,85.809
62,88.386
63,87.769
64,87.325
65,85.655
66,85.168
67,87.636
68,86.734
69,88.207
70,87.295
71,85.96
72,87.794
73,85.69
74,82.698
75,86.805
76,83.854
77,85.792
78,86.152
79,85.946
80,84.968
81,85.733
82,89.316
83,85.527
84,87.437
85,86.468
86,83.42
87,87.972
88,86.401
89,84.149
90,87.464
91,88.846
92,86.299
93,86.851
94,88.069
95,85.566
96,88.428
97,85.416
98,87.702
99,87.399
100,87.005
101,87.481
102,87.315
103,86.01
104,87.427
105,83.121
106,85.883
107,87.506
108,85.792
109,83.837
110,88.97
111,89.293
112,87.952
113,86.233
114,86.785
115,87.408
116,89.086
117,87.019
118,88.463
119,87.532
120,87.901
121,86.965
122,85.769
123,87.006
124,86.857
125,87.834
126,83.427
127,83.698
128,89.908
129,84.554
130,81.903
131,82.194
132,84.709
133,86.706
134,85.623
135,82.735
136,84.967
137,86.623
138,89.518
139,87.549
140,88.836
141,84.501
142,83.088
143,79.699
144,84.373
145,85.649
146,86.192
147,87.755
148,85.898
149,86.334
150,88.45
151,83.655
152,84.873
153,84.497
154,82.379
155,87.642
156,84.682
157,89.783
158,89.396
159,88.042
160,89.077
161,86.909
162,90.695
163,89.233
164,88.039
165,86.431
166,87.547
167,83.217
168,83.881
169,87.412
170,88.635
171,86.017
172,88.269
173,88.322
174,90.722
175,86.061
176,86.259
177,88.259
178,85.816
179,86.378
180,85.344
181,85.606
182,88.254
183,88.163
184,84.502
185,88.467
186,84.847
187,90.141
188,87.766
189,88.26
190,87.69
191,78.943
192,86.392
193,85.034
194,86.062
195,86.639
196,84.423
197,86.368
198,87.057
199,84.665
200,78.917
201,83.293
202,92.159
203,85.921
204,87.115
205,87.609
206,86.13
207,88.42
208,84.845
209,89.114
210,86.545
211,87.74
212,87.212
213,87.526
214,85.963
215,87.17
216,86.482
217,85.737
218,87.923
219,89.321
220,88.25
221,88.557
222,88.208
223,83.98
224,83.16
225,87.281
226,90.321
227,89.151
228,86.52
229,88.969
230,85.46
231,83.21
232,87.226
233,87.893
234,87.303
235,88.994
236,86.163
237,89.631
238,87.083
239,86.775
240,84.896
241,86.006
242,87.756
243,88.516
244,88.318
245,87.417
246,86.868
247,88.467
248,88.382
249,87.447
250,87.276
251,85.159
252,83.831
253,85.408
254,90.296
255,86.718
256,86.466
257,86.419
258,84.527
259,83.667
260,81.124
261,81.293
262,83.986
263,82.853
264,80.905
265,82.685
266,80.923
267,80.726
268,82.297
269,81.744
270,81.779
271,81.691
272,80.601
273,81.685
274,80.69
275,78.395
276,79.998
277,80.771
278,77.445
279,79.657
280,78.882
281,80.311
282,78.36
283,79.885
284,81.737
285,79.522
286,79.374
287,80.276
288,81.755
289,78.478
290,79.622
291,81.384
292,79.585
293,78.771
294,81.121
295,82.961
296,75.004
297,85.308
298,83.973
299,80.465
300,77.57
301,77.659
302,79.511
303,77.371
304,81.559
305,78.356
306,81.251
307,82.916
308,80.569
309,82.04
310,81.963
311,77.253
312,79.906
313,79.535
314,79.808
315,80.018
316,81.332
317,79.168
318,78.881
319,78.763
320,83.653
321,81.958
322,80.164
323,81.401
324,75.365
325,79.392
326,79.063
327,79.325
328,79.304
329,78.335
330,82.235
331,81.435
332,76.896
333,80.764
334,83.412
335,79.397
336,82.887
337,80.951
338,81.226
339,81.578
340,79.556
341,80.855
342,84.355
343,77.999
344,80.477
345,81.102
346,81.295
347,80.513
348,81.346
349,79.015
350,79.1
351,80.424
352,79.224
353,82.327
354,81.435
355,80.223
356,78.1
357,82.945
358,83.497
359,81.742
360,78.973
361,85.224
362,79.442
363,79.745
364,82.315
365,81.372
366,82.896
367,82.19
368,79.87
369,79.824
370,81.333
371,80.731
372,82.227
373,81.01
374,80.686
375,81.64
376,81.237
377,80.956
378,83.313
379,83.386
380,79.593
381,81.176
382,82.783
383,82.826
384,78.591
385,79.324
386,79.583
387,79.341
388,75.989
389,81.414
390,80.435
391,80.938
392,81.223
393,80.755
394,80.661
395,80.947
396,78.57
397,79.537
398,79.097
399,82.717
400,80.283
401,80.684
402,80.53
403,79.94
404,78.789
405,80.011
406,83.252
407,83.967
408,80.618
409,79.807
410,82.514
411,79.858
412,80.787
413,78.751
414,79.129
415,77.663
416,80.127
417,79.188
418,78.793
419,80.574
420,80.318
421,78.729
422,79.012
423,86.646
424,72.628
425,79.176
426,77.97
427,80.889
428,80.606
429,80.637
430,79.76
431,81.663
432,82.347
433,82.24
434,81.926
435,84.636
436,82.852
437,85.341
438,79.995
439,79.727
440,80.926
441,81.198
442,79.713
443,79.71
444,81.069
445,80.516
446,78.989
447,81.641
448,80.161
449,81.084
450,78.972
451,83.239
452,82.348
453,80.954
454,77.82
455,80.814
456,78.202
457,82.024
458,80.945
459,80.561
460,78.141
461,81.785
462,80.129
463,80.218
464,81.75
465,77.79
466,80.03
467,85.297
468,79.079
469,80.154
470,83.331
471,83.638
472,77.686
473,80.938
474,82.111
475,78.347
476,79.27
477,78.079
478,82.955
479,81.664
480,81.543
481,81.538
482,81.433
483,80.334
484,77.111
485,79.14
486,81.965
487,83.194
488,79.054
489,83.148
490,81.693
491,83.071
492,78.135
493,79.897
494,79.069
495,80.483
496,81.981
497,79.219
498,80.609
499,81.28
500,77.517
501,77.663
502,76.126
503,81.912
504,80.867
505,80.078
506,80.974
507,79.717
508,81.649
509,81.898
510,81.868
511,79.172
512,81.553
513,81.431
514,75.748
515,80.824
516,76.186
517,81.177
518,78.09
