,Google_UX_Score
0,82.318
1,83.013
2,87.974
3,83.806
4,86.654
5,87.559
6,85.501
7,83.961
8,90.28
9,87.329
10,83.291
11,88.106
12,86.384
13,86.305
14,86.459
15,85.811
16,84.713
17,82.255
18,86.006
19,87.561
20,88.726
21,86.382
22,86.415
23,84.246
24,84.276
25,88.934
26,85.948
27,85.733
28,88.488
29,84.747
30,85.587
31,84.08
32,85.533
33,88.018
34,86.13
35,87.114
36,84.306
37,88.194
38,87.106
39,85.616
40,86.644
41,85.494
42,85.288
43,87.739
44,85.859
45,86.719
46,86.425
47,86.389
48,87.139
49,86.451
50,89.898
51,83.468
52,88.42
53,87.805
54,84.984
55,84.323
56,86.878
57,87.969
58,85.277
59,86.957
60,86.885
61,85.214
62,88.015
63,88.27
64,85.256
65,86.845
66,84.697
67,88.13
68,86.846
69,84.81
70,84.85
71,86.643
72,87.725
73,85.709
74,82.094
75,86.782
76,85.353
77,88.213
78,86.618
79,86.008
80,85.28
81,85.224
82,87.505
83,85.208
84,82.525
85,87.415
86,84.934
87,86.771
88,87.368
89,83.611
90,84.661
91,87.894
92,85.123
93,85.884
94,87.749
95,84.871
96,87.232
97,85.381
98,85.371
99,86.787
100,87.452
101,87.309
102,87.526
103,85.643
104,85.907
105,84.463
106,83.898
107,88.37
108,84.994
109,83.722
110,88.201
111,88.122
112,85.863
113,87.318
114,86.685
115,87.192
116,88.349
117,85.243
118,87.241
119,85.732
120,88.764
121,86.464
122,86.099
123,87.731
124,87.6
125,85.09
126,83.427
127,83.74
128,87.033
129,83.853
130,84.255
131,82.32
132,87.29
133,85.608
134,83.046
135,83.444
136,85.078
137,85.107
138,89.248
139,89.255
140,88.229
141,84.174
142,83.516
143,78.606
144,83.966
145,83.806
146,84.98
147,86.379
148,83.688
149,86.759
150,87.505
151,84.205
152,83.691
153,84.119
154,81.065
155,88.424
156,83.639
157,87.996
158,87.555
159,83.723
160,88.046
161,86.894
162,88.963
163,88.334
164,88.929
165,85.234
166,85.674
167,79.687
168,83.702
169,88.813
170,87.068
171,84.784
172,86.979
173,85.067
174,85.691
175,82.448
176,85.308
177,82.581
178,84.202
179,86.08
180,84.241
181,85.606
182,87.322
183,88.03
184,84.698
185,86.729
186,84.689
187,90.401
188,87.676
189,87.251
190,86.353
191,74.404
192,86.347
193,86.776
194,82.024
195,86.465
196,85.741
197,85.097
198,85.4
199,84.863
200,80.135
201,83.852
202,90.123
203,86.297
204,83.989
205,85.156
206,86.959
207,85.832
208,83.45
209,86.524
210,84.651
211,86.064
212,85.207
213,86.683
214,86.466
215,84.487
216,86.036
217,86.963
218,84.254
219,83.482
220,85.486
221,86.07
222,86.416
223,85.085
224,82.493
225,84.755
226,89.063
227,88.843
228,85.062
229,88.658
230,85.111
231,85.811
232,86.857
233,85.732
234,84.349
235,86.098
236,87.435
237,87.527
238,86.074
239,83.888
240,85.989
241,86.779
242,82.971
243,87.217
244,88.082
245,88.583
246,82.499
247,84.447
248,88.532
249,88.037
250,86.922
251,84.307
252,84.249
253,85.68
254,88.778
255,86.93
256,83.608
257,82.728
258,85.964
259,79.875
260,78.995
261,83.658
262,80.84
263,82.5
264,81.41
265,79.496
266,80.236
267,81.954
268,80.21
269,84.631
270,79.138
271,81.274
272,82.479
273,78.642
274,77.164
275,80.109
276,80.155
277,81.004
278,79.958
279,76.716
280,77.735
281,79.187
282,77.613
283,78.801
284,79.525
285,82.077
286,78.259
287,78.637
288,79.767
289,81.38
290,75.513
291,81.347
292,78.071
293,80.38
294,79.44
295,80.239
296,79.437
297,75.098
298,83.781
299,83.244
300,79.597
301,76.41
302,78.798
303,78.195
304,77.499
305,80.017
306,78.983
307,81.406
308,80.526
309,81.664
310,82.29
311,81.442
312,77.396
313,78.657
314,80.028
315,79.681
316,77.408
317,82.412
318,
319,78.422
320,79.31
321,79.607
322,80.236
323,79.927
324,79.722
325,74.883
326,78.01
327,79.855
328,79.995
329,78.634
330,77.919
331,80.891
332,78.689
333,75.677
334,79.387
335,82.315
336,78.868
337,79.733
338,80.094
339,79.171
340,80.061
341,79.501
342,80.922
343,81.744
344,79.908
345,81.343
346,78.842
347,81.631
348,78.763
349,80.939
350,78.456
351,81.162
352,79.228
353,79.863
354,80.875
355,79.505
356,79.831
357,77.056
358,81.85
359,83.391
360,81.639
361,78.416
362,84.933
363,79.478
364,78.779
365,80.284
366,80.273
367,82.28
368,81.503
369,79.539
370,78.137
371,79.913
372,81.252
373,78.796
374,79.357
375,80.318
376,79.253
377,82.329
378,82.069
379,83.634
380,79.497
381,78.659
382,80.791
383,82.308
384,81.593
385,76.755
386,78.956
387,79.62
388,78.913
389,76.489
390,77.824
391,77.16
392,82.151
393,80.369
394,79.459
395,78.78
396,80.469
397,77.437
398,78.211
399,80.878
400,83.436
401,78.223
402,77.67
403,80.832
404,78.119
405,75.866
406,76.219
407,83.032
408,83.453
409,80.964
410,80.415
411,79.739
412,79.558
413,80.497
414,78.846
415,75.128
416,76.558
417,79.547
418,78.6
419,81.037
420,79.583
421,81.378
422,78.878
423,75.449
424,81.098
425,73.032
426,74.655
427,79.854
428,77.54
429,78.088
430,78.65
431,80.596
432,81.096
433,80.007
434,80.661
435,82.195
436,81.424
437,80.521
438,85.135
439,78.645
440,80.168
441,79.99
442,79.673
443,79.129
444,79.718
445,79.192
446,81.014
447,79.593
448,80.206
449,77.782
450,79.438
451,77.774
452,82.579
453,82.767
454,79.58
455,77.463
456,78.325
457,78.732
458,80.421
459,78.038
460,80.3
461,76.682
462,81.469
463,79.068
464,79.07
465,82.526
466,76.288
467,79.788
468,82.524
469,77.476
470,78.698
471,80.049
472,82.647
473,77.436
474,79.567
475,81.116
476,76.534
477,79.762
478,78.105
479,82.03
480,81.634
481,81.038
482,79.249
483,80.896
484,79.469
485,79.066
486,77.496
487,80.547
488,80.429
489,79.094
490,82.441
491,80.653
492,80.961
493,78.098
494,80.13
495,79.091
496,77.2
497,80.844
498,78.645
499,81.575
500,79.889
501,77.121
502,77.779
503,76.89
504,82.407
505,79.417
506,78.9
507,79.33
508,79.906
509,79.196
510,82.308
511,79.672
512,78.098
513,79.296
514,81.165
515,75.048
516,77.543
517,74.778
518,80.08
519,77.369
