,Modified_openai_gpt-4o_of_CV_Modelopenai_gpt-4o Google_UX_gpt4o Score
0,83.219
1,85.236
2,89.27
3,82.108
4,87.71
5,88.29
6,86.167
7,84.274
8,90.193
9,86.663
10,82.822
11,88.092
12,89.393
13,89.003
14,87.428
15,85.692
16,84.968
17,84.288
18,87.928
19,88.674
20,88.388
21,85.384
22,84.351
23,85.376
24,86.532
25,89.825
26,86.863
27,85.257
28,87.664
29,87.376
30,85.772
31,85.385
32,89.108
33,91.015
34,84.945
35,89.438
36,84.84
37,87.763
38,86.156
39,85.561
40,85.967
41,84.325
42,87.096
43,87.996
44,85.57
45,88.422
46,86.21
47,88.52
48,88.069
49,89.036
50,88.983
51,85.049
52,88.088
53,84.697
54,83.321
55,84.508
56,86.895
57,86.552
58,85.678
59,86.312
60,85.727
61,85.809
62,88.386
63,87.769
64,87.325
65,85.655
66,85.168
67,87.636
68,86.734
69,88.207
70,87.295
71,85.96
72,87.794
73,85.69
74,82.698
75,86.805
76,83.854
77,85.792
78,86.152
79,85.946
80,84.968
81,85.733
82,89.316
83,85.527
84,87.437
85,86.468
86,83.42
87,87.972
88,86.401
89,84.149
90,87.464
91,88.846
92,86.299
93,86.851
94,88.069
95,85.566
96,88.428
97,85.416
98,87.702
99,87.399
100,87.005
101,87.481
102,87.315
103,86.01
104,87.427
105,83.121
106,85.883
107,87.506
108,85.792
109,83.837
110,88.97
111,89.293
112,87.952
113,86.233
114,86.785
115,87.408
116,89.086
117,87.019
118,88.463
119,87.532
120,87.901
121,86.965
122,85.769
123,87.006
124,86.857
125,87.834
126,83.427
127,83.698
128,89.908
129,84.554
130,81.903
131,82.194
132,84.709
133,86.706
134,85.623
135,82.735
136,84.967
137,86.623
138,89.518
139,87.549
140,88.836
141,84.501
142,83.088
143,79.699
144,84.373
145,85.649
146,86.192
147,87.755
148,85.898
149,86.334
150,88.45
151,83.655
152,84.873
153,84.497
154,82.379
155,87.642
156,84.682
157,89.783
158,89.396
159,88.042
160,89.077
161,86.909
162,90.695
163,89.233
164,88.039
165,86.431
166,87.547
167,83.217
168,83.881
169,87.412
170,88.635
171,86.017
172,88.269
173,88.322
174,90.722
175,86.061
176,86.259
177,88.259
178,85.816
179,86.378
180,85.344
181,85.606
182,88.254
183,88.163
184,84.502
185,88.467
186,84.847
187,90.141
188,87.766
189,88.26
190,87.69
191,78.943
192,86.392
193,85.034
194,86.062
195,86.639
196,84.423
197,86.368
198,87.057
199,84.665
200,78.917
201,83.293
202,92.159
203,85.921
204,87.115
205,87.609
206,86.13
207,88.42
208,84.845
209,89.114
210,86.545
211,87.74
212,87.212
213,87.526
214,85.963
215,87.17
216,86.482
217,85.737
218,87.923
219,89.321
220,88.25
221,88.557
222,88.208
223,83.98
224,83.16
225,87.281
226,90.321
227,89.151
228,86.52
229,88.969
230,85.46
231,83.21
232,87.226
233,87.893
234,87.303
235,88.994
236,86.163
237,89.631
238,87.083
239,86.775
240,84.896
241,86.006
242,87.756
243,88.516
244,88.318
245,87.417
246,86.868
247,88.467
248,88.382
249,87.447
250,87.276
251,85.159
252,83.831
253,85.408
254,90.296
255,86.718
256,86.466
257,86.419
258,84.527
259,83.667
